rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
15,WhackyCast @UC7s9jK1WUq-kQzRbArO0wBw,1100000.0,,芬蘭,,315000.0,youtube,finland,False,2024,,,
16,Evelyn Jackson @UCcDsCawgC3JqZLSj7DllRKg,867000.0,0.4,芬蘭,,260100.00000000003,youtube,finland,False,2024,,,
17,Supercell @UCXO2ZE-H4ZVjJDjTuQzv-Bw,831000.0,0.4,芬蘭,,249300.0,youtube,finland,False,2024,,,
18,Lakko @UC1BIOZPjE3lYa2s3ZT1kYaA,812000.0,3.1,芬蘭,,243600.0,youtube,finland,False,2024,,,
19,Beyond the press @UCveB47lgzZJ1WOf4XYVJNBw,740000.0,0.3,芬蘭,,222000.0,youtube,finland,False,2024,,,
20,Taikalinna @UChceje--xRi5yw2XQjdhnqw,682000.0,,芬蘭,,204600.0,youtube,finland,False,2024,,,
21,YouTube Vanced @UCW5NdLx3DeeAw3iX0MjaHeA,671000.0,0.8,芬蘭,,201300.0,youtube,finland,False,2024,,,
22,Device Orchestra @UCDwMh0pu1iSXeKx7qmqjIQA,652000.0,5.5,芬蘭,,195600.0,youtube,finland,False,2024,,,
23,Holy Quran @UCAtXN50DVnmoYr5Yq9xLUcg,646000.0,,芬蘭,,193800.0,youtube,finland,False,2024,,,
24,Trycs @UCgBl1hh_8FZ88kStGP8q_ag,629000.0,1.0,芬蘭,,188700.0,youtube,finland,False,2024,,,
25,Roni Back @UCxmMyt4toi1MKD5tUZWBkVg,620000.0,,芬蘭,,186000.0,youtube,finland,False,2024,,,
26,Hoot @UCuBpNon-yi4nJ1StjA1tSYA,596000.0,4.9,芬蘭,,178800.0,youtube,finland,False,2024,,,
27,اغاني مميزة Music Distinctive @UC1XEAVGzRz0TXc7mNMQTYRA,592000.0,,芬蘭,音樂,177600.0,youtube,finland,False,2024,UNMAPPED,UNMAPPED,音樂
28,Rodamrix @UCxQDsfaifnxdHqfTJljuXfw,581000.0,11.2,芬蘭,音樂,174300.0,youtube,finland,False,2024,UNMAPPED,UNMAPPED,音樂
29,The Rasmus @UCDhEg3ByjFIju7bD4jhrctw,569000.0,1.0,芬蘭,,170700.0,youtube,finland,False,2024,,,
30,شيف حيدر ديك - Chef Haider Deek @alpha-tnm,533000.0,,芬蘭,,159900.0,youtube,finland,False,2024,,,
31,Santatelevision @UCVQy7TDTcdpAeAETolnl1DA,521000.0,,芬蘭,,156300.0,youtube,finland,False,2024,,,
32,Light @UC33mcjLtoyFbgiVpjXDJ8dA,517000.0,,芬蘭,,155100.0,youtube,finland,False,2024,,,
33,Dumbs @UCXKH52cGX4rtK_X-q1GH02Q,473000.0,5.7,芬蘭,,141900.0,youtube,finland,False,2024,,,
34,Herbalisti @UCd1NRQx3xIPtdQ_zKFtfgfw,472000.0,3.3,芬蘭,,141600.0,youtube,finland,False,2024,,,
35,JPeltsi @UCpPwpIydge5-J26zRwt0aHQ,464000.0,,芬蘭,,139200.0,youtube,finland,False,2024,,,
36,asoo gaming @UCXBvi1uAiGPowSgmgcHWDCg,456000.0,,芬蘭,,136800.0,youtube,finland,False,2024,,,
37,GULLEDSIMBA @UCLU-TuSpVwy6I8NjyHIOHxA,453000.0,18.0,芬蘭,,135900.0,youtube,finland,False,2024,,,
38,Topi The Corgi @UC62zoJ8N9JdSnFDbcKjOUDA,445000.0,,芬蘭,,133500.0,youtube,finland,False,2024,,,
39,MindUpload @UCJyIeP9rHbgvlyzP-sSYaNw,442000.0,,芬蘭,,132600.0,youtube,finland,False,2024,,,
40,YuraPaPu @UC8vT3G8pbuQWMbkhGWafmsQ,436000.0,3.5,芬蘭,,130800.00000000001,youtube,finland,False,2024,,,
41,ThunderPro-VideoClip @UCT17Id1tzb2kBSDHUxwYqOA,435000.0,,芬蘭,,130500.0,youtube,finland,False,2024,,,
42,Poets of the Fall (Official) @UC0hNui8bT7yV0Xb8w8YxjHw,427000.0,3.9,芬蘭,,128100.0,youtube,finland,False,2024,,,
43,Kostamoinen @UC2uwKk98o5PMRQvQyiGTOog,425000.0,22.5,芬蘭,,127500.0,youtube,finland,False,2024,,,
44,Confusion @UCo2bNt_yjnZimwIcJtROz7g,415000.0,23.6,芬蘭,,124500.0,youtube,finland,False,2024,,,
45,Bee Kiiski @UCFwRmz3h5-Kz-DWHKpt6dKQ,412000.0,0.5,芬蘭,,123600.0,youtube,finland,False,2024,,,
46,Pipsa Possu Suomi Virallinen @UCNyz-57mHiPwW2I1Z43zmsQ,384000.0,,芬蘭,,115200.0,youtube,finland,False,2024,,,
47,Turbo @UCus8EVJ7Oc9zINhs-fg8l1Q,382000.0,,芬蘭,,114600.0,youtube,finland,False,2024,,,
48,mmiisas @UCoKsc3WQs4bTUJUSGfoay_w,379000.0,1.1,芬蘭,,113700.0,youtube,finland,False,2024,,,
49,DJVI @UCV8yIaKoqa-r9SnXPMQ1Spg,370000.0,,芬蘭,,111000.0,youtube,finland,False,2024,,,
50,NikojaSanttu @UCEc3llziWncponpqUBkVrbA,364000.0,4.5,芬蘭,,109200.0,youtube,finland,False,2024,,,
51,Paqpa @UCDVeHl7-fRTO7vH9bFc3emg,353000.0,,芬蘭,,105900.0,youtube,finland,False,2024,,,
52,skripe @UCc9Y-jScIOidbadQdYpuDxg,339000.0,0.5,芬蘭,,101700.0,youtube,finland,False,2024,,,
53,Wax Ka Barro @UCKKCLneYu7dv145udtDmFuw,336000.0,0.9,芬蘭,,100800.0,youtube,finland,False,2024,,,
54,Palikka @UCIDAAsL8itqP3SJAOIYrDpA,331000.0,9.4,芬蘭,,99300.0,youtube,finland,False,2024,,,
55,Biisonimafia @UCte-q3p4cuj69kn7VaiXuMw,326000.0,1.0,芬蘭,,97800.0,youtube,finland,False,2024,,,
56,eeddspeaks @UC_x_0w8z3tgPSSctfJR0lNQ,326000.0,0.8,芬蘭,,97800.0,youtube,finland,False,2024,,,
57,DJFITME @UCJodKvErbIT4U9mCw5QZEYw,314000.0,0.5,芬蘭,,94200.0,youtube,finland,False,2024,,,
58,Linkuru @UCdT4cnyWOh6sDXivyqLURHQ,313000.0,0.1,芬蘭,,93900.0,youtube,finland,False,2024,,,
59,Setup1337 @UCi-8tztOUytd4IxIIQuWbrQ,313000.0,,芬蘭,,93900.0,youtube,finland,False,2024,,,
60,Elliandra @UCpApnEIzV3T7rpxEK7e8lzg,312000.0,0.2,芬蘭,,93600.0,youtube,finland,False,2024,,,
61,Iha Just Imus @UCDJWinHf7IBqJe1eqzWwdAw,303000.0,3.3,芬蘭,,90900.0,youtube,finland,False,2024,,,
62,LaeppaVika @UCBJ4RpQPQutOnWcqiooL9eQ,288000.0,1.7,芬蘭,,86400.0,youtube,finland,False,2024,,,
63,Thumin @UCZyBi3H602BSVX0bI24kQVw,285000.0,3.3,芬蘭,藝術,85500.0,youtube,finland,False,2024,UNMAPPED,UNMAPPED,藝術
64,Deata @UCnfbbceA4_9nwW_PH1qvsCA,285000.0,0.3,芬蘭,,85500.0,youtube,finland,False,2024,,,
65,Northflowo @UCmyVfmItO8zVuV6gZC_1zkA,281000.0,,芬蘭,,84300.0,youtube,finland,False,2024,,,
66,Critical Ops @UCgq7D-ki9MIKeohjdpYFRCA,275000.0,,芬蘭,,82500.0,youtube,finland,False,2024,,,
67,IQ FITNESS @UCjd72p-Q-0BJ4d-ZuQWy-cg,274000.0,,芬蘭,健身,82200.0,youtube,finland,False,2024,Sports,MAPPED,fitness
68,Keep It Underground @UCrt9lFSd7y1nPQ-L76qE8MQ,272000.0,,芬蘭,,81600.0,youtube,finland,False,2024,,,
69,Mike @UCvk3bWK6moXKR-_hB6OkbxQ,272000.0,4.3,芬蘭,,81600.0,youtube,finland,False,2024,,,
70,Pinkku Pinsku @UCXy14JI8bGhvYtdwSsI1ZIw,269000.0,2.2,芬蘭,,80700.0,youtube,finland,False,2024,,,
71,Vesikaste @UCALHpxid2_qvoSnJFw5Rptg,269000.0,,芬蘭,,80700.0,youtube,finland,False,2024,,,
72,Kebu @UCV-5d2ZbKBRCGaG3MXXfXcw,263000.0,,芬蘭,,78900.0,youtube,finland,False,2024,,,
73,Peter Finn the Car Doctor @UCTEWPVoaYwoYkc6AAf_bFpg,260000.0,,芬蘭,,78000.0,youtube,finland,False,2024,,,
74,Warner Music Finland @UCRmjtDQlW0-TyWY38jWcIvQ,259000.0,,芬蘭,,77700.0,youtube,finland,False,2024,,,
75,HurHur @UC3KQFwVnouIx6KgjYSCNMdw,255000.0,0.9,芬蘭,,76500.0,youtube,finland,False,2024,,,
76,xPetu @UC1407h8ncS3zFYRK4KTPNvg,252000.0,2.5,芬蘭,,75600.0,youtube,finland,False,2024,,,
77,ZoneVD @UC5yn0ugTXc-AZQK6gTJPAEQ,249000.0,1.5,芬蘭,,74700.0,youtube,finland,False,2024,,,
78,Tipsy Duck @UC6c6mMQNEY6i6_Z2NBY0C1w,247000.0,11.6,芬蘭,,74100.0,youtube,finland,False,2024,,,
79,finntop5 @UCOtb9r4h4nagt8iYAFDwUzg,243000.0,,芬蘭,,72900.0,youtube,finland,False,2024,,,
80,Jaakko Parkkali @UC5SRfEhyMdg2S2LoZOTHNHw,243000.0,,芬蘭,,72900.0,youtube,finland,False,2024,,,
81,98DEMAKE @UC4vIcQOyHOcjCgEAVsjenxg,242000.0,0.4,芬蘭,,72600.0,youtube,finland,False,2024,,,
82,ASMR Sita Sofia @UCjNyeUaGpD0o7z5VbruS6-A,241000.0,,芬蘭,,72300.0,youtube,finland,False,2024,,,
83,Kutovakika @UCfqqHkzZt2X2DzxPFMucubQ,240000.0,9.3,芬蘭,,72000.0,youtube,finland,False,2024,,,
84,Foxzie @UCEdege-3c_jpRnIoUaY_3ow,239000.0,,芬蘭,,71700.0,youtube,finland,False,2024,,,
85,Miska Haakana @UCvrG3-mP1CrDGCfHlf9qVDg,236000.0,2.5,芬蘭,,70800.0,youtube,finland,False,2024,,,
86,Mauton @UCvWyB4de5nMlFdhYRpltrkw,234000.0,1.6,芬蘭,,70200.0,youtube,finland,False,2024,,,
87,Maketzi @UCVmVt5LK0ZT8mWXL58fXZgw,233000.0,,芬蘭,,69900.0,youtube,finland,False,2024,,,
88,Rudi Rok @UCy_pH0l1ENt0keocE09jYDw,232000.0,0.3,芬蘭,,69600.0,youtube,finland,False,2024,,,
89,eeddplays @UCvx1h5K7wZzOFJiPzSvpq4w,228000.0,,芬蘭,,68400.0,youtube,finland,False,2024,,,
90,Warqaad TV @UCTei3XY4XhKtR7VqeHAhZ2w,227000.0,,芬蘭,,68100.0,youtube,finland,False,2024,,,
91,Drive Ahead! @UCouCcPPshaYgkRW0igSFXaw,222000.0,,芬蘭,,66600.0,youtube,finland,False,2024,,,
92,MrJallu101 @UCpKnbXIIl9ud9dYYQ8S-dqA,218000.0,1.5,芬蘭,,65400.00000000001,youtube,finland,False,2024,,,
93,FromTheBushes @UCubD9APpaN3rnsJpcyfBsDg,217000.0,1.2,芬蘭,,65099.99999999999,youtube,finland,False,2024,,,
94,WAKA @UCHkXewrBQs3VlHMzJ-M7w1A,215000.0,5.3,芬蘭,,64500.0,youtube,finland,False,2024,,,
95,Remedeus @UCovAfSSglezOlIzM-acLCFA,215000.0,0.4,芬蘭,,64500.0,youtube,finland,False,2024,,,
96,Tume @UCYKUZ_Lp2k55TDqZjbMNaPQ,210000.0,0.6,芬蘭,,63000.0,youtube,finland,False,2024,,,
97,Axel Thesleff @UCCipFf6W_vyFc06ro-6yJNw,209000.0,0.3,芬蘭,,62700.0,youtube,finland,False,2024,,,
98,Zapper770 @UCSrK6pGVqznij29nyOf4oHg,205000.0,3.0,芬蘭,,61500.0,youtube,finland,False,2024,,,
99,Aleksi Rantamaa - Yle Kioski @UCvbJl3i27-4h4Na6Q-vZbRA,205000.0,,芬蘭,,61500.0,youtube,finland,False,2024,,,
100,INMESSIONANTE @UCr8rNJo8Z3sQ5UlZUh23g7w,195000.0,,芬蘭,,58500.0,youtube,finland,False,2024,,,
