#,NAMN,FÖLJARE,ER,LAND,INFLUENSOMRÅDE,POTENTIELL RÄCKVIDD,SPARA,BJUD IN TILL KAMPANJ
74,HORSE TRAINER 🐴😘 @evelynbanffy,254.1K,-,Sverige,Husdjur,76.2K,,Visa profil
75,tv4idol @tv4idol,253.8K,-,Sverige,,76.1K,,Visa profil
76,Mohammed Ibrahim @officialdrmoe,250K,0.1%,Sverige,Utbildning Uppgradering av färdigheter,75K,,Visa profil
77,JOSE @josefson,247.3K,-,Sverige,,74.2K,,Visa profil
78,Nadir Benkahla @nadirbenkahla,246.1K,-,Sverige,,73.8K,,Visa profil
79,kevin @marvel_videoos,246.1K,-,Sverige,,73.8K,,Visa profil
80,Aya samarit @aya.samarit,243.7K,0.2%,Sverige,,73.1K,,Visa profil
81,Lina @linalindau,237.8K,-,Sverige,Mode och accessoarer Skönhet och personlig vård,71.3K,,Visa profil
82,Fk stories @fakestoriesbey,233.5K,-,Sverige,,70.1K,,Visa profil
83,🦋 @tmmy_fidgets,232K,-,Sverige,,69.6K,,Visa profil
84,lucypiggott6 @lucypiggott6,231.9K,-,Sverige,Natur,69.6K,,Visa profil
85,Jessica Mithanja Ekström @mithanja,230.4K,-,Sverige,Resor,69.1K,,Visa profil
86,Mattias mirk @mattiasmirk,229.6K,-,Sverige,,68.9K,,Visa profil
87,Almaaa @fatalma,229.3K,0.1%,Sverige,Fitness och hälsa,68.8K,,Visa profil
88,⚪️🔵🟠 @football..for..life,225.6K,-,Sverige,,67.7K,,Visa profil
89,erikhedenfalk @erikhedenfalk,224.8K,1.3%,Sverige,Fotografering,67.4K,,Visa profil
90,Hampus Hammargren @hampushammargren,222K,-,Sverige,,66.6K,,Visa profil
91,🇮🇶 Mary Al-mhana🇸🇪 @maryalmhanamm,221.3K,-,Sverige,,66.4K,,Visa profil
92,Philip Benjaminsson @philipbenjaminsson,219.8K,-,Sverige,,65.9K,,Visa profil
93,Kadra idil🦋 @kadra_idil,219.6K,-,Sverige,,65.9K,,Visa profil
94,Me @tt_funnymemes,218.6K,-,Sverige,,65.6K,,Visa profil
95,Veronica Maggio @veronicamaggioofficial,216.7K,0.2%,Sverige,,65K,,Visa profil
96,Dolly Style🇸🇪 @dollystylesweden,214.3K,-,Sverige,,64.3K,,Visa profil
97,COCONUT HEN - Official 🥥🇸🇪 @coconut_hen,207.4K,0.8%,Sverige,,62.2K,,Visa profil
98,lailakvl @lailakvl,206.9K,1.1%,Sverige,,62.1K,,Visa profil
99,🇵🇸Loco🇵🇸 @locogbg,205.6K,-,Sverige,,61.7K,,Visa profil
100,Albert Dyrlund Soap @albertsoap,205.1K,0.9%,Sverige,,61.5K,,Visa profil
