#,IME,PRATITELJI,ER,DRŽAVA,TEMA UTJECAJA,POTENCIJALNI DOSEG,SPREMI,POZIV NA KAMPANJU
52,Natalia Magiera @nmagiera,751.4K,-,Poljska,,225.4K,,Pregledaj profil
53,Gabi @gabikuczynska,746.1K,-,Poljska,,223.8K,,Pregledaj profil
54,Evelina @evelinaross_,741.5K,-,Poljska,,222.5K,,Pregledaj profil
55,Hetero official @hetero.gang420,735.7K,-,Poljska,,220.7K,,Pregledaj profil
56,TheNitroZyniak @thenitrozyniak_yt,734.4K,0.3%,Poljska,,220.3K,,Pregledaj profil
57,Mateusz Güncel @mateusz_guncel,729.7K,-,Poljska,,218.9K,,Pregledaj profil
58,꧁☾ａｍｉ☽꧂ @aniaart178,722.3K,0.4%,Poljska,Umjetnost i zanati,216.7K,,Pregledaj profil
59,Karolina Pieńczak ♡ @karoletka,721.1K,-,Poljska,Moda i pribor,216.3K,,Pregledaj profil
60,Raptus_MG @raptus_mg_volvo,717.3K,-,Poljska,,215.2K,,Pregledaj profil
61,💖I love you💖 @nightfury._.editor2,695.1K,-,Poljska,,208.5K,,Pregledaj profil
62,Brooke/ Grape 🍇 @slaviccaesar,694.8K,-,Poljska,Obrazovanje,208.4K,,Pregledaj profil
63,Mateusz Piesiak @mateuszpiesiak,681.3K,0.3%,Poljska,Priroda Životinje Fotografija,204.4K,,Pregledaj profil
64,INTERNAZIOMALE @internaziomale420,679.4K,-,Poljska,Glazba,203.8K,,Pregledaj profil
65,Programista Na Froncie @programista_na_froncie,675.2K,0.3%,Poljska,Obrazovanje Usavršavanje,202.6K,,Pregledaj profil
66,BADDIEGYALS @baddiegyals_,673.4K,-,Poljska,,202K,,Pregledaj profil
67,Anna Zuch @ankazuch,665.8K,-,Poljska,,199.7K,,Pregledaj profil
68,♥️ Marta ♥️ @ginger_world,665.2K,0.1%,Poljska,,199.6K,,Pregledaj profil
69,Iwona Marivo 🦋 @marivoiwona,664.5K,-,Poljska,Zabava i glazba,199.4K,,Pregledaj profil
70,Manae | ig:s_himi @s_himj,664.2K,-,Poljska,Zabava i glazba,199.3K,,Pregledaj profil
71,Natalia Kulig @nataliakulig1,657.4K,-,Poljska,Zabava i glazba,197.2K,,Pregledaj profil
72,bober696428 @bober696428,646.3K,0.9%,Poljska,,193.9K,,Pregledaj profil
73,Krystian Ziętkowski @krystianzietkowsky,646.1K,-,Poljska,,193.8K,,Pregledaj profil
74,monia @monikamuratova,643.5K,-,Poljska,,193.1K,,Pregledaj profil
75,My3oficjalnie @my3oficjalnie,639K,-,Poljska,,191.7K,,Pregledaj profil
76,keycath0 @keycath0,635.1K,-,Poljska,,190.5K,,Pregledaj profil
77,Doda @doda,616.2K,0.1%,Poljska,,184.9K,,Pregledaj profil
78,Madziara @bombowaczarnulka,615.5K,-,Poljska,,184.7K,,Pregledaj profil
79,marcelina @marcelinawaniek,609.4K,-,Poljska,,182.8K,,Pregledaj profil
80,Niedzia @niedziapets,603.3K,-,Poljska,Kućni ljubimci Zabava i glazba,181K,,Pregledaj profil
81,ALINA @alicjaa.kowalska,600.4K,-,Poljska,Umjetnost i zanati Zabava i glazba Obitelj,180.1K,,Pregledaj profil
82,Sylwia Przybysz @sprzybysz,597K,-,Poljska,Zabava i glazba Smišno,179.1K,,Pregledaj profil
83,J U L I A @jujubabi_,593.5K,-,Poljska,Animacija i Cosplay,178.1K,,Pregledaj profil
84,Czasin @czasin,591.6K,-,Poljska,,177.5K,,Pregledaj profil
85,bartmi @bartmi97,589.3K,-,Poljska,,176.8K,,Pregledaj profil
86,Przemek Kucyk @przemekkucyk,584.1K,0.3%,Poljska,Zabava i glazba,175.2K,,Pregledaj profil
87,Emilia Królikowska @emiflesh,579.3K,-,Poljska,,173.8K,,Pregledaj profil
88,Marysia Krasowska @marysiakrasowska,574.2K,-,Poljska,Moda i pribor,172.3K,,Pregledaj profil
89,TaKtórejZazdrościsz @dorotakociesza,571.3K,-,Poljska,,171.4K,,Pregledaj profil
90,taranek.official @taranek.official,566.5K,-,Poljska,Gluma i drama,170K,,Pregledaj profil
91,🐾𝚀𝚞𝚎𝚎𝚗🐾 @dog.editzz.forever,566.4K,-,Poljska,,169.9K,,Pregledaj profil
92,Grzegorz Noworolnik 🔥 @grzechufreestyle,566.1K,-,Poljska,,169.8K,,Pregledaj profil
93,wikikakusia @wikikakusia,563.6K,5.2%,Poljska,Moda i pribor Dom i vrt,169.1K,,Pregledaj profil
94,FajnyPrzemek @fajnyprzemek,555.6K,-,Poljska,Smišno,166.7K,,Pregledaj profil
95,Sebo und Jana @se_ja8390,553K,-,Poljska,Životinje Smišno,165.9K,,Pregledaj profil
96,Polski Instytut Kryptowalut @instytutkryptowalut,552.6K,-,Poljska,,165.8K,,Pregledaj profil
97,Peter McPoland @petermcpoland,552.3K,0.2%,Poljska,,165.7K,,Pregledaj profil
98,Łączy nas piłka @laczynaspilka,543.3K,-,Poljska,,163K,,Pregledaj profil
99,Kuba Grochmalski @kubagrochmalski,541.7K,0.3%,Poljska,Zabava i glazba Smišno,162.5K,,Pregledaj profil
100,mounis firwana @msfirwana,540.8K,-,Poljska,,162.2K,,Pregledaj profil
