rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
55,Biisonimafia @UCte-q3p4cuj69kn7VaiXuMw,326K,1%,芬蘭,,97.8K,youtube,finland,False,2024,NA,NA,
56,eeddspeaks @UC_x_0w8z3tgPSSctfJR0lNQ,326K,0.8%,芬蘭,,97.8K,youtube,finland,False,2024,NA,NA,
57,DJFITME @UCJodKvErbIT4U9mCw5QZEYw,314K,0.5%,芬蘭,,94.2K,youtube,finland,False,2024,NA,NA,
58,Linkuru @UCdT4cnyWOh6sDXivyqLURHQ,313K,0.1%,芬蘭,,93.9K,youtube,finland,False,2024,NA,NA,
59,Setup1337 @UCi-8tztOUytd4IxIIQuWbrQ,313K,-,芬蘭,,93.9K,youtube,finland,False,2024,NA,NA,
60,Elliandra @UCpApnEIzV3T7rpxEK7e8lzg,312K,0.2%,芬蘭,,93.6K,youtube,finland,False,2024,NA,NA,
61,Iha Just Imus @UCDJWinHf7IBqJe1eqzWwdAw,303K,3.3%,芬蘭,,90.9K,youtube,finland,False,2024,NA,NA,
62,LaeppaVika @UCBJ4RpQPQutOnWcqiooL9eQ,288K,1.7%,芬蘭,,86.4K,youtube,finland,False,2024,NA,NA,
63,Thumin @UCZyBi3H602BSVX0bI24kQVw,285K,3.3%,芬蘭,藝術,85.5K,youtube,finland,False,2024,UNMAPPED,UNMAPPED,藝術
64,Deata @UCnfbbceA4_9nwW_PH1qvsCA,285K,0.3%,芬蘭,,85.5K,youtube,finland,False,2024,NA,NA,
65,Northflowo @UCmyVfmItO8zVuV6gZC_1zkA,281K,-,芬蘭,,84.3K,youtube,finland,False,2024,NA,NA,
66,Critical Ops @UCgq7D-ki9MIKeohjdpYFRCA,275K,-,芬蘭,,82.5K,youtube,finland,False,2024,NA,NA,
67,IQ FITNESS @UCjd72p-Q-0BJ4d-ZuQWy-cg,274K,-,芬蘭,健身,82.2K,youtube,finland,False,2024,Sports,MAPPED,fitness
68,Keep It Underground @UCrt9lFSd7y1nPQ-L76qE8MQ,272K,-,芬蘭,,81.6K,youtube,finland,False,2024,NA,NA,
69,Mike @UCvk3bWK6moXKR-_hB6OkbxQ,272K,4.3%,芬蘭,,81.6K,youtube,finland,False,2024,NA,NA,
70,Pinkku Pinsku @UCXy14JI8bGhvYtdwSsI1ZIw,269K,2.2%,芬蘭,,80.7K,youtube,finland,False,2024,NA,NA,
71,Vesikaste @UCALHpxid2_qvoSnJFw5Rptg,269K,-,芬蘭,,80.7K,youtube,finland,False,2024,NA,NA,
72,Kebu @UCV-5d2ZbKBRCGaG3MXXfXcw,263K,-,芬蘭,,78.9K,youtube,finland,False,2024,NA,NA,
73,Peter Finn the Car Doctor @UCTEWPVoaYwoYkc6AAf_bFpg,260K,-,芬蘭,,78K,youtube,finland,False,2024,NA,NA,
74,Warner Music Finland @UCRmjtDQlW0-TyWY38jWcIvQ,259K,-,芬蘭,,77.7K,youtube,finland,False,2024,NA,NA,
75,HurHur @UC3KQFwVnouIx6KgjYSCNMdw,255K,0.9%,芬蘭,,76.5K,youtube,finland,False,2024,NA,NA,
76,xPetu @UC1407h8ncS3zFYRK4KTPNvg,252K,2.5%,芬蘭,,75.6K,youtube,finland,False,2024,NA,NA,
77,ZoneVD @UC5yn0ugTXc-AZQK6gTJPAEQ,249K,1.5%,芬蘭,,74.7K,youtube,finland,False,2024,NA,NA,
78,Tipsy Duck @UC6c6mMQNEY6i6_Z2NBY0C1w,247K,11.6%,芬蘭,,74.1K,youtube,finland,False,2024,NA,NA,
79,finntop5 @UCOtb9r4h4nagt8iYAFDwUzg,243K,-,芬蘭,,72.9K,youtube,finland,False,2024,NA,NA,
80,Jaakko Parkkali @UC5SRfEhyMdg2S2LoZOTHNHw,243K,-,芬蘭,,72.9K,youtube,finland,False,2024,NA,NA,
81,98DEMAKE @UC4vIcQOyHOcjCgEAVsjenxg,242K,0.4%,芬蘭,,72.6K,youtube,finland,False,2024,NA,NA,
82,ASMR Sita Sofia @UCjNyeUaGpD0o7z5VbruS6-A,241K,-,芬蘭,,72.3K,youtube,finland,False,2024,NA,NA,
83,Kutovakika @UCfqqHkzZt2X2DzxPFMucubQ,240K,9.3%,芬蘭,,72K,youtube,finland,False,2024,NA,NA,
84,Foxzie @UCEdege-3c_jpRnIoUaY_3ow,239K,-,芬蘭,,71.7K,youtube,finland,False,2024,NA,NA,
85,Miska Haakana @UCvrG3-mP1CrDGCfHlf9qVDg,236K,2.5%,芬蘭,,70.8K,youtube,finland,False,2024,NA,NA,
86,Mauton @UCvWyB4de5nMlFdhYRpltrkw,234K,1.6%,芬蘭,,70.2K,youtube,finland,False,2024,NA,NA,
87,Maketzi @UCVmVt5LK0ZT8mWXL58fXZgw,233K,-,芬蘭,,69.9K,youtube,finland,False,2024,NA,NA,
88,Rudi Rok @UCy_pH0l1ENt0keocE09jYDw,232K,0.3%,芬蘭,,69.6K,youtube,finland,False,2024,NA,NA,
89,eeddplays @UCvx1h5K7wZzOFJiPzSvpq4w,228K,-,芬蘭,,68.4K,youtube,finland,False,2024,NA,NA,
90,Warqaad TV @UCTei3XY4XhKtR7VqeHAhZ2w,227K,-,芬蘭,,68.1K,youtube,finland,False,2024,NA,NA,
91,Drive Ahead! @UCouCcPPshaYgkRW0igSFXaw,222K,-,芬蘭,,66.6K,youtube,finland,False,2024,NA,NA,
92,MrJallu101 @UCpKnbXIIl9ud9dYYQ8S-dqA,218K,1.5%,芬蘭,,65.4K,youtube,finland,False,2024,NA,NA,
93,FromTheBushes @UCubD9APpaN3rnsJpcyfBsDg,217K,1.2%,芬蘭,,65.1K,youtube,finland,False,2024,NA,NA,
94,WAKA @UCHkXewrBQs3VlHMzJ-M7w1A,215K,5.3%,芬蘭,,64.5K,youtube,finland,False,2024,NA,NA,
95,Remedeus @UCovAfSSglezOlIzM-acLCFA,215K,0.4%,芬蘭,,64.5K,youtube,finland,False,2024,NA,NA,
96,Tume @UCYKUZ_Lp2k55TDqZjbMNaPQ,210K,0.6%,芬蘭,,63K,youtube,finland,False,2024,NA,NA,
97,Axel Thesleff @UCCipFf6W_vyFc06ro-6yJNw,209K,0.3%,芬蘭,,62.7K,youtube,finland,False,2024,NA,NA,
98,Zapper770 @UCSrK6pGVqznij29nyOf4oHg,205K,3%,芬蘭,,61.5K,youtube,finland,False,2024,NA,NA,
99,Aleksi Rantamaa - Yle Kioski @UCvbJl3i27-4h4Na6Q-vZbRA,205K,-,芬蘭,,61.5K,youtube,finland,False,2024,NA,NA,
100,INMESSIONANTE @UCr8rNJo8Z3sQ5UlZUh23g7w,195K,-,芬蘭,,58.5K,youtube,finland,False,2024,NA,NA,
