rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
42,437100,,Afghanistan,,131100,Rahmanullah 21,@rahmanullahgurbaz31
43,435700,,Afghanistan,,130700,🇦🇫👑Salman Helmandai 👑🇦🇫,@ismailshahjeweller
44,433400,,Afghanistan,,130000,❤️Javed Afghan❤️,@javedafghanshinwari
45,417800,,Afghanistan,family,125300,IM AFGHANISTAN FAMILY PIOLT,@niloofar_rahmani
46,416700,,Afghanistan,Funny,125000,Rukhsar Achakzai,@rukhsar_x0o
47,416200,,Afghanistan,,124900,Massud Shirzad,@massud.shirzad
48,405400,,Afghanistan,,121600,🧿مرواری هوتک🧿افغانی مور🇦🇫,@marwari_hotak
49,403400,,Afghanistan,,121000,Latifa Azizi,@latifaazizi404
50,391400,,Afghanistan,Entertainment and Music,117400,official_hafsaidris4,@hafsaidris4
51,390900,,Afghanistan,,117300,🥀فیضو_مندوخیل🥀,@malang_weror
52,388900,,Afghanistan,,116700,✨⚡️Shinwari ⚡️✨,@pekhawari_laila
53,379100,,Afghanistan,Sports,113700,hazratullah Zazai 3,@hazratullah_zazai33333
54,376900,,Afghanistan,,113100,👑 Įᒪ¥𝐀ş💙ｋ𝐡,@ilyas_khan41
55,371800,,Afghanistan,,111500,majidkha991,@majidkpk991
56,368900,,Afghanistan,,110700,Mr. 🇦🇫🐅,@rahilreehanofficial
57,367900,0.3,Afghanistan,,110400,Sultana2,@sultanalove2
58,355200,0.1,Afghanistan,,106600,user8902640896943,@altaf.mokhlis123
59,354000,,Afghanistan,,106200,Pathan,@suliman_kaka
60,345600,,Afghanistan,,103700,Ada qaderi 007,@ada.qaderi007
61,340200,,Afghanistan,,102100,Ziba hamidi,@ziba.hamidiofficial
62,338300,,Afghanistan,,101500,🖤ツلـونـګـيـن🇦🇫🥀,@mr_lawangen
63,337600,,Afghanistan,,101300,Sana faisal 🇦🇫,@sana_faisal_official1
64,330800,,Afghanistan,Celebrity Medical Health Music,99200,Neyaz Mohseni 🥇,@neyazmohseni
65,330100,,Afghanistan,Entertainment and Music Upskilling,99000,S I K A N D A R©️ سکندر نجیب,@sikandar.najib7
66,325100,0.5,Afghanistan,Entertainment and Music,97500,chief 💫,@officiallchief
67,322800,,Afghanistan,,96800,ROOHULLAH,@roohullah_tareen
68,322300,,Afghanistan,,96700,user243360,@mohammad78123
69,320200,,Afghanistan,,96100,🍁🅼🅰🆀🆂🅾🅾🅳 🅳🅰🆆🅰🆁 🍁,@maqsood_dawar
70,320100,,Afghanistan,,96000,𝖘𝖍𝖚𝖍𝖆𝖎𝖑𝖆🇦🇫🇵🇭,@shuhailasayedsultan0
71,307300,,Afghanistan,,92200,RTG_ شيخ,@rtg_shikh
72,305900,,Afghanistan,,91800,دختر اسلام,@dokhtar_islam
73,304400,,Afghanistan,,91300,Hejro To,@hejro_afghan75
74,303800,,Afghanistan,,91100,Ataulahafghan☝️🇦🇫,@ataualahafghan1
75,296600,,Afghanistan,,89000,Abadullah Niazi,@abadullah_niazi
76,295200,,Afghanistan,,88600,naz,@nazfarzana24
77,293900,,Afghanistan,Acting and Drama Celebrity,88200,Masoodgorwan,@masoodgorwan143
78,290800,,Afghanistan,,87200,Masoma Hosseini,@_elena_203
79,286700,0.4,Afghanistan,Funny,86000,KHALID SHERZAD,@khalid_sherzad
80,285700,,Afghanistan,,85700,Sorosh Haidari,@sorosh_001
81,285300,,Afghanistan,,85600,🇦🇫⛤AFG⛤🇦🇫,@ahmet__jam
82,283500,,Afghanistan,,85100,Azami Family,@iqbalazami
83,283400,,Afghanistan,Pets,85000,Azaria Afghan 🇦🇫,@azariaafghan
84,280700,,Afghanistan,,84200,عصمت پاچا,@asmat.pacha
85,280000,,Afghanistan,,84000,MIKAELA,@mikyneazesilva
86,276000,0.3,Afghanistan,Video Gaming,82800,Edrees Sharifi,@edreessharifi
87,273900,,Afghanistan,,82200,Ubaidmalikbhai,@ubaidmalikbhai
88,273400,,Afghanistan,,82000,Ayaan,@ayaan_ahb
89,267600,,Afghanistan,,80300,Ali Khan ahmadzai,@ali_ahmadzai90
90,265800,,Afghanistan,Video Gaming,79700,5 Star,@5_star1
91,265000,,Afghanistan,,79500,Shenkhalai,@shenkhalai45
92,263200,,Afghanistan,,79000,Masoud Rostami ✅,@masoud.rostami
93,261200,,Afghanistan,,78400,Afsar Afghan,@afsar_afghan8
94,259600,,Afghanistan,,77900,rehman khan <<<<”,@rk_khan75
95,259000,,Afghanistan,,77700,🔥𝙈𝘼𝙇𝘼𝙉𝙂 𝙈𝘼𝙍𝘿𝘼𝙉🔥,@mansoormalang83
96,259000,,Afghanistan,,77700,Zafar Jamıl,@zafar.babak
97,258700,,Afghanistan,Fitness,77600,🔥Nawid Faizi🔥,@nawid.faizi
98,254800,,Afghanistan,Video Gaming,76400,Trgsafi,@trgsafi
99,253900,0.1,Afghanistan,Funny,76200,user6292984813953,@shaz_nawabi1
100,253000,0.1,Afghanistan,,75900,Freshta Alimi,@freshta.alimi
