rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,category_unified,category_status,_platform,_month,_year
17,agustd,SUGA of BTS 민윤기,Lifestyle,38700000.0,South Korea,9200000.0,9200000.0,Music,Lifestyle,MAPPED,instagram,november,2022
18,jennierubyjane,J,Music,70100000.0,Indonesia,4200000.0,5000000.0,,Music,MAPPED,instagram,november,2022
19,karolg,KAROL G,Music,56200000.0,Mexico,5000000.0,6100000.0,,Music,MAPPED,instagram,november,2022
20,sooyaaa__,JISOO🤍,Music,64500000.0,Indonesia,4600000.0,5300000.0,Beauty,Music,MAPPED,instagram,november,2022
21,uarmyhope,jhope,Art/Artists,39600000.0,South Korea,7900000.0,7900000.0,Music,Lifestyle,MAPPED,instagram,november,2022
22,khaby00,Khaby Lame,Sports with a ball,79800000.0,India,2700000.0,3700000.0,,Sports,MAPPED,instagram,november,2022
23,iamcardib,Cardi B,Music,140800000.0,United States,1300000.0,1900000.0,Fashion,Music,MAPPED,instagram,november,2022
24,kimkardashian,Kim Kardashian,Fashion,330300000.0,United States,573100.0,807000.0,Beauty,Beauty&Fashion,MAPPED,instagram,november,2022
25,milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,58500000.0,Brazil,3400000.0,4300000.0,,Entertainment,MAPPED,instagram,november,2022
26,roses_are_rosie,ROSÉ,Music,63200000.0,Indonesia,3300000.0,3800000.0,,Music,MAPPED,instagram,november,2022
27,badbunnypr,,Music,43100000.0,United States,3600000.0,5600000.0,,Music,MAPPED,instagram,november,2022
28,rkive,RM,Lifestyle,38200000.0,,6100000.0,6100000.0,Music,Lifestyle,MAPPED,instagram,november,2022
29,jlo,Jennifer Lopez,Music,221600000.0,United States,796100.0,1000000.0,Cinema & Actors/actresses,Music,MAPPED,instagram,november,2022
30,zayn,Zayn Malik,Music,46900000.0,India,2800000.0,4400000.0,,Music,MAPPED,instagram,november,2022
31,jungkook.97,전 정국 이올시다,Music,46500000.0,,4200000.0,4200000.0,,Music,MAPPED,instagram,november,2022
32,instagram,Instagram,Photography,549300000.0,India,288500.0,360400.0,,Lifestyle,MAPPED,instagram,november,2022
33,bts.bighitofficial,BTS official,Music,67800000.0,Indonesia,2500000.0,2800000.0,,Music,MAPPED,instagram,november,2022
34,kourtneykardash,Kourtney Kardashian Barker,Lifestyle,197600000.0,United States,668300.0,958100.0,,Lifestyle,MAPPED,instagram,november,2022
35,champagnepapi,champagnepapi,Music,121100000.0,United States,854200.0,1400000.0,,Music,MAPPED,instagram,november,2022
36,therock,Dwayne Johnson,Cinema & Actors/actresses,338100000.0,India,360200.0,462400.0,Fitness & Gym,Entertainment,MAPPED,instagram,november,2022
37,kingjames,👑,Sports with a ball,133000000.0,United States,623600.0,1100000.0,,Sports,MAPPED,instagram,november,2022
38,narendramodi,Narendra Modi,Finance & Economics,69900000.0,India,1800000.0,2000000.0,Business & Careers,Knowledge&Info,MAPPED,instagram,november,2022
39,khloekardashian,Khloé Kardashian,Clothing & Outfits,272000000.0,United States,394800.0,489700.0,Lifestyle,Beauty&Fashion,MAPPED,instagram,november,2022
40,shawnmendes,Shawn Mendes,Music,70000000.0,Brazil,1200000.0,1800000.0,,Music,MAPPED,instagram,november,2022
41,dualipa,DUA LIPA,Music,87000000.0,United States,1100000.0,1400000.0,,Music,MAPPED,instagram,november,2022
42,dlwlrma,이지금 IU,Art/Artists,27800000.0,South Korea,3700000.0,4400000.0,,Lifestyle,MAPPED,instagram,november,2022
43,eunwo.o_c,차은우,Music,30500000.0,Indonesia,3100000.0,3900000.0,Lifestyle,Music,MAPPED,instagram,november,2022
44,harrystyles,,Music,47400000.0,United States,1800000.0,2400000.0,Fashion,Music,MAPPED,instagram,november,2022
45,katrinakaif,Katrina Kaif,Beauty,67300000.0,India,1400000.0,1600000.0,,Beauty&Fashion,MAPPED,instagram,november,2022
46,nasa,NASA,Science,82900000.0,India,1100000.0,1300000.0,Photography,Tech&Gaming,MAPPED,instagram,november,2022
47,k.mbappe,Kylian Mbappé,Sports with a ball,72600000.0,France,975000.0,1400000.0,,Sports,MAPPED,instagram,november,2022
48,adele,Adele,Music,50900000.0,United States,1400000.0,2000000.0,,Music,MAPPED,instagram,november,2022
49,actorleeminho,이민호 leeminho,Cinema & Actors/actresses,30800000.0,Indonesia,2500000.0,3200000.0,,Entertainment,MAPPED,instagram,november,2022
50,shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,74900000.0,India,1100000.0,1300000.0,,Entertainment,MAPPED,instagram,november,2022
51,shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,74900000.0,India,1100000.0,1300000.0,,Entertainment,MAPPED,instagram,november,2022
52,anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,59800000.0,India,1400000.0,1600000.0,,Entertainment,MAPPED,instagram,november,2022
53,realmadrid,Real Madrid C.F.,Sports with a ball,125200000.0,Spain,518700.00000000006,720800.0,,Sports,MAPPED,instagram,november,2022
54,oliviarodrigo,Olivia Rodrigo,Music,27900000.0,India,2500000.0,3100000.0,Cinema & Actors/actresses,Music,MAPPED,instagram,november,2022
55,blakelively,Blake Lively,Cinema & Actors/actresses,35200000.0,United States,1500000.0,2300000.0,,Entertainment,MAPPED,instagram,november,2022
56,nickiminaj,Barbie,Music,200900000.0,United States,252500.0,398800.0,,Music,MAPPED,instagram,november,2022
57,handemiyy,Hande Erçel,Cinema & Actors/actresses,28900000.0,Turkey,2100000.0,2700000.0,,Entertainment,MAPPED,instagram,november,2022
58,georginagio,Georgina Rodríguez,Lifestyle,39200000.0,India,1400000.0,2000000.0,Fashion,Lifestyle,MAPPED,instagram,november,2022
59,haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,48000000.0,United States,1200000.0,1600000.0,Modeling,Lifestyle,MAPPED,instagram,november,2022
60,sadiesink_,Sadie Sink,Modeling,24800000.0,Brazil,2100000.0,3000000.0,Lifestyle,Beauty&Fashion,MAPPED,instagram,november,2022
61,ester_exposito,Ester 🌙,Cinema & Actors/actresses,29200000.0,Mexico,1700000.0,2500000.0,,Entertainment,MAPPED,instagram,november,2022
62,fcbarcelona,FC Barcelona,Sports with a ball,112300000.0,Indonesia,417500.0,636600.0,,Sports,MAPPED,instagram,november,2022
63,willsmith,Will Smith,Cinema & Actors/actresses,63500000.0,United States,926600.0,1100000.0,Music,Entertainment,MAPPED,instagram,november,2022
64,johnnydepp,Johnny Depp,Cinema & Actors/actresses,27700000.0,India,1900000.0,2500000.0,Music,Entertainment,MAPPED,instagram,november,2022
65,jongsuk0206,이종석,Cinema & Actors/actresses,23800000.0,Indonesia,2200000.0,2900000.0,,Entertainment,MAPPED,instagram,november,2022
66,kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,36000000.0,Mexico,1500000.0,1800000.0,Lifestyle,Beauty&Fashion,MAPPED,instagram,november,2022
67,dovecameron,DOVE,Cinema & Actors/actresses,48300000.0,United States,1000000.0,1300000.0,,Entertainment,MAPPED,instagram,november,2022
68,beingsalmankhan,Salman Khan,Cinema & Actors/actresses,54300000.0,India,899100.0,1200000.0,Art/Artists,Entertainment,MAPPED,instagram,november,2022
69,bellahadid,Bella 🦋,Modeling,54700000.0,United States,700700.0,1100000.0,,Beauty&Fashion,MAPPED,instagram,november,2022
70,karimbenzema,Karim Benzema,Sports with a ball,57900000.0,France,729700.0,1100000.0,,Sports,MAPPED,instagram,november,2022
71,gigihadid,Gigi Hadid,Modeling,75700000.0,United States,544900.0,800400.0,Lifestyle,Beauty&Fashion,MAPPED,instagram,november,2022
72,bn_sj2013,박서준,Cinema & Actors/actresses,22800000.0,Indonesia,2200000.0,2600000.0,Modeling,Entertainment,MAPPED,instagram,november,2022
73,lelepons,Lele Pons,Music,49400000.0,Mexico,759900.0,1200000.0,,Music,MAPPED,instagram,november,2022
74,gal_gadot,Gal Gadot,Cinema & Actors/actresses,86700000.0,United States,520700.00000000006,673100.0,,Entertainment,MAPPED,instagram,november,2022
75,aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,70000000.0,India,662300.0,820100.0,,Entertainment,MAPPED,instagram,november,2022
76,ddlovato,Demi Lovato,Music,139500000.0,United States,318000.0,411900.0,,Music,MAPPED,instagram,november,2022
77,blackpinkofficial,BLΛƆKPIИK,Music,49700000.0,Indonesia,917700.0,1100000.0,,Music,MAPPED,instagram,november,2022
78,maluma,MALUMA,Music,62900000.0,Italy,577900.0,890400.0,,Music,MAPPED,instagram,november,2022
79,charlidamelio,charli,Lifestyle,49200000.0,United States,963100.0,1100000.0,Shows,Lifestyle,MAPPED,instagram,november,2022
80,niallhoran,Niall Horan,Music,30500000.0,United States,1200000.0,1700000.0,,Music,MAPPED,instagram,november,2022
81,zacefron,Zac Efron,Cinema & Actors/actresses,54700000.0,United States,639500.0,926600.0,,Entertainment,MAPPED,instagram,november,2022
82,virginia,Virginia Fonseca Costa,Shows,39400000.0,Brazil,819800.0,1300000.0,Lifestyle,Entertainment,MAPPED,instagram,november,2022
83,theweeknd,The Weeknd,Music,43400000.0,United States,843300.0,1100000.0,,Music,MAPPED,instagram,november,2022
84,madisonbeer,Madison Beer,Music,32600000.0,United States,1000000.0,1500000.0,,Music,MAPPED,instagram,november,2022
85,chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,56000000.0,India,667100.0,859700.0,,Entertainment,MAPPED,instagram,november,2022
86,camila_cabello,camila,Music,65300000.0,Brazil,538900.0,732700.0,,Music,MAPPED,instagram,november,2022
87,realstraykids,Stray Kids,Music,22800000.0,Indonesia,1700000.0,2000000.0,,Music,MAPPED,instagram,november,2022
88,paulodybala,Paulo Dybala,Sports with a ball,48600000.0,Argentina,588900.0,942700.0,,Sports,MAPPED,instagram,november,2022
89,dojacat,Doja Cat,Music,24400000.0,United States,1400000.0,1900000.0,,Music,MAPPED,instagram,november,2022
90,lilireinhart,Lili Reinhart,Cinema & Actors/actresses,28700000.0,Brazil,1100000.0,1600000.0,,Entertainment,MAPPED,instagram,november,2022
91,robertdowneyjr,Robert Downey Jr. Official,Cinema & Actors/actresses,53200000.0,India,630800.0,789500.0,,Entertainment,MAPPED,instagram,november,2022
92,oohsehun,SEHUN,Music,23200000.0,Indonesia,1500000.0,1800000.0,,Music,MAPPED,instagram,november,2022
93,natgeo,National Geographic,Nature & landscapes,239500000.0,United States,135800.0,172900.0,Science,Lifestyle,MAPPED,instagram,november,2022
94,whinderssonnunes,Whindersson Nunes,Humor & Fun & Happiness,58800000.0,Brazil,457200.0,704200.0,,Entertainment,MAPPED,instagram,november,2022
95,priyankachopra,Priyanka,Cinema & Actors/actresses,82300000.0,India,409100.0,497300.0,,Entertainment,MAPPED,instagram,november,2022
96,songkang_b,송강,,14800000.0,Mexico,2000000.0,2700000.0,,,,instagram,november,2022
97,chrisevans,Chris Evans,Cinema & Actors/actresses,17800000.0,United States,1900000.0,2300000.0,,Entertainment,MAPPED,instagram,november,2022
98,vindiesel,Vin Diesel,Cinema & Actors/actresses,82900000.0,Brazil,377100.0,488200.0,,Entertainment,MAPPED,instagram,november,2022
99,marcelotwelve,Marcelo Vieira,Sports with a ball,58700000.0,Spain,458100.0,680300.0,,Sports,MAPPED,instagram,november,2022
100,tchalamet,Timothée Chalamet,Cinema & Actors/actresses,18000000.0,United States,1300000.0,2200000.0,,Entertainment,MAPPED,instagram,november,2022
101,nehakakkar,Neha Kakkar (Mrs. Singh),Music,71100000.0,India,460200.0,536900.0,,Music,MAPPED,instagram,november,2022
102,iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,30600000.0,India,976100.0,1200000.0,,Entertainment,MAPPED,instagram,november,2022
103,samantharuthprabhuoffl,Samantha,Beauty,24300000.0,India,1200000.0,1500000.0,Modeling,Beauty&Fashion,MAPPED,instagram,november,2022
104,championsleague,UEFA Champions League,Sports with a ball,98300000.0,Brazil,267000.0,363700.0,,Sports,MAPPED,instagram,november,2022
105,twicetagram,TWICE,Music,26700000.0,Indonesia,1100000.0,1300000.0,Modeling,Music,MAPPED,instagram,november,2022
106,kritisanon,Kriti,Modeling,50800000.0,India,600100.0,699000.0,,Beauty&Fashion,MAPPED,instagram,november,2022
107,rashmika_mandanna,Rashmika Mandanna,Beauty,33600000.0,India,915200.0,1100000.0,Art/Artists,Beauty&Fashion,MAPPED,instagram,november,2022
108,iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,55700000.0,Italy,410700.0,632500.0,,Sports,MAPPED,instagram,november,2022
109,ursulolita,Úrsula Corberó ✨,Cinema & Actors/actresses,23600000.0,Brazil,1000000.0,1500000.0,Modeling,Entertainment,MAPPED,instagram,november,2022
110,hoooooyeony,Hoyeon,Lifestyle,22900000.0,South Korea,1200000.0,1500000.0,Music,Lifestyle,MAPPED,instagram,november,2022
111,433,433,Sports with a ball,51800000.0,Spain,402800.0,668700.0,,Sports,MAPPED,instagram,november,2022
112,zefelipecantor,Zé,Music,25000000.0,Brazil,786000.0,1400000.0,,Music,MAPPED,instagram,november,2022
113,mosalah,Mohamed Salah,Sports with a ball,52800000.0,Egypt,461500.0,653900.0,,Sports,MAPPED,instagram,november,2022
114,antonelaroccuzzo,Antonela Roccuzzo,Modeling,20200000.0,Argentina,1000000.0,1700000.0,Family,Beauty&Fashion,MAPPED,instagram,november,2022
115,tyga,T-Raww,Music,36800000.0,United States,619300.0,925900.0,,Music,MAPPED,instagram,november,2022
116,lucas_xx444,LUCAS,Art/Artists,11500000.0,Indonesia,2400000.0,3000000.0,,Lifestyle,MAPPED,instagram,november,2022
117,nike,Nike,Fitness & Gym,238500000.0,United States,109500.0,142200.0,Shopping & Retail,Sports,MAPPED,instagram,november,2022
118,addisonraee,Addison Rae,Beauty,39800000.0,United States,538900.0,831600.0,,Beauty&Fashion,MAPPED,instagram,november,2022
119,jacksonwang852g7,Jackson Wang,Music,30100000.0,China,920900.0,1100000.0,,Music,MAPPED,instagram,november,2022
120,madelame,Madelaine Petsch,Cinema & Actors/actresses,25200000.0,Russia,901700.0,1300000.0,,Entertainment,MAPPED,instagram,november,2022
121,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,23000000.0,Brazil,758900.0,1400000.0,Lifestyle,Sports,MAPPED,instagram,november,2022
122,jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,40800000.0,Brazil,529800.0,768900.0,,Entertainment,MAPPED,instagram,november,2022
123,_rl9,Robert Lewandowski,Sports with a ball,29900000.0,Poland,819900.0,1000000.0,,Sports,MAPPED,instagram,november,2022
124,alluarjunonline,Allu Arjun,Cinema & Actors/actresses,19300000.0,India,1300000.0,1600000.0,,Entertainment,MAPPED,instagram,november,2022
125,hi_high_hiy,황인엽,Cinema & Actors/actresses,14800000.0,South Korea,1800000.0,2100000.0,,Entertainment,MAPPED,instagram,november,2022
126,_jeongjaehyun,Jaehyun,,12500000.0,Indonesia,2000000.0,2500000.0,,,,instagram,november,2022
127,vancityreynolds,Ryan Reynolds,Cinema & Actors/actresses,45300000.0,United States,514000.0,676700.0,,Entertainment,MAPPED,instagram,november,2022
128,pewdiepie,PewDiePie,Computers & Gadgets,21800000.0,United States,1200000.0,1400000.0,,Tech&Gaming,MAPPED,instagram,november,2022
129,mrbeast,MrBeast,Shows,20000000.0,United States,1100000.0,1500000.0,Humor & Fun & Happiness,Entertainment,MAPPED,instagram,november,2022
130,dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,53700000.0,India,454500.0,559600.0,Lifestyle,Entertainment,MAPPED,instagram,november,2022
131,kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,26100000.0,India,915000.0,1100000.0,,Entertainment,MAPPED,instagram,november,2022
132,henrycavill,Henry Cavill,Cinema & Actors/actresses,21800000.0,Brazil,1100000.0,1400000.0,,Entertainment,MAPPED,instagram,november,2022
133,rosalia.vt,LA ROSALÍA,Music,22200000.0,Spain,981900.0,1300000.0,,Music,MAPPED,instagram,november,2022
134,hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,23200000.0,India,980300.0,1200000.0,,Sports,MAPPED,instagram,november,2022
135,ronaldinho,Ronaldo de Assis Moreira,Sports with a ball,68000000.0,Brazil,236900.0,412100.0,,Sports,MAPPED,instagram,november,2022
136,davidbeckham,David Beckham,Family,75300000.0,India,281400.0,361200.0,Sports with a ball,Lifestyle,MAPPED,instagram,november,2022
137,sydney_sweeney,Sydney Sweeney,Lifestyle,14300000.0,United States,994800.0,1900000.0,Cinema & Actors/actresses,Lifestyle,MAPPED,instagram,november,2022
138,sergioramos,Sergio Ramos,Sports with a ball,53300000.0,Spain,325300.0,498600.0,,Sports,MAPPED,instagram,november,2022
139,alexademie,,Music,11500000.0,United States,1300000.0,2300000.0,,Music,MAPPED,instagram,november,2022
140,hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,9700000.0,Indonesia,2000000.0,2800000.0,,Entertainment,MAPPED,instagram,november,2022
141,thenameisyash,Yash,Cinema & Actors/actresses,11300000.0,India,2000000.0,2300000.0,,Entertainment,MAPPED,instagram,november,2022
142,thedeverakonda,Vijay Deverakonda,Cinema & Actors/actresses,17500000.0,India,1300000.0,1500000.0,,Entertainment,MAPPED,instagram,november,2022
143,jamesrodriguez10,James Rodríguez,Sports with a ball,50000000.0,Colombia,346200.0,526400.0,,Sports,MAPPED,instagram,november,2022
144,shakira,Shakira,Music,76200000.0,India,250800.0,343300.0,,Music,MAPPED,instagram,november,2022
145,deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,69100000.0,India,285700.0,372700.0,,Entertainment,MAPPED,instagram,november,2022
146,hegdepooja,Pooja Hegde,Cinema & Actors/actresses,21400000.0,India,1000000.0,1200000.0,,Entertainment,MAPPED,instagram,november,2022
147,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,Shows,24100000.0,India,738400.0,1000000.0,Lifestyle,Entertainment,MAPPED,instagram,november,2022
148,bizarrap,BZRP,Music,15100000.0,Argentina,1300000.0,1600000.0,,Music,MAPPED,instagram,november,2022
149,norafatehi,Nora Fatehi,Cinema & Actors/actresses,42200000.0,India,473500.0,582700.0,Music,Entertainment,MAPPED,instagram,november,2022
150,manchesterunited,Manchester United,Sports with a ball,60700000.0,United Kingdom,251400.0,402200.0,,Sports,MAPPED,instagram,november,2022
151,sabrinacarpenter,Sabrina Carpenter,Music,27700000.0,Brazil,710000.0,871400.0,,Music,MAPPED,instagram,november,2022
152,hazardeden_10,Eden Hazard,Sports with a ball,27200000.0,Spain,550300.0,887100.0,,Sports,MAPPED,instagram,november,2022
153,lewishamilton,Lewis Hamilton,Racing Sports,29800000.0,Brazil,557400.0,799600.0,,Sports,MAPPED,instagram,november,2022
154,urvashirautela,Urvashi Rautela,Cinema & Actors/actresses,56500000.0,India,356000.0,420500.0,,Entertainment,MAPPED,instagram,november,2022
155,emmachamberlain,emma chamberlain,Lifestyle,16100000.000000002,United States,948900.0,1500000.0,Shows,Lifestyle,MAPPED,instagram,november,2022
156,katyperry,KATY PERRY,Music,172700000.0,Brazil,106500.0,137700.0,,Music,MAPPED,instagram,november,2022
157,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),Lifestyle,11200000.0,India,1800000.0,2200000.0,,Lifestyle,MAPPED,instagram,november,2022
158,saraalikhan95,Sara Ali Khan,Cinema & Actors/actresses,41100000.0,India,465400.0,567900.0,,Entertainment,MAPPED,instagram,november,2022
159,luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,32500000.0,Mexico,543000.0,717500.0,Clothing & Outfits,Entertainment,MAPPED,instagram,november,2022
160,shahidkapoor,Shahid Kapoor,Cinema & Actors/actresses,35700000.0,India,572300.0,648300.0,,Entertainment,MAPPED,instagram,november,2022
161,paulpogba,Paul Labile Pogba,Sports with a ball,55400000.0,Brazil,231400.0,412400.0,,Sports,MAPPED,instagram,november,2022
162,casemiro,Casemiro,Sports with a ball,17500000.0,Brazil,870700.0,1300000.0,,Sports,MAPPED,instagram,november,2022
163,emrata,Emily Ratajkowski,Modeling,29400000.0,United States,482200.0,769700.0,,Beauty&Fashion,MAPPED,instagram,november,2022
164,imhyoseop,안효섭,Lifestyle,9000000.0,Indonesia,2200000.0,2500000.0,,Lifestyle,MAPPED,instagram,november,2022
165,hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,43900000.0,India,406600.0,514900.0,,Entertainment,MAPPED,instagram,november,2022
166,jichangwook,지창욱,Cinema & Actors/actresses,21400000.0,Indonesia,828300.0,1100000.0,,Entertainment,MAPPED,instagram,november,2022
167,camimendes,camila mendes,Cinema & Actors/actresses,26900000.0,Brazil,594800.0,824300.0,,Entertainment,MAPPED,instagram,november,2022
168,na.jaemin0813,JAEMIN,,10100000.0,Indonesia,1800000.0,2200000.0,,,,instagram,november,2022
169,seonho__kim,김선호,,8199999.999999999,Indonesia,2200000.0,2800000.0,,,,instagram,november,2022
170,zkdlin,KAI,Music,14200000.0,Indonesia,1300000.0,1600000.0,,Music,MAPPED,instagram,november,2022
171,lanarhoades,Lana Rhoades,Lifestyle,16600000.000000002,United States,802800.0,1300000.0,Modeling,Lifestyle,MAPPED,instagram,november,2022
172,iambeckyg,Becky G,Music,33600000.0,Mexico,530100.0,638900.0,,Music,MAPPED,instagram,november,2022
173,kiaraaliaadvani,KIARA,Cinema & Actors/actresses,25100000.0,India,754000.0,855500.0,,Entertainment,MAPPED,instagram,november,2022
174,varundvn,VarunDhawan,Cinema & Actors/actresses,44300000.0,India,395400.0,481700.0,,Entertainment,MAPPED,instagram,november,2022
175,akshaykumar,Akshay Kumar,Cinema & Actors/actresses,63300000.0,India,281500.0,334600.0,,Entertainment,MAPPED,instagram,november,2022
176,leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,14800000.0,Indonesia,1100000.0,1400000.0,,Entertainment,MAPPED,instagram,november,2022
177,anitta,Anitta 🎤,Music,63300000.0,Brazil,173300.0,324600.0,,Music,MAPPED,instagram,november,2022
178,strangerthingstv,Stranger Things Netflix,Cinema & Actors/actresses,22600000.0,Brazil,662500.0,886600.0,Shows,Entertainment,MAPPED,instagram,november,2022
179,loganpaul,Logan Paul,Fitness & Gym,23900000.0,United States,625000.0,833400.0,,Sports,MAPPED,instagram,november,2022
180,jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,44500000.0,India,361300.0,440200.0,,Entertainment,MAPPED,instagram,november,2022
181,domelipa,domelipa,Lifestyle,19900000.0,Mexico,800000.0,974600.0,,Lifestyle,MAPPED,instagram,november,2022
182,bambam1a,BamBam,Music,16800000.0,Brazil,925800.0,1200000.0,,Music,MAPPED,instagram,november,2022
183,daddyyankee,Daddy Yankee,Music,45900000.0,Argentina,303300.0,423400.0,,Music,MAPPED,instagram,november,2022
184,erling.haaland,Erling Braut Haaland,Lifestyle,18300000.0,Brazil,701000.0,1000000.0,Sports with a ball,Lifestyle,MAPPED,instagram,november,2022
185,cznburak,Burak Özdemir,Food & Cooking,41000000.0,Turkey,341300.0,462900.0,,Lifestyle,MAPPED,instagram,november,2022
186,miakhalifa,Mia K.,Fitness & Gym,27700000.0,India,416900.0,666800.0,Lifestyle,Sports,MAPPED,instagram,november,2022
187,onyourm__ark,Mark,Lifestyle,9400000.0,Indonesia,1600000.0,2000000.0,,Lifestyle,MAPPED,instagram,november,2022
188,lilbaby,,Music,20400000.0,United States,485900.0,896600.0,,Music,MAPPED,instagram,november,2022
189,anuel,“REAL HASTA LA MUERTE”,Music,29600000.0,Spain,404200.0,615800.0,,Music,MAPPED,instagram,november,2022
190,enhypen,ENHYPEN,Lifestyle,11000000.0,Indonesia,1200000.0,1600000.0,,Lifestyle,MAPPED,instagram,november,2022
191,iamhalsey,halsey,Music,30600000.0,United States,440900.0,580300.0,,Music,MAPPED,instagram,november,2022
192,momo,모모 (MOMO),Lifestyle,8100000.0,Turkey,1500000.0,2200000.0,,Lifestyle,MAPPED,instagram,november,2022
193,do0_nct,Doyoung,Lifestyle,10500000.0,Indonesia,1300000.0,1700000.0,,Lifestyle,MAPPED,instagram,november,2022
194,zachking,Zach King,Shows,24400000.0,Indonesia,463200.0,713400.0,Humor & Fun & Happiness,Entertainment,MAPPED,instagram,november,2022
195,sunnyleone,Sunny Leone,Beauty,54000000.0,India,236100.0,320000.0,Cinema & Actors/actresses,Beauty&Fashion,MAPPED,instagram,november,2022
196,bbrightvc,bright,Cinema & Actors/actresses,16100000.000000002,Indonesia,887500.0,1100000.0,,Entertainment,MAPPED,instagram,november,2022
197,lukamodric10,Luka Modric,Sports with a ball,25000000.0,Spain,468100.0,686200.0,,Sports,MAPPED,instagram,november,2022
198,gatenm123,Gaten Matarazzo,Music,18800000.0,Brazil,684000.0,903400.0,Cinema & Actors/actresses,Music,MAPPED,instagram,november,2022
199,jamescharles,James Charles,Beauty,22600000.0,United States,510000.0,747600.0,,Beauty&Fashion,MAPPED,instagram,november,2022
200,kapilsharma,Kapil Sharma,Cinema & Actors/actresses,42900000.0,India,346500.0,394700.0,Shows,Entertainment,MAPPED,instagram,november,2022
201,serna_amini,Serna Amini,,9800000.0,Iran,1300000.0,1800000.0,,,,instagram,november,2022
202,josephquinn,Joseph Quinn,Cinema & Actors/actresses,8600000.0,Brazil,1700000.0,2000000.0,,Entertainment,MAPPED,instagram,november,2022
203,kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,23600000.0,India,589900.0,712900.0,,Entertainment,MAPPED,instagram,november,2022
