rank,handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_unified,category_status,_platform,_month,_year
51,virginia,Virginia Fonseca Costa,Shows,Lifestyle,41600000.0,Brazil,1400000.0,2200000.0,Entertainment,MAPPED,instagram,december,2022
52,actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,31500000.0,Indonesia,2300000.0,2900000.0,Entertainment,MAPPED,instagram,december,2022
53,paulodybala,Paulo Dybala,Sports with a ball,,51000000.0,Argentina,1100000.0,1800000.0,Sports,MAPPED,instagram,december,2022
54,adele,Adele,Music,,51000000.0,United States,1300000.0,1800000.0,Music,MAPPED,instagram,december,2022
55,haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,49600000.0,United States,1300000.0,1700000.0,Lifestyle,MAPPED,instagram,december,2022
56,gigihadid,Gigi Hadid,Modeling,Lifestyle,76400000.0,United States,752100.0,1100000.0,Beauty&Fashion,MAPPED,instagram,december,2022
57,jongsuk0206,이종석,Cinema & Actors/actresses,,24600000.0,Indonesia,2500000.0,3200000.0,Entertainment,MAPPED,instagram,december,2022
58,sadiesink_,Sadie Sink,Modeling,Lifestyle,25400000.0,Brazil,2200000.0,3100000.0,Beauty&Fashion,MAPPED,instagram,december,2022
59,shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,,76900000.0,India,851700.0,989100.0,Entertainment,MAPPED,instagram,december,2022
60,gal_gadot,Gal Gadot,Cinema & Actors/actresses,,92300000.0,United States,629000.0,813100.0,Entertainment,MAPPED,instagram,december,2022
61,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,Lifestyle,28100000.0,Brazil,1500000.0,2600000.0,Sports,MAPPED,instagram,december,2022
62,bellahadid,Bella 🦋,Modeling,,56600000.0,United States,799400.0,1300000.0,Beauty&Fashion,MAPPED,instagram,december,2022
63,katrinakaif,Katrina Kaif,Beauty,,69300000.0,India,882200.0,1000000.0,Beauty&Fashion,MAPPED,instagram,december,2022
64,richarlison,Richarlison,Sports with a ball,Lifestyle,20100000.0,Brazil,1900000.0,3500000.0,Sports,MAPPED,instagram,december,2022
65,real__pcy,EXO_CY,Music,,23900000.0,Indonesia,2400000.0,3000000.0,Music,MAPPED,instagram,december,2022
66,luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,Clothing & Outfits,32900000.0,Mexico,1600000.0,2100000.0,Entertainment,MAPPED,instagram,december,2022
67,shakira,Shakira,Music,,77900000.0,United States,647100.0,884100.0,Music,MAPPED,instagram,december,2022
68,theweeknd,The Weeknd,Music,,46500000.0,United States,1100000.0,1400000.0,Music,MAPPED,instagram,december,2022
69,fcbarcelona,FC Barcelona,Sports with a ball,,114800000.0,Indonesia,414900.0,584500.0,Sports,MAPPED,instagram,december,2022
70,blakelively,Blake Lively,Cinema & Actors/actresses,,37000000.0,United States,1200000.0,1800000.0,Entertainment,MAPPED,instagram,december,2022
71,iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,,33500000.0,India,1600000.0,2000000.0,Entertainment,MAPPED,instagram,december,2022
72,rashmika_mandanna,Rashmika Mandanna,Beauty,Art/Artists,35600000.0,India,1500000.0,1800000.0,Beauty&Fashion,MAPPED,instagram,december,2022
73,ddlovato,Demi Lovato,Music,,144200000.0,United States,335900.0,434000.0,Music,MAPPED,instagram,december,2022
74,mosalah,Mohamed Salah,Sports with a ball,,55000000.0,Indonesia,760800.0,1100000.0,Sports,MAPPED,instagram,december,2022
75,jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,,41100000.0,Brazil,1000000.0,1500000.0,Entertainment,MAPPED,instagram,december,2022
76,danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,33600000.0,India,1100000.0,1800000.0,Entertainment,MAPPED,instagram,december,2022
77,handemiyy,Hande Erçel,Cinema & Actors/actresses,,29200000.0,Turkey,1500000.0,2000000.0,Entertainment,MAPPED,instagram,december,2022
78,meganfox,Megan Fox,Cinema & Actors/actresses,,20800000.0,United States,1600000.0,2700000.0,Entertainment,MAPPED,instagram,december,2022
79,madisonbeer,Madison Beer,Music,,34000000.0,United States,1200000.0,1600000.0,Music,MAPPED,instagram,december,2022
80,dovecameron,DOVE,Cinema & Actors/actresses,,48400000.0,United States,861400.0,1100000.0,Entertainment,MAPPED,instagram,december,2022
81,akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,63600000.0,India,721000.0,856200.0,Entertainment,MAPPED,instagram,december,2022
82,blackpinkofficial,BLΛƆKPIИK,Music,,51400000.0,Indonesia,861700.0,1100000.0,Music,MAPPED,instagram,december,2022
83,lilireinhart,Lili Reinhart,Cinema & Actors/actresses,,28400000.0,Brazil,1200000.0,1800000.0,Entertainment,MAPPED,instagram,december,2022
84,chrisbrownofficial,BROWN,Music,,127300000.0,United States,264100.0,414200.0,Music,MAPPED,instagram,december,2022
85,championsleague,UEFA Champions League,Sports with a ball,,101100000.0,Brazil,371300.0,505900.0,Sports,MAPPED,instagram,december,2022
86,bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,23100000.0,Indonesia,1900000.0,2200000.0,Entertainment,MAPPED,instagram,december,2022
87,jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,25700000.0,Brazil,1500000.0,2100000.0,Knowledge&Info,MAPPED,instagram,december,2022
88,davidbeckham,David Beckham,Family,Sports with a ball,76400000.0,India,497300.0,664600.0,Lifestyle,MAPPED,instagram,december,2022
89,priyankachopra,Priyanka,Cinema & Actors/actresses,,84100000.0,India,541800.0,607900.0,Entertainment,MAPPED,instagram,december,2022
90,niallhoran,Niall Horan,Music,,30900000.0,United States,1100000.0,1600000.0,Music,MAPPED,instagram,december,2022
91,chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,56100000.0,India,687300.0,885400.0,Entertainment,MAPPED,instagram,december,2022
92,deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,70500000.0,India,527200.0,688100.0,Entertainment,MAPPED,instagram,december,2022
93,lelepons,Lele Pons,Music,,50300000.0,Mexico,615600.0,958700.0,Music,MAPPED,instagram,december,2022
94,vindiesel,Vin Diesel,Cinema & Actors/actresses,,84800000.0,Brazil,433000.0,558800.0,Entertainment,MAPPED,instagram,december,2022
95,tchalamet,Timothée Chalamet,Cinema & Actors/actresses,,18100000.0,United States,1600000.0,2600000.0,Entertainment,MAPPED,instagram,december,2022
96,robertdowneyjr,Robert Downey Jr.,Cinema & Actors/actresses,,53900000.0,India,687800.0,861100.0,Entertainment,MAPPED,instagram,december,2022
97,dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,55500000.0,India,674200.0,830300.0,Entertainment,MAPPED,instagram,december,2022
98,ester_exposito,Ester 🌙,Cinema & Actors/actresses,,28500000.0,Mexico,1100000.0,1600000.0,Entertainment,MAPPED,instagram,december,2022
99,zacefron,Zac Efron,Cinema & Actors/actresses,,56600000.0,United States,542400.0,786100.0,Entertainment,MAPPED,instagram,december,2022
100,charlidamelio,charli,Lifestyle,Shows,48700000.0,United States,786600.0,908700.0,Lifestyle,MAPPED,instagram,december,2022
101,angeldimariajm,Ángel Di María,Sports with a ball,,23200000.0,Argentina,1300000.0,1900000.0,Sports,MAPPED,instagram,december,2022
102,iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,,57100000.0,Italy,481700.0,760900.0,Sports,MAPPED,instagram,december,2022
103,luissuarez9,Luis Suárez,Sports with a ball,,45500000.0,Brazil,614500.0,949300.0,Sports,MAPPED,instagram,december,2022
104,michaelbjordan,Michael B. Jordan,Cinema & Actors/actresses,,19300000.0,United States,1500000.0,2200000.0,Entertainment,MAPPED,instagram,december,2022
105,yawnzzn,YEONJUN,,,11700000.0,India,2800000.0,3600000.0,,,instagram,december,2022
106,oohsehun,SEHUN,Music,,23300000.0,Indonesia,1400000.0,1700000.0,Music,MAPPED,instagram,december,2022
107,6ix9ine,,Music,,21600000.0,United States,1100000.0,1900000.0,Music,MAPPED,instagram,december,2022
108,433,433,Sports with a ball,,58200000.0,Spain,404800.0,672100.0,Sports,MAPPED,instagram,december,2022
109,jasonstatham,Jason Statham,Cinema & Actors/actresses,,31800000.0,India,845800.0,1200000.0,Entertainment,MAPPED,instagram,december,2022
110,lewishamilton,Lewis Hamilton,Racing Sports,,31000000.0,Brazil,833100.0,1200000.0,Sports,MAPPED,instagram,december,2022
111,jacquelinef143,Jacqueline Fernandez,Cinema & Actors/actresses,,64400000.00000001,India,472100.0,574900.0,Entertainment,MAPPED,instagram,december,2022
112,_jeongjaehyun,Jaehyun,,,13100000.0,Indonesia,2300000.0,2800000.0,,,instagram,december,2022
113,hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,,24400000.0,India,1200000.0,1400000.0,Sports,MAPPED,instagram,december,2022
114,chrisevans,Chris Evans,Cinema & Actors/actresses,,18300000.0,United States,1600000.0,1900000.0,Entertainment,MAPPED,instagram,december,2022
115,kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,36600000.0,Mexico,797900.0,963100.0,Beauty&Fashion,MAPPED,instagram,december,2022
116,achrafhakimi,Achraf Hakimi,Sports with a ball,,14400000.0,Morocco,1700000.0,2500000.0,Sports,MAPPED,instagram,december,2022
117,realstraykids,Stray Kids,Music,,23600000.0,Indonesia,1200000.0,1500000.0,Music,MAPPED,instagram,december,2022
118,_rl9,Robert Lewandowski,Sports with a ball,,31700000.0,Poland,889400.0,1100000.0,Sports,MAPPED,instagram,december,2022
119,theestallion,Megan Thee Stallion,Music,,30100000.0,United States,660200.0,1200000.0,Music,MAPPED,instagram,december,2022
120,rohitsharma45,Rohit Sharma,Sports with a ball,Lifestyle,26100000.0,India,1200000.0,1300000.0,Sports,MAPPED,instagram,december,2022
121,maluma,MALUMA,Music,,62900000.0,Italy,353900.0,544600.0,Music,MAPPED,instagram,december,2022
122,marcelotwelve,Marcelo Vieira,Sports with a ball,,60300000.0,Spain,367500.0,546200.0,Sports,MAPPED,instagram,december,2022
123,jichangwook,지창욱,Cinema & Actors/actresses,,22500000.0,Indonesia,1200000.0,1500000.0,Entertainment,MAPPED,instagram,december,2022
124,katyperry,KATY PERRY,Music,,184600000.0,Brazil,135800.0,175200.0,Music,MAPPED,instagram,december,2022
125,henrycavill,Henry Cavill,Cinema & Actors/actresses,,23200000.0,Brazil,1100000.0,1400000.0,Entertainment,MAPPED,instagram,december,2022
126,lucyhale,Lucy Hale,Cinema & Actors/actresses,,24600000.0,United States,984100.0,1300000.0,Entertainment,MAPPED,instagram,december,2022
127,tyga,T-Raww,Music,,37700000.0,United States,565200.0,845000.0,Music,MAPPED,instagram,december,2022
128,pewdiepie,PewDiePie,Computers & Gadgets,,21700000.0,United States,1200000.0,1500000.0,Tech&Gaming,MAPPED,instagram,december,2022
129,hi_high_hiy,황인엽,Cinema & Actors/actresses,,15100000.0,South Korea,1700000.0,2000000.0,Entertainment,MAPPED,instagram,december,2022
130,rodridepaul,Rodrigo De Paul,Sports with a ball,,10600000.0,Argentina,1600000.0,2900000.0,Sports,MAPPED,instagram,december,2022
131,sergioramos,Sergio Ramos,Sports with a ball,,54500000.0,Spain,389400.0,561100.0,Sports,MAPPED,instagram,december,2022
132,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,Shows,Lifestyle,24800000.0,India,880400.0,1200000.0,Entertainment,MAPPED,instagram,december,2022
133,kritisanon,Kriti,Modeling,,51900000.0,India,504200.0,587700.0,Beauty&Fashion,MAPPED,instagram,december,2022
134,finnwolfhardofficial,Finn Wolfhard,Music,Cinema & Actors/actresses,25900000.0,Brazil,884600.0,1200000.0,Music,MAPPED,instagram,december,2022
135,hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,,44600000.0,India,528300.0,667700.0,Entertainment,MAPPED,instagram,december,2022
136,beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,56100000.0,India,415000.0,529800.0,Entertainment,MAPPED,instagram,december,2022
137,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),Lifestyle,,11700000.0,India,2200000.0,2600000.0,Lifestyle,MAPPED,instagram,december,2022
138,saraalikhan95,Sara Ali Khan,Cinema & Actors/actresses,,41400000.0,India,582600.0,710700.0,Entertainment,MAPPED,instagram,december,2022
139,bizarrap,BZRP,Music,,15700000.0,Argentina,1500000.0,1900000.0,Music,MAPPED,instagram,december,2022
140,sza,SZA,Music,,13800000.0,United States,1300000.0,2100000.0,Music,MAPPED,instagram,december,2022
141,hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,,10400000.0,Indonesia,1900000.0,2800000.0,Entertainment,MAPPED,instagram,december,2022
142,miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27700000.0,India,652000.0,1000000.0,Sports,MAPPED,instagram,december,2022
143,mrbeast,MrBeast,Shows,Humor & Fun & Happiness,21700000.0,United States,974400.0,1300000.0,Entertainment,MAPPED,instagram,december,2022
144,cznburak,Burak Özdemir,Food & Cooking,,42300000.0,Turkey,499500.0,676700.0,Lifestyle,MAPPED,instagram,december,2022
145,songkang_b,송강,,,15000000.0,Mexico,1400000.0,1900000.0,,,instagram,december,2022
146,eumirellasantos,Mirella Santos,Modeling,,12200000.0,Brazil,1200000.0,2400000.0,Beauty&Fashion,MAPPED,instagram,december,2022
147,juliaanalvarez,Julián Alvarez🕷,Sports with a ball,,9100000.0,Argentina,1700000.0,3200000.0,Sports,MAPPED,instagram,december,2022
148,nehakakkar,Neha Kakkar (Mrs. Singh),Music,,73000000.0,India,330800.0,386000.0,Music,MAPPED,instagram,december,2022
149,lukamodric10,Luka Modric,Sports with a ball,,26900000.0,Spain,712900.0,1000000.0,Sports,MAPPED,instagram,december,2022
150,natgeo,National Geographic,Nature & landscapes,Science,250300000.0,United States,88200.0,112300.0,Lifestyle,MAPPED,instagram,december,2022
151,juliaanalvarez,Julián Alvarez🕷,Sports with a ball,,9000000.0,Argentina,1700000.0,3200000.0,Sports,MAPPED,instagram,december,2022
152,rosalia.vt,LA ROSALÍA,Music,,23100000.0,Spain,914800.0,1200000.0,Music,MAPPED,instagram,december,2022
153,thedeverakonda,Vijay Deverakonda,Cinema & Actors/actresses,,17700000.0,India,1400000.0,1600000.0,Entertainment,MAPPED,instagram,december,2022
154,melissamelmaia,MEL MAIA 🍯,Music,,16399999.999999998,Brazil,915800.0,1700000.0,Music,MAPPED,instagram,december,2022
155,jacksonwang852g7,Jackson Wang,Music,,30800000.0,China,741100.0,884300.0,Music,MAPPED,instagram,december,2022
156,jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,,45200000.0,India,519600.0,599400.0,Entertainment,MAPPED,instagram,december,2022
157,emi_martinez26,Emi Martinez,Lifestyle,Sports with a ball,10100000.0,United Kingdom,1800000.0,2700000.0,Lifestyle,MAPPED,instagram,december,2022
158,strangerthingstv,Stranger Things Netflix,Cinema & Actors/actresses,Shows,22200000.0,Brazil,903400.0,1200000.0,Entertainment,MAPPED,instagram,december,2022
159,erling.haaland,Erling Braut Haaland,Lifestyle,Sports with a ball,21600000.0,Brazil,820800.0,1200000.0,Lifestyle,MAPPED,instagram,december,2022
160,carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,26400000.0,Brazil,552100.0,1000000.0,Lifestyle,MAPPED,instagram,december,2022
161,emmawatson,Emma Watson,Literature & Journalism,Cinema & Actors/actresses,68800000.0,United States,279000.0,379600.0,Knowledge&Info,MAPPED,instagram,december,2022
162,camila_cabello,camila,Music,,65800000.0,Brazil,326100.0,392600.0,Music,MAPPED,instagram,december,2022
163,lanarhoades,Lana Rhoades,Lifestyle,Modeling,16600000.000000002,United States,943000.0,1500000.0,Lifestyle,MAPPED,instagram,december,2022
164,eminem,Marshall Mathers,Cinema & Actors/actresses,Music,37500000.0,United States,514000.0,679200.0,Entertainment,MAPPED,instagram,december,2022
165,na.jaemin0813,JAEMIN,,,10700000.0,Indonesia,1900000.0,2400000.0,,,instagram,december,2022
166,addisonraee,Addison Rae,Beauty,,39500000.0,United States,434900.0,637900.0,Beauty&Fashion,MAPPED,instagram,december,2022
167,luvadepedreiro,Iran Ferreira,Family,Sports with a ball,20100000.0,Brazil,754500.0,1300000.0,Lifestyle,MAPPED,instagram,december,2022
168,dojacat,Doja Cat,Music,,25000000.0,United States,738300.0,1000000.0,Music,MAPPED,instagram,december,2022
169,emilia_clarke,,Cinema & Actors/actresses,,27100000.0,India,726400.0,922600.0,Entertainment,MAPPED,instagram,december,2022
170,pablogavi,GAVI,Sports with a ball,,12000000.0,Spain,1400000.0,2100000.0,Sports,MAPPED,instagram,december,2022
171,tinistoessel,LaTripleT,Music,,19600000.0,Argentina,950400.0,1300000.0,Music,MAPPED,instagram,december,2022
172,viihtube,Viih Tube,Cinema & Actors/actresses,,25600000.0,Brazil,502500.0,947800.0,Entertainment,MAPPED,instagram,december,2022
173,ursulolita,Úrsula Corberó ✨,Cinema & Actors/actresses,Modeling,23000000.0,Brazil,707100.0,1000000.0,Entertainment,MAPPED,instagram,december,2022
174,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,Clothing & Outfits,Music,18100000.0,Indonesia,1100000.0,1300000.0,Beauty&Fashion,MAPPED,instagram,december,2022
175,banksy,Banksy,Art/Artists,,11900000.0,United States,1500000.0,2000000.0,Lifestyle,MAPPED,instagram,december,2022
176,sydney_sweeney,Sydney Sweeney,Lifestyle,Cinema & Actors/actresses,14500000.0,United States,860500.0,1600000.0,Lifestyle,MAPPED,instagram,december,2022
177,hazardeden_10,Eden Hazard,Sports with a ball,,27200000.0,Indonesia,529100.0,865300.0,Sports,MAPPED,instagram,december,2022
178,imhyoseop,안효섭,Lifestyle,,9700000.0,Indonesia,2100000.0,2400000.0,Lifestyle,MAPPED,instagram,december,2022
179,stephencurry30,Wardell Curry,Sports with a ball,Family,47800000.0,United States,380800.0,477200.0,Sports,MAPPED,instagram,december,2022
180,kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,43800000.0,India,456900.0,520700.00000000006,Entertainment,MAPPED,instagram,december,2022
181,seonho__kim,김선호,,,8400000.0,Indonesia,2200000.0,2800000.0,,,instagram,december,2022
182,leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,,15100000.0,Indonesia,1100000.0,1500000.0,Entertainment,MAPPED,instagram,december,2022
183,anitta,Anitta 🎤,Music,,63500000.0,Brazil,182300.0,340100.0,Music,MAPPED,instagram,december,2022
184,paulpogba,Paul Labile Pogba,Sports with a ball,,56000000.0,United Kingdom,218000.0,378400.0,Sports,MAPPED,instagram,december,2022
185,samantharuthprabhuoffl,Samantha,Beauty,Modeling,24300000.0,India,727100.0,871000.0,Beauty&Fashion,MAPPED,instagram,december,2022
186,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,16500000.0,India,1100000.0,1300000.0,Tech&Gaming,MAPPED,instagram,december,2022
187,loganpaul,Logan Paul,Fitness & Gym,,24600000.0,United States,644800.0,860300.0,Sports,MAPPED,instagram,december,2022
188,alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,19800000.0,India,912300.0,1100000.0,Entertainment,MAPPED,instagram,december,2022
189,zkdlin,KAI,Music,,14200000.0,Indonesia,1200000.0,1500000.0,Music,MAPPED,instagram,december,2022
190,psg,Paris Saint-Germain,Sports with a ball,,64400000.00000001,Brazil,180400.0,322800.0,Sports,MAPPED,instagram,december,2022
191,alidaei,Ali Daei,Sports with a ball,,11300000.0,Iran,1100000.0,1900000.0,Sports,MAPPED,instagram,december,2022
192,madelame,Madelaine Petsch,Cinema & Actors/actresses,,25400000.0,Russia,584200.0,817400.0,Entertainment,MAPPED,instagram,december,2022
193,lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,14200000.0,Mexico,994100.0,1400000.0,Music,MAPPED,instagram,december,2022
194,aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,14400000.0,Iran,952800.0,1400000.0,Sports,MAPPED,instagram,december,2022
195,sabrinacarpenter,Sabrina Carpenter,Music,,28100000.0,Brazil,584800.0,717600.0,Music,MAPPED,instagram,december,2022
196,juliette,Juliette,Cinema & Actors/actresses,,32500000.0,Brazil,368800.0,622200.0,Entertainment,MAPPED,instagram,december,2022
197,bbrightvc,bright,Cinema & Actors/actresses,,16800000.0,Indonesia,996200.0,1200000.0,Entertainment,MAPPED,instagram,december,2022
198,momo,모모 (MOMO),Lifestyle,,9300000.0,Turkey,1500000.0,2200000.0,Lifestyle,MAPPED,instagram,december,2022
199,liluzivert,Lil Uzi Vert,Music,,16900000.0,United States,632200.0,1200000.0,Music,MAPPED,instagram,december,2022
200,offsetyrn,OFFSET,Music,,20800000.0,United States,526900.0,944500.0,Music,MAPPED,instagram,december,2022
201,offsetyrn,OFFSET,Music,,20800000.0,United States,526900.0,944500.0,Music,MAPPED,instagram,december,2022
