#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Маргарита Дьяченкова @margo_flury,18.7M,1.6%,Russia,Acting and Drama Celebrity,5.6M
55,Элджей @sayonaraboy,2.8M,-,Russia,,840K
56,Каролина Моисеенко @karolinna.ru,2.8M,-,Russia,,840K
57,Тайны мира @10factov,2.8M,-,Russia,Education,840K
58,Золотое Яблоко @goldapple,2.8M,-,Russia,Beauty and Self Care,840K
59,Елена Райтман @elena.raytman,2.8M,-,Russia,Education,840K
60,Соня Кодолова @happy56dawn,2.8M,0.2%,Russia,,840K
61,Виктор Евгеньч ♠️ @victorblud,2.8M,-,Russia,,840K
62,👾T-killah🍸 @t_killah,2.8M,-,Russia,,840K
63,Луч Настя @luch.nastya,2.7M,-,Russia,Acting and Drama Entertainment and Music,810K
64,Русский Дэдпул @russiandeadpool,2.6M,-,Russia,,780K
65,Weloe / Велое @totweloe,2.5M,-,Russia,,750K
66,bittuevv @bittuevv1,2.5M,-,Russia,Funny DIY and Life Hacks Education Upskilling,750K
67,Олег Артемьев (Oleg Artemyev) @olegmks,2.5M,3.5%,Russia,,750K
68,Константин Ивлев @ivlev.chef,2.4M,0.3%,Russia,Food,720K
69,Danechka Blade @daniil_blade,2.4M,-,Russia,Animation and Cosplay,720K
70,Tarlavina Svetlana @svetlana_tarlavina,2.4M,0.1%,Russia,Nature Home and Garden,720K
71,rus_offf @rus_offf,2.3M,-,Russia,,690K
72,лыгаLOVE❤️ @lygalov,2.3M,-,Russia,,690K
73,AZAMAT AITALIEV @azamataytaliev25,2.3M,-,Russia,Entertainment and Music,690K
74,NikBoy🤍 @nikindurr,2.3M,-,Russia,Fashion and Accessories,690K
75,Григорий Мартовский @grishamartovskiy,2.3M,-,Russia,Entertainment and Music Funny Life and Society,690K
76,nekao_official @nekao_official,2.3M,-,Russia,Animation and Cosplay Entertainment and Music,690K
77,ЛУНТИК @lunteek,2.3M,-,Russia,Entertainment and Music,690K
78,Скапмастер Хайтекович @xautek,2.3M,0.1%,Russia,Entertainment and Music,690K
79,Максим Высоцкий @beatbox_max,2.3M,0.2%,Russia,Entertainment and Music,690K
80,Safronov Brothers @safronovbrothers,2.3M,0.1%,Russia,Entertainment and Music,690K
81,Mark Kalinin🖤 @2cutemark,2.3M,-,Russia,,690K
82,Волосатая медичка @mazanik_aliona,2.2M,-,Russia,Beauty and Self Care,660K
83,Lina @linawinme,2.2M,-,Russia,,660K
84,Стас Ёрник @stas.yornik,2.2M,-,Russia,,660K
85,Valeria Voronina @voronina_valeria_,2.2M,0.1%,Russia,,660K
86,avi @avivuni,2.1M,-,Russia,Entertainment and Music,630K
87,Екатерина Куличенко @tetya_mottya,2.1M,-,Russia,,630K
88,YanGo @yango,2.1M,-,Russia,,630K
89,@sport03tv @sport03tv,2.1M,-,Russia,,630K
90,Маша и Медведь @mashaandthebear_official,2.1M,-,Russia,Animation and Cosplay,630K
91,Софья Темникова @sonyatemnikova,2.1M,-,Russia,Auto and Vehicles,630K
92,Дамир Томсон @damir_tomson,2.1M,-,Russia,,630K
93,🔥like.meli🔥 @like.meli,2.1M,-,Russia,,630K
94,Alan Enileev @alan_enileev,2M,-,Russia,Auto and Vehicles Automotive,600K
95,Nika.Family @nika.family,2M,-,Russia,Pets Entertainment and Music,600K
96,Инна 👩‍👦Серж @innessa.sib,2M,-,Russia,Entertainment and Music,600K
97,Kristina Shmidt @theprincesskris,2M,-,Russia,Beauty and Self Care,600K
98,Артур Томашевский @arthurtomashevskyi,2M,-,Russia,Education Entertainment and Music,600K
99,СТС @tv_ctc,1.9M,-,Russia,Entertainment and Music,570K
100,FINIK @finik.finya,1.9M,0.1%,Russia,Entertainment and Music,570K
