rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
80,⚜️ 𝐎𝐥𝐚 𝐖𝐚𝐧𝐬𝐞𝐫𝐬𝐤𝐚 ⚜️ @ola_wanserska,736.3K,1.16%,Poland,Beauty and Self Care Travel Auto and Vehicles Modeling,220.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
81,Lena Moonlight 🌙 @lena_moonlight,734.7K,1.39%,Poland,Entertainment and Music Celebrity,220.4K,instagram,poland,False,2024,Music,MAPPED
82,Magda Pieczonka @magdapieczonkamakeup,734.4K,0.45%,Poland,Beauty and Self Care Public Figure Creators & Celebrities,220.3K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
83,Robert Makłowicz @robertmaklowicz_official,731.3K,3.28%,Poland,Food,219.4K,instagram,poland,False,2024,Lifestyle,MAPPED
84,Ewa Staniszewska @ewastaniszewska,716.3K,0.53%,Poland,Beauty and Self Care,214.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
85,Marta Borkowska | Photographer @marta_lvlfit,712K,0.39%,Poland,Photography Fitness and Health Modeling Coaching,213.6K,instagram,poland,False,2024,Sports,MAPPED
86,Grzegorz Krychowiak @grzegorz.krychowiak,710.2K,1.13%,Poland,Sports Soccer,213.1K,instagram,poland,False,2024,Sports,MAPPED
87,Justyna Sukanek @sukanek,705.1K,2.88%,Poland,"Funny Life and Society Celebrities Film, Music & Books",211.5K,instagram,poland,False,2024,Knowledge&Info,MAPPED
88,Amadeusz Ferrari @amadeusznolove,683.2K,12.45%,Poland,Entertainment and Music Automotive,205K,instagram,poland,False,2024,Tech&Gaming,MAPPED
89,Beata Drzazga @beata_drzazga_official,675.9K,0.03%,Poland,,202.8K,instagram,poland,False,2024,NA,NA
90,Ewa Farna @ewa_farna93,671.9K,0.74%,Poland,Entertainment and Music News,201.6K,instagram,poland,False,2024,Knowledge&Info,MAPPED
91,MARLEY Marlena Sojka @marlenasojka,665.7K,4.82%,Poland,Fashion and Accessories Parenting Music Dogs,199.7K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
92,LUKA @lucky_luka_official,662.9K,4.76%,Poland,Fashion and Accessories Entertainment and Music Food and Drink,198.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
93,Adrianna Muranowicz @truebeautyisinternal,657.9K,0.67%,Poland,Beauty and Self Care Parenting Actors Celebrities,197.4K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
94,👸🏼 @magie__may,656.4K,2.06%,Poland,Food and Drink Fashion Fashion and Accessories,196.9K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
95,Nadia Długosz / ex YT BEKSY @nadjowa,654.5K,1.24%,Poland,Fashion Art Celebrities,196.3K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
96,Marcin Prokop @_marcinprokop_,639.8K,0.8%,Poland,Journalists,192K,instagram,poland,False,2024,Knowledge&Info,MAPPED
97,DeeJayPallaside @deejaypallaside,636.8K,1.79%,Poland,"Entertainment and Music Modeling Celebrities Film, Music & Books",191K,instagram,poland,False,2024,Beauty&Fashion,MAPPED
98,Maja Kuczynska @kuczynska.maja,617.2K,2.28%,Poland,Outdoor Activity Sports,185.2K,instagram,poland,False,2024,Sports,MAPPED
99,Ania Starmach @ania_starmach,611.9K,0.53%,Poland,Food,183.6K,instagram,poland,False,2024,Lifestyle,MAPPED
100,"Joanna Kosidlovska | Influencer, Warsaw @kosidlovska",611.3K,7.96%,Poland,Sports Fashion and Accessories Education News,183.4K,instagram,poland,False,2024,Sports,MAPPED
