handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,29900000,Indonesia,2500000,3300000.0
actorsuriya,Suriya Sivakumar,Cinema & Actors/actresses,,4800000,India,715600,928700.0
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,,13700000,Turkey,128100,157400.0
adamsandler,Adam Sandler,Cinema & Actors/actresses,,13300000,United States,126800,161800.0
adamweitsman,Adam Weitsman,Business & Careers,,17200000,Russia,235800,321700.0
addisonraee,Addison Rae,Beauty,,40500000,United States,569500,880100.0
adinross,,,,2800000,United States,497200,1000000.0
adinross,,,,2700000,United States,497300,1000000.0
aespa_official,aespa 에스파,Lifestyle,,8900000,Indonesia,211900,304200.0
agustd,SUGA of BTS 민윤기,Lifestyle,Music,35900000,,10200000,
ahmedabohashima,Ahmed Abouhashima,Business & Careers,Finance & Economics,14800000,Egypt,121900,164400.0
ahmedhelmy,Ahmed Helmy,Humor & Fun & Happiness,,16600000,Egypt,107900,135600.0
ahmedhelmy,Ahmed Helmy,Humor & Fun & Happiness,,16600000,Egypt,107900,135600.0
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,62500000,India,501100,593800.0
albafloresoficial,Alba Flores,Cinema & Actors/actresses,,11700000,Spain,244400,328900.0
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,,8400000,Brazil,232500,589600.0
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,,22600000,India,281100,343800.0
alexis_officia1,Sanchez Alexis,Sports with a ball,,14000000,Chile,123200,202200.0
alexisren,Alexis Ren,Lifestyle,,16500000,United States,98700,153300.0
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,,21600000,Brazil,82500,185400.0
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,,66600000,India,1300000,1600000.0
aliandooo,Aliando Syarief,Music,Cinema & Actors/actresses,16600000,Indonesia,132500,212300.0
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,9400000,Iran,383800,578100.0
alishalehmann7,Alisha Lehmann,Sports with a ball,,7700000,Brazil,235600,444800.0
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,18500000,India,1100000,1400000.0
alok,Alok,Music,Art/Artists,27600000,Brazil,103900,132000.0
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,17200000,Italy,104700,162100.0
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,,12200000,India,125200,172100.0
alvxaro,ALVARO,Lifestyle,,9600000,Brazil,205700,515700.0
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,7800000,India,833600,933700.0
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8200000,Mexico,440900,492500.0
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,,24000000,India,97400,157100.0
amauryguichon,Amaury Guichon,Food & Cooking,,8900000,United States,416000,507800.0
amin.hayai,Amin Hayaiee,,,9000000,Iran,298100,392500.0
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30600000,India,202200,233700.0
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30700000,India,173000,199300.0
amybethmcnulty,Amybeth,Lifestyle,Cinema & Actors/actresses,7000000,Brazil,430500,591500.0
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,7000000,United States,613800,830200.0
anahi,Anahi,Music,Modeling,9700000,Brazil,340100,596300.0
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,22900000,India,355500,415700.0
anas,Anas,Family,Shows,5700000,,577700,
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,8500000,Colombia,462100,656900.0
andresiniesta8,Andres Iniesta,Sports with a ball,,39600000,Spain,63000,91700.0
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,,8700000,Mexico,320000,388100.0
angeldimariajm,Ángel Di María,Sports with a ball,,17500000,Argentina,178700,262900.0
angelinajolie,Angelina Jolie,Lifestyle,,13200000,Brazil,213800,354200.0
angelinajolie,Angelina Jolie,,,13200000,Brazil,213800,354200.0
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,14100000,Brazil,254200,318800.0
angelrai07,Angel Rai :),Humor & Fun & Happiness,,19900000,India,448100,539000.0
anguscloud,Angus Cloud,,,8300000,United States,864800,1400000.0
anirudhofficial,Anirudh,Lifestyle,Music,5900000,India,351800,445500.0
anitta,Anitta 🎤,Music,,62700000,Brazil,185700,345500.0
anjimaxuofficially,Anjali Arora,Lifestyle,,11400000,India,422100,540000.0
annehathaway,Anne Hathaway,Cinema & Actors/actresses,,24300000,United States,685600,903800.0
ansufati,Ansu Fati,Sports with a ball,,8600000,Spain,252300,382700.0
antogriezmann,Antoine Griezmann,Sports with a ball,,36300000,Spain,85700,138100.0
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19500000,Argentina,1000000,1700000.0
anuel,“REAL HASTA LA MUERTE”,Music,,28700000,Spain,382000,587400.0
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,,12200000,India,400000,456800.0
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,37600000,India,388400,451800.0
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,59100000,India,1100000,1300000.0
anyageraldine,anya geraldine,Music,,10800000,Indonesia,120700,202200.0
anyageraldine,anya geraldine,Music,,10800000,Indonesia,120700,202200.0
anyataylorjoy,Anya Taylor-Joy,,,9100000,United States,711200,1000000.0
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,,15100000,Turkey,288000,372100.0
arashi_5_official,ARASHI,Music,,4400000,Japan,535000,557800.0
arianagrande,Ariana Grande,Music,,318300000,United States,2000000,2800000.0
arigameplays,ARIGAMEPLAYS,,,10500000,Mexico,764400,918000.0
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,29100000,India,152200,184900.0
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,29100000,India,152200,184900.0
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000,Brazil,312400,589600.0
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,14000000,Brazil,103600,239600.0
asabopp,Asa Butterfield,Cinema & Actors/actresses,,5800000,Brazil,602900,881700.0
asalamaleh,Asala Maleh,Shows,,6900000,Iraq,326100,403800.0
asaprocky,GRIM,Music,,15000000,United States,437500,730700.0
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,14500000,India,655600,802100.0
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,22800000,India,81300,99300.0
ataliapr,atalia praratya,Lifestyle,,3900000,Indonesia,825500,1300000.0
ateez_official_,ATEEZ(에이티즈),Music,,6700000,United States,287400,329400.0
ateez_official_,ATEEZ(에이티즈),Music,,6700000,United States,287400,329400.0
auba,Pierre-Emerick Aubameyang,Sports with a ball,,12800000,United Kingdom,130300,207000.0
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,26400000,Indonesia,236900,299200.0
avani,avani,Beauty,Lifestyle,19000000,United States,176500,237600.0
avengers,Avengers,Cinema & Actors/actresses,,13500000,India,180200,226200.0
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,32100000,India,266900,325000.0
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,11200000,Brazil,163200,203500.0
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,21100000,India,715100,857600.0
badbunnypr,,Music,,40600000,United States,3500000,5500000.0
bambam1a,BamBam,Music,,16500000,Brazil,928700,1200000.0
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000,United States,84900,100400.0
barbieferreira,barbie ferreira,,,6300000,United States,597200,1100000.0
bbrightvc,bright,Cinema & Actors/actresses,,15400000,Indonesia,1300000,1600000.0
beautifuldestinations,BEAUTIFUL DESTINATIONS,Photography,Travel,24600000,United States,105000,141000.0
beberexha,Bebe Rexha,Music,Lifestyle,10800000,India,188300,278500.0
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,52800000,India,390500,501300.0
belindapop,Beli,Music,,15400000,Mexico,405000,581000.0
belindapop,Beli,Music,,15400000,Mexico,270500,388300.0
bellahadid,Bella 🦋,Modeling,,53100000,United States,425200,682500.0
bellapoarch,Bella Poarch,,,14200000,United States,772000,1000000.0
bellathorne,BELLA,Music,Art/Artists,25400000,United States,189900,317300.0
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,17200000,Philippines,206000,248700.0
beyonce,Beyoncé,Music,Fashion,265000000,United States,922600,1300000.0
bhadbhabie,Bhabie,Music,,16400000,United States,122000,228600.0
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,14600000,India,544100,673700.0
bianca,BIANCA ROSA,Beauty,,18000000,Brazil,72600,170900.0
bibisbeautypalace,! Bibi,Family,Lifestyle,8300000,Germany,357600,411200.0
bighit_ent,BigHit Music Updates,Music,,13000000,Indonesia,584300,720000.0
billieeilish,BILLIE EILISH,Music,,104100000,United States,2600000,3400000.0
bizarrap,BZRP,Music,,13200000,Argentina,1000000,1200000.0
blackpinkofficial,BLΛƆKPIИK,Music,,47400000,Indonesia,1200000,1500000.0
bleacherreport,Bleacher Report,Sports with a ball,,19200000,United States,86800,171700.0
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13500000,Philippines,149900,170600.0
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,22100000,Indonesia,2100000,2500000.0
borodylia,Ксения Бородина,Shows,Family,18400000,Russia,116700,143400.0
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22300000,United States,732600,950300.0
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18400000,United States,368800,620300.0
brfootball,Bleacher Report Football,Sports with a ball,,12400000,United States,116000,187900.0
briandadeyanara,BRIANDA 💖,,,12900000,Mexico,222700,261200.0
britneyspears,Britney Spears,Music,,41600000,United States,494600,685600.0
bronny,,,,6300000,United States,718400,1300000.0
brooklynpeltzbeckham,,Modeling,Lifestyle,14200000,United States,106900,164500.0
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,43000000,Brazil,102500,176200.0
brunogagliasso,Bruno Gagliasso,Cinema & Actors/actresses,Photography,21400000,Brazil,139000,202500.0
brunomars,Bruno Mars,Music,,25700000,Brazil,547500,829500.0
brycehall,Bryce Hall,Music,,7300000,United States,304200,390500.0
bts.bighitofficial,BTS official,Music,,65400000,Indonesia,3700000,4100000.0
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16500000,United States,118400,159900.0
bumkeyk,SHINee KEY,Music,,9200000,Indonesia,324000,388700.0
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,21400000,Turkey,232200,282800.0
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,,9200000,Turkey,295800,382900.0
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,19000000,United States,147800,228000.0
caiocastro,Caio Castro,Cars & Motorbikes,Racing Sports,20600000,Brazil,74900,132600.0
camila_cabello,camila,Music,,64100000,Brazil,434700,588800.0
camilaloures,Camila Loures,Shows,,18200000,Brazil,91900,136500.0
camilo,C A M I L O,Music,,27400000,Argentina,197700,314700.0
candiceking,Candice King,Family,Lifestyle,9900000,Brazil,267800,373400.0
canelo,Saul Alvarez,Fitness & Gym,,13400000,Mexico,133700,185700.0
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9700000,Italy,197400,245800.0
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43000000,United States,120000,166300.0
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,25800000,Brazil,449600,822300.0
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15800000,India,719700,847600.0
casemiro,Casemiro,Sports with a ball,,15700000,Spain,195300,291800.0
catherinemcbroom,Catherine Paiz,Family,,7400000,United States,581800,999200.0
caviarmagnat,by Tregubov,,,15200000,Russia,216200,313200.0
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,,10300000,Argentina,215000,275900.0
cbum,Chris Bumstead,Fitness & Gym,,8500000,United States,504200,833200.0
centralcee,📲,,,3600000,United Kingdom,378300,926300.0
chaelincl,CL,Art/Artists,Fashion,10200000,Brazil,211600,279800.0
champagnepapi,champagnepapi,Music,,114800000,United States,763600,1200000.0
charles_leclerc,Charles Leclerc,Racing Sports,,7800000,Italy,346900,461300.0
charlidamelio,charli,Lifestyle,Shows,48800000,United States,638800,739200.0
charlieputh,Charlie Puth,Music,,16200000,United States,331400,472000.0
chelseafc,Chelsea FC,Sports with a ball,,34700000,Indonesia,88300,133100.0
chiaraferragni,Chiara Ferragni ✨,Beauty,,27400000,Italy,168600,280600.0
chieffkeeffsossa,Chief Keef,Music,,7700000,United States,168600,311400.0
chinguamiga,sujin kim,Humor & Fun & Happiness,Shows,6000000,Mexico,336100,390400.0
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,,20900000,United States,171100,229900.0
choi_seung_hyun_tttop,TOP,,,14200000,Indonesia,352300,418600.0
chrisbrownofficial,BREEZY,Music,,113500000,United States,153500,237700.0
chrisevans,Chris Evans,,,16700000,United States,1700000,2100000.0
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,55000000,India,837200,1100000.0
chrismcg,Christopher McGinnis,,,10500000,United States,164500,362100.0
chrissyteigen,chrissy teigen,Shows,Modeling,38300000,United States,56000,72000.0
christian_fig,Christian Figueiredo,Cinema & Actors/actresses,Lifestyle,10600000,Brazil,127900,199200.0
ciara,Ciara,Music,Modeling,32100000,United States,97700,132500.0
clean_0828,김세정,Lifestyle,,7900000,Indonesia,1600000,2000000.0
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,,18600000,Brazil,169000,265600.0
coldplay,Coldplay,Music,,16500000,Brazil,127300,176200.0
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5000000,United States,348600,490700.0
colesprouse,Cole Sprouse,Modeling,,36000000,United States,653600,854900.0
conangray,Conan Gray,Music,,6300000,Brazil,607500,907800.0
coolio_daryl,Coolio,,,5900000,,581300,
corinnakopf,corinna kopf,Beauty,,6600000,United States,492400,753900.0
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,,12200000,India,198500,262400.0
cristiano,Cristiano Ronaldo,Sports with a ball,,459200000,India,5100000,6200000.0
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19900000,Colombia,102000,125800.0
cznburak,Burak Özdemir,Food & Cooking,,36000000,Turkey,531800,722100.0
cznburak,Burak Özdemir,Food & Cooking,,36100000,Turkey,504000,683600.0
d_degeaofficial,David De Gea,Sports with a ball,,13400000,United Kingdom,167700,237200.0
dababy,BILLION DOLLAR BABY 👶🏾,Music,,21100000,United States,165100,267700.0
daddyyankee,Daddy Yankee,Music,,45800000,Argentina,210900,294300.0
dagelan,Dagelan,Humor & Fun & Happiness,,20800000,Indonesia,65800,111800.0
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,32900000,India,1300000,2200000.0
danialves,Daniel Alves,Sports with a ball,,36600000,Brazil,66200,102100.0
dannapaola,Danna Paola,Music,,34200000,Mexico,571300,829800.0
daquan,Daquan,Humor & Fun & Happiness,,16800000,United States,293200,451700.0
darianrojasc,DARIAN R. C R A W S T O N ✗,Lifestyle,,7900000,Mexico,748400,827500.0
darshanravaldz,Darshan Raval #Goriye,Music,,15400000,India,416200,502500.0
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,,13600000,Russia,164600,213600.0
davidalaba,David Alaba,Sports with a ball,,10000000,Spain,332000,470500.0
davidbeckham,David Beckham,Family,Sports with a ball,74300000,India,272900,346400.0
davidluiz23,David Luiz,Sports with a ball,,21800000,Brazil,45800,101500.0
davidluiz23,David Luiz,Sports with a ball,,21800000,Brazil,45800,101500.0
davidmichigan,David Michigan ⚡️,Art/Artists,Photography,16700000,United States,96500,125400.0
davido,Davido,Music,,24400000,Nigeria,129800,181100.0
dbook,Devin,,,5300000,United States,381600,749600.0
ddlovato,Demi Lovato,Music,,135200000,United States,230900,302500.0
dean.schneider,Dean Schneider,Animals,,10100000,India,236600,303200.0
dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,Lifestyle,,3600000,South Korea,1300000,1400000.0
dearra,De'arra Taylor,Lifestyle,,6200000,United States,182400,454900.0
dedesecco,Deborah Secco,Cinema & Actors/actresses,,24000000,Brazil,73100,95600.0
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,67600000,India,462000,602800.0
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,11500000,Brazil,222400,409200.0
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,11500000,Brazil,222400,409200.0
dejesusoficial,Gabriel Jesus,Sports with a ball,,17300000,Brazil,97400,150700.0
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,,15200000,India,318700,406500.0
demirose,Demi 🌹,Modeling,Lifestyle,19900000,United States,263500,343900.0
dew_jsu,2000,Cinema & Actors/actresses,,6000000,Indonesia,543800,731700.0
dhanushkraja,Dhanush,Cinema & Actors/actresses,,4300000,India,484900,628300.0
dilettaleotta,🌸Diletta Leotta🌸,Shows,,8300000,Italy,188900,282100.0
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,,13500000,India,148500,179400.0
dindahw,Dinda Hauw,Cinema & Actors/actresses,,14400000,Indonesia,150400,224800.0
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,51800000,India,688100,845400.0
dixiedamelio,dixie,Music,Clothing & Outfits,25100000,United States,217500,318000.0
djokernole,Novak Djokovic,Sports with a ball,,10900000,Serbia,172200,211900.0
djsnake,djsnake,Music,,9500000,India,383000,455400.0
djxiao_888,XIAOJUN,,,6800000,Indonesia,980100,1200000.0
dkharbour,David Harbour,Cinema & Actors/actresses,,7700000,United States,238400,312700.0
dlwlrma,이지금 IU,Art/Artists,,26900000,South Korea,2500000,3000000.0
dntlrdl,CHOIWOOSHIK,Lifestyle,,6400000,Indonesia,787700,1000000.0
do0_nct,Doyoung,Lifestyle,,10300000,Indonesia,1400000,1800000.0
dojacat,Doja Cat,Music,,24300000,United States,2400000,3300000.0
domelipa,domelipa,Lifestyle,,18700000,Mexico,882400,1100000.0
donatella_versace,Donatella Versace,Fashion,,8900000,United States,159100,275400.0
donya,Donya,Fashion,,15100000,Iran,192300,301600.0
dovecameron,DOVE,Cinema & Actors/actresses,,47900000,United States,1100000,1400000.0
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,,10600000,India,363400,492600.0
dra.deolanebezerra,Deolane Bezerra,Lifestyle,,14300000,Brazil,282800,605700.0
dualipa,DUA LIPA,Music,,84700000,Mexico,1200000,1500000.0
dudewithsign,Seth,,,8100000,United States,219200,345300.0
duki,Ya Supiste,Music,,9900000,Argentina,429100,660200.0
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7400000,United States,283200,460300.0
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,,9200000,United States,356900,560000.0
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,23300000,United States,175200,214000.0
easportsfifa,EA SPORTS FIFA,Sports with a ball,,26600000,Spain,81100,136100.0
easymoneysniper,,Lifestyle,Sports with a ball,13000000,United States,324300,608600.0
eda.ece,Eda Ece,Lifestyle,Cinema & Actors/actresses,6500000,Turkey,290100,356800.0
eduincaz,Eduin Caz,Lifestyle,,7100000,Mexico,234200,299600.0
egorkreed,Егор Крид | #HeartBreakKid,Music,,14700000,Russia,241900,297400.0
egupta,Esha Gupta,Lifestyle,Modeling,8600000,India,347400,435100.0
eilirjani,Elton ILIRJANI,Lifestyle,,10300000,Albania,153900,222700.0
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8500000,Turkey,216900,260600.0
elmarianaa,El Mariana,Humor & Fun & Happiness,,3600000,Mexico,568600,831300.0
elrodrigocontreras,ROD🥴,Lifestyle,,12900000,Mexico,683700,754200.0
elrubiuswtf,el rubius WTF,Computers & Gadgets,,16700000,Mexico,1200000,1400000.0
emiliamernes,Emilia Mernes,Music,,5800000,Argentina,325200,612300.0
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,36100000,Iran,442800,571600.0
emmachamberlain,emma chamberlain,Lifestyle,Shows,15700000,United States,934700,1400000.0
emmaroberts,Emma Roberts,Cinema & Actors/actresses,,18100000,United States,126300,185800.0
emrata,Emily Ratajkowski,Modeling,,29400000,United States,431700,688800.0
enhypen,ENHYPEN,Music,,10400000,Indonesia,757800,1100000.0
erling.haaland,Erling Braut Haaland,,,16800000,Brazil,797200,1200000.0
esbilgic,Esra Bilgic,Lifestyle,Modeling,6900000,India,309100,393700.0
espn,ESPN,Sports with a ball,,23100000,United States,74000,134700.0
ester_exposito,Ester 🌙,Cinema & Actors/actresses,,29300000,Russia,2300000,3400000.0
eunwo.o_c,차은우,Music,Lifestyle,28900000,Indonesia,3700000,4600000.0
euphoria,euphoria,,,7900000,United States,564200,910600.0
evaluna,Evaluna Montaner de Echeverry,Family,Music,20700000,Argentina,846800,1200000.0
everyone_woo,Wonwoo,,,2800000,Indonesia,787500,1000000.0
ewsbdi,로운,,,4500000,Indonesia,504500,753800.0
f1,FORMULA 1®,Racing Sports,,19700000,Italy,107600,136200.0
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,8000000,Italy,387700,670800.0
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,8000000,Italy,387700,670800.0
fadiljaidi,Fadil Jaidi,Lifestyle,,7600000,Indonesia,409400,615200.0
farhaddddddd,Farhad Majidi,Sports with a ball,,3600000,Iran,477000,787600.0
faz3,Fazza,Lifestyle,,14400000,United Arab Emirates,189400,248700.0
fcbarcelona,FC Barcelona,Sports with a ball,,109700000,Indonesia,316900,481000.0
fcbayern,FC Bayern,Sports with a ball,,33100000,Germany,214900,314600.0
fedeevalverde,Fede Valverde,Sports with a ball,,6200000,Spain,314800,446400.0
fedez,FEDEZ,Music,,14100000,Italy,441600,612200.0
feliciathegoat,"Tyler, The Creator",Music,,12800000,United States,822000,1400000.0
felipeneto,Felipe Neto 🦉,Lifestyle,,15900000,Brazil,162300,231100.0
fenerbahce,Fenerbahçe,Sports with a ball,,7900000,Turkey,205300,274500.0
fernandasouzaoficial,🇫 🇪 🇷 🇳 🇦 🇳  🇩 🇦   🇸 🇴 🇺 🇿 🇦,Music,Cinema & Actors/actresses,22000000,Brazil,106500,147200.0
fifaworldcup,FIFA World Cup,Sports with a ball,,28000000,India,55800,83800.0
filiperet,Ret,Lifestyle,,6800000,Brazil,147900,379400.0
finnwolfhardofficial,Finn Wolfhard,Music,Cinema & Actors/actresses,23300000,Brazil,1000000,1400000.0
florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7400000,United States,562400,859800.0
floydmayweather,Floyd Mayweather,Fitness & Gym,,28300000,United States,73200,127700.0
fortnite,Fortnite,Computers & Gadgets,,25900000,United States,161100,189600.0
francety,Francia James,Adult content,,11300000,India,158400,207400.0
frenkiedejong,Frenkie de Jong,Sports with a ball,,10400000,Spain,311400,466800.0
friends,Friends,Shows,,11900000,Brazil,270300,339700.0
fuckjerry,FUCKJERRY,Humor & Fun & Happiness,,16800000,United States,175500,226400.0
fuji_an,Fujianti Utami Putri,Lifestyle,Family,11700000,Indonesia,191300,454700.0
funnymike,FunnyMike,Art/Artists,,7900000,United States,166600,295100.0
future,Future PLUTO Hendrix,Music,,20600000,United States,490000,979600.0
g_eazy,G-Eazy,Music,Art/Artists,9600000,United States,154500,236000.0
g_eazy,G-Eazy,Music,Art/Artists,9600000,United States,154500,236000.0
gabigol,Gabi 🇧🇷 Lil Gabi,Sports with a ball,,9800000,Brazil,164400,248800.0
gal_gadot,Gal Gadot,Cinema & Actors/actresses,,82900000,United States,443900,572800.0
galatasaray,Galatasaray,Sports with a ball,,11400000,Turkey,198300,240100.0
garethbale11,Gareth Bale,Sports with a ball,,47700000,Spain,481400,759500.0
gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,15800000,Brazil,429100,566700.0
geewonii,김지원,,,7500000,Indonesia,473400,624300.0
geneliad,Genelia Deshmukh,Cinema & Actors/actresses,,10100000,India,174400,215500.0
geneliad,Genelia Deshmukh,Cinema & Actors/actresses,,10100000,India,174400,215500.0
georgenotfound,GeorgeNotFound,,,3000000,United States,1000000,1100000.0
georginagio,Georgina Rodríguez,Lifestyle,Fashion,38600000,India,2000000,2900000.0
germangarmendia,GERMAN,Cinema & Actors/actresses,Fitness & Gym,14600000,Argentina,799400,966400.0
ggonekim,,,,5400000,Indonesia,426100,523900.0
gianlucavacchi,Gianluca Vacchi,Lifestyle,,22400000,Brazil,231900,358000.0
giannis_an34,Giannis Antetokounmpo,Sports with a ball,,12800000,United States,157900,249900.0
gigihadid,Gigi Hadid,Modeling,Lifestyle,74900000,United States,1600000,2400000.0
gildovigor,GIL DO VIGOR,Family,Lifestyle,15200000,Brazil,143800,202100.0
gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,Modeling,28400000,Brazil,78400,125300.0
gisele,Gisele Bündchen,Modeling,Fashion,19400000,Brazil,128300,190700.0
goar_avetisyan,Goar Avetisyan,Beauty,,11600000,Russia,227700,315700.0
golfarahani,Golshifteh Farahani,Cinema & Actors/actresses,,13300000,Iran,389000,503400.0
