handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
daniel.labelle,Daniel LaBelle,26200000.0,5500000.0,777000.0,2600.0,3400.0
danivallem,Dani Valle,4500000.0,1400000.0,108400.0,764.0,16100.000000000002
dannapaola,Danna Paola,16300000.0,4500000.0,554100.0,1600.0,778.0
danphto,D A N P H T O,448000.0,2300000.0,206900.0,2000.0,382.0
danythegaggio,Daniele Cabras,3000000.0,2200000.0,300200.0,2500.0,12100.0
daotthungan,Đào TThu Ngân,1000000.0,3100000.0,229700.0,985.0,301.0
daraarafah24,daraarafah,786400.0,3300000.0,429800.0,5800.0,2700.0
darianrojasc,D A R I A NR O J A S,30400000.0,8100000.0,1000000.0,3900.0,1200.0
dasigantung,Dasi Gantung,5600000.0,2700000.0,426200.0,1200.0,918.0
datdo0803,Đỗ Đạt,6900000.0,5800000.0,592400.0,2200.0,696.0
datvilla94,🔥Đạt Villa🔥,7100000.0,4500000.0,490800.0,8300.0,4600.0
daveardito,Dave Ardito,8800000.0,3900000.0,330600.0,2600.0,1000.0
daviddobrik,DAVID DOBRIK,26000000.0,5000000.0,854600.0,2100.0,2600.0
davidgalvanv,David Galván,4800000.0,2100000.0,291800.0,2000.0,548.0
davidsiwonchoi,최시원 • Siwon Choi,2500000.0,1900000.0,309700.0,2200.0,1800.0
davidyrodriguez,That French Guy,8000000.0,1400000.0,256600.00000000003,1000.0,1700.0
deborahyowa,Deborah yowa,14500000.0,6900000.0,351400.0,6500.0,2700.0
deiveleonardooficial,Deive Leonardo,5800000.0,1800000.0,194800.0,1900.0,39700.0
delaneysayshello,Delaney Rowe,1000000.0,1300000.0,224600.0,1300.0,2900.0
dennnyn,DENII,3400000.0,1100000.0,148000.0,959.0,6700.0
deon.k.washington,Deon👑,112800.0,717200.0,125300.0,1400.0,7700.0
dereklipp_,Derek Lipp,4900000.0,2500000.0,348200.0,1000.0,4400.0
devincaherly,Devin Caherly,7900000.0,2700000.0,279000.0,1000.0,119.0
devon_palmer,devon palmer,1900000.0,2100000.0,432500.0,1000.0,1700.0
dexter.the.tabby,dexter.the.tabby,159200.0,4700000.0,1000000.0,12400.0,13100.0
dhanihehee,BSK・Ｄｈａｎ１ᵀᵒᴾ,1400000.0,1800000.0,138300.0,4300.0,661.0
diefebri19,Febriana,686700.0,1700000.0,227200.0,1800.0,293.0
diegodiego_,Diego Cruz,7800000.0,3300000.0,496800.0,2500.0,2100.0
diiegospyckerzs,Diiego Spyckerzs,808500.0,2800000.0,154500.0,3000.0,11800.0
dilanjaniyar,Emang namanya Dilan,1700000.0,2200000.0,283900.0,1600.0,1100.0
dilanjaniyar_2,Emang Dilan namanya,2500000.0,2200000.0,262700.0,1600.0,1300.0
dilaraaduman,Dilara Duman,2200000.0,4700000.0,338300.0,1500.0,1000.0
dissectpodcast,dissectpodcast,471600.0,1300000.0,252500.0,1400.0,5300.0
ditanganu,DitaKerang🌊,5900000.0,3600000.0,416100.0,2400.0,768.0
dj_hyo,Hyoyeon_djhyo,1600000.0,3200000.0,606700.0,5600.0,3200.0
djsnake,DJ Snake,2300000.0,2200000.0,247800.0,1900.0,1500.0
dmcomics,DM,493400.0,1700000.0,169100.0,2200.0,10100.0
domelipa,Dominik,54200000.0,8600000.0,1500000.0,14300.0,4100.0
dontstopmeowing,Kareem & Fifi,11000000.0,1800000.0,224400.0,1100.0,1700.0
dorychang_03,ChangDory🐬,3800000.0,3900000.0,341500.0,1500.0,943.0
dovecameron,Dove Cameron,11600000.0,2800000.0,538800.0,1500.0,492.0
drewafualo,Drew Afualo,7400000.0,2700000.0,568200.0,3700.0,1400.0
drisantosbr,drisantosbr,3000000.0,1500000.0,197000.0,1700.0,2400.0
droop314,Droop314,465900.0,997200.0,70200.0,1300.0,13100.0
