#,名稱,追隨者,參與率,國家,影響力的主題,潛在觸及人數,儲存,邀請參加活動
71,Vesikaste @UCALHpxid2_qvoSnJFw5Rptg,269K,-,芬蘭,,80.7K,,查看個人資料
72,Kebu @UCV-5d2ZbKBRCGaG3MXXfXcw,263K,-,芬蘭,,78.9K,,查看個人資料
73,Peter Finn the Car Doctor @UCTEWPVoaYwoYkc6AAf_bFpg,260K,-,芬蘭,,78K,,查看個人資料
74,Warner Music Finland @UCRmjtDQlW0-TyWY38jWcIvQ,259K,-,芬蘭,,77.7K,,查看個人資料
75,HurHur @UC3KQFwVnouIx6KgjYSCNMdw,255K,0.9%,芬蘭,,76.5K,,查看個人資料
76,xPetu @UC1407h8ncS3zFYRK4KTPNvg,252K,2.5%,芬蘭,,75.6K,,查看個人資料
77,ZoneVD @UC5yn0ugTXc-AZQK6gTJPAEQ,249K,1.5%,芬蘭,,74.7K,,查看個人資料
78,Tipsy Duck @UC6c6mMQNEY6i6_Z2NBY0C1w,247K,11.6%,芬蘭,,74.1K,,查看個人資料
79,finntop5 @UCOtb9r4h4nagt8iYAFDwUzg,243K,-,芬蘭,,72.9K,,查看個人資料
80,Jaakko Parkkali @UC5SRfEhyMdg2S2LoZOTHNHw,243K,-,芬蘭,,72.9K,,查看個人資料
81,98DEMAKE @UC4vIcQOyHOcjCgEAVsjenxg,242K,0.4%,芬蘭,,72.6K,,查看個人資料
82,ASMR Sita Sofia @UCjNyeUaGpD0o7z5VbruS6-A,241K,-,芬蘭,,72.3K,,查看個人資料
83,Kutovakika @UCfqqHkzZt2X2DzxPFMucubQ,240K,9.3%,芬蘭,,72K,,查看個人資料
84,Foxzie @UCEdege-3c_jpRnIoUaY_3ow,239K,-,芬蘭,,71.7K,,查看個人資料
85,Miska Haakana @UCvrG3-mP1CrDGCfHlf9qVDg,236K,2.5%,芬蘭,,70.8K,,查看個人資料
86,Mauton @UCvWyB4de5nMlFdhYRpltrkw,234K,1.6%,芬蘭,,70.2K,,查看個人資料
87,Maketzi @UCVmVt5LK0ZT8mWXL58fXZgw,233K,-,芬蘭,,69.9K,,查看個人資料
88,Rudi Rok @UCy_pH0l1ENt0keocE09jYDw,232K,0.3%,芬蘭,,69.6K,,查看個人資料
89,eeddplays @UCvx1h5K7wZzOFJiPzSvpq4w,228K,-,芬蘭,,68.4K,,查看個人資料
90,Warqaad TV @UCTei3XY4XhKtR7VqeHAhZ2w,227K,-,芬蘭,,68.1K,,查看個人資料
91,Drive Ahead! @UCouCcPPshaYgkRW0igSFXaw,222K,-,芬蘭,,66.6K,,查看個人資料
92,MrJallu101 @UCpKnbXIIl9ud9dYYQ8S-dqA,218K,1.5%,芬蘭,,65.4K,,查看個人資料
93,FromTheBushes @UCubD9APpaN3rnsJpcyfBsDg,217K,1.2%,芬蘭,,65.1K,,查看個人資料
94,WAKA @UCHkXewrBQs3VlHMzJ-M7w1A,215K,5.3%,芬蘭,,64.5K,,查看個人資料
95,Remedeus @UCovAfSSglezOlIzM-acLCFA,215K,0.4%,芬蘭,,64.5K,,查看個人資料
96,Tume @UCYKUZ_Lp2k55TDqZjbMNaPQ,210K,0.6%,芬蘭,,63K,,查看個人資料
97,Axel Thesleff @UCCipFf6W_vyFc06ro-6yJNw,209K,0.3%,芬蘭,,62.7K,,查看個人資料
98,Zapper770 @UCSrK6pGVqznij29nyOf4oHg,205K,3%,芬蘭,,61.5K,,查看個人資料
99,Aleksi Rantamaa - Yle Kioski @UCvbJl3i27-4h4Na6Q-vZbRA,205K,-,芬蘭,,61.5K,,查看個人資料
100,INMESSIONANTE @UCr8rNJo8Z3sQ5UlZUh23g7w,195K,-,芬蘭,,58.5K,,查看個人資料
