rank,name_youtube,handle_youtube,audience_country,followers,category_1,views_avg,likes_avg,comments_avg,category_2,category_1_unified,category_2_unified,category_primary,if_exist
167,Raffy Tulfo in Action,Raffy Tulfo in Action,Philippines,24500000,News & Politics,680200,10500,1000,,Info/Business,,Info/Business,1
168,David Guetta,davidguettavevo,Brazil,24500000,Music & Dance,178200,6500,369,,Music,,Music,1
169,Post Malone,postmalone,United States,24500000,Music & Dance,138200,9800,573,,Music,,Music,1
170,ZHC,ZHC,United States,24500000,Design/art,0,0,0,DIY & Life Hacks,Lifestyle,Lifestyle,Lifestyle,1
171,1theK (원더케이),LOENENT,Indonesia,24300000,,12300,1100,49,,,,,0
172,Rans Entertainment,Rans Entertainment,Indonesia,24200000,Music & Dance,894400,29700,737,Humor,Music,Entertainment,Music,1
173,Amit Bhadana,Amit Bhadana,India,24200000,Humor,0,0,0,,Entertainment,,Entertainment,1
174,Chloe Ting,Chloe Ting,United States,24100000,Fitness,183600,10700,374,Health & Self Help,Sports,Info/Business,Sports,1
175,Aditya Movies,adityacinema,India,24100000,,22400,496,17,,,,,0
176,KSI,KSIOlajidebt,United Kingdom,24100000,Music & Dance,453800,51700,1800,,Music,,Music,1
177,James Charles,James Charles,United States,23900000,Beauty,1100000,65300,1400,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
178,Ninja,NinjasHyper,United States,23900000,Animation,251400,11300,613,Video games,Entertainment,Tech/Gaming,Entertainment,1
179,Diana and Roma HIN,Diana and Roma HIN,,23700000,,328000,1700,0,,,,,0
180,Chris Brown,ChrisBrownTV,United States,23700000,Music & Dance,9800000,361300,19300,,Music,,Music,1
181,Coldplay,ColdplayVEVO,United States,23600000,Music & Dance,329500,13700,600,,Music,,Music,1
182,Logan Paul,Logan Paul,United States,23600000,Video games,0,0,0,Humor,Tech/Gaming,Entertainment,Tech/Gaming,1
183,TRANS7 OFFICIAL,TRANS7indonesia,Indonesia,23500000,Food & Drinks,6600,89,8,,Lifestyle,,Lifestyle,1
184,ABPLIVE,ABPLIVE,India,23500000,News & Politics,2500,28,3,,Info/Business,,Info/Business,1
185,Happy Lives,Happy Lives,,23500000,,30800,218,0,,,,,0
186,Shemaroo Movies,shemaroomovies,India,23400000,,45000,474,12,,,,,0
187,Troom Troom,Troom Troom,,23400000,Animation,367100,3500,128,Toys,Entertainment,,Entertainment,1
188,NickyJamTV,NickyJamTV,Colombia,23300000,Music & Dance,26800,2300,65,Movies,Music,Entertainment,Music,1
189,Mister Max,Mister Max,Russia,23100000,DIY & Life Hacks,1800000,34800,1300,,Lifestyle,,Lifestyle,1
190,Enrique Iglesias,EnriqueIglesiasPlay,United States,23000000,Music & Dance,29000,2800,155,,Music,,Music,1
191,Sesame Street,SesameStreet,,23000000,,199300,517,0,,,,,0
192,Tina Pontes,mildicasdemulher,Brazil,23000000,,105300,4000,0,,,,,0
193,netd müzik,netdmuzikk,Turkey,22900000,Music & Dance,9300,244,50,,Music,,Music,1
194,Jelly,JellyYT,United States,22900000,Video games,224100,10300,531,,Tech/Gaming,,Tech/Gaming,1
195,Goldmines Bollywood,Goldmines Bollywood,India,22900000,,20200,117,7,,,,,0
196,Crazy XYZ,Crazy XYZ,India,22900000,,3700000,294100,10200,,,,,0
