rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
97,kimberly.loaiza,KIM LOAIZA 🖤,35800000,Mexico,959200,1200000,Clothing & Outfits,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
98,iamzlatanibrahimovic,Zlatan Ibrahimović,55400000,Italy,481000,740700,Sports with a ball,,Sports,,Sports,1
99,chrisevans,Chris Evans,17700000,United States,1900000,2300000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
100,maluma,MALUMA,62900000,Italy,413300,636900,,,,,,0
101,aliaabhatt,Alia Bhatt 🤍☀️,69700000,India,452500,560000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
102,tchalamet,Timothée Chalamet,17800000,United States,1300000,2200000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
103,championsleague,UEFA Champions League,97600000,Brazil,285700,389300,Sports with a ball,,Sports,,Sports,1
104,vindiesel,Vin Diesel,82700000,Brazil,353200,457400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
105,anitta,Anitta 🎤,63200000,Brazil,316200,590400,,,,,,0
106,kiaraaliaadvani,KIARA,25000000,India,1200000,1400000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
107,shahidkapoor,Shahid Kapoor,35700000,India,858000,971600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
108,davidbeckham,David Beckham,75100000,India,360500,462300,Family,Sports with a ball,Lifestyle,Sports,Lifestyle,1
109,finnwolfhardofficial,Finn Wolfhard,26300000,Brazil,1000000,1300000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
110,mosalah,Mohamed Salah,52700000,Egypt,458800,650000,Sports with a ball,,Sports,,Sports,1
111,priyankachopra,Priyanka,81800000,India,343400,417300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
112,antonelaroccuzzo,Antonela Roccuzzo,20200000,Argentina,1000000,1700000,Modeling,Family,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
113,tyga,T-Raww,36500000,United States,628400,939200,,,,,,0
114,hoooooyeony,Hoyeon,22900000,South Korea,1100000,1500000,Lifestyle,,Lifestyle,,Lifestyle,1
115,lucas_xx444,LUCAS,11500000,Indonesia,2400000,3000000,,,,,,0
116,mrbeast,MrBeast,19900000,United States,1200000,1700000,Shows,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
117,jenniferaniston,Jennifer Aniston,40700000,Brazil,554900,805300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
118,iamsrk,Shah Rukh Khan,30400000,India,863300,1100000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
119,kritisanon,Kriti,50600000,India,547600,638300,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
120,chrisbrownofficial,BREEZY,119100000,United States,172000,268200,,,,,,0
121,_rl9,Robert Lewandowski,29400000,Poland,844400,1100000,Sports with a ball,,Sports,,Sports,1
122,deepikapadukone,Deepika Padukone,68800000,India,342000,446200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
