rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
494,tiffanyyoungofficial,tiffany young,12800000,Indonesia,359600,449900,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
495,dababy,BILLION DOLLAR BABY 👶🏾,21300000,United States,166700,271100,,,,,,0
496,yangyang_x2,YangYang 양양,6400000,Indonesia,714500,907200,,,,,,0
497,jailyneojeda,Jailyne Ojeda Ochoa,14100000,United States,293300,405700,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
498,obj,Odell Beckham Jr,16400000,United States,182600,347600,Sports with a ball,,Sports,,Sports,1
499,bernardokath,Kathryn Bernardo 🐘,17400000,Philippines,270700,326200,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
500,simonemendes,Simone Mendes,35500000,Brazil,128000,161500,,,,,,0
501,gisele,Gisele Bündchen,19700000,Brazil,194800,289500,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
502,ana_d_armas,A N A   D E   A R M A S,7900000,United States,533300,721400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
503,nazriyafahadh,Nazriya Nazim Fahadh,6400000,India,666100,892300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
504,rachel_mypark,박민영 Minyoung Park,10300000,Indonesia,433500,540000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
505,phil.coutinho,Philippe Coutinho,24900000,Brazil,136700,222100,Sports with a ball,,Sports,,Sports,1
506,nicholasgalitzine,Nicholas Galitzine,4100000,Brazil,817700,1400000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
507,sound_of_coups,COUPS,4500000,Indonesia,986300,1300000,,,,,,0
508,cocielo,Júlio Cocielo Estaniecki,19200000,Brazil,182400,285600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
509,julesleblanc,julianna,9800000,United States,392300,567700,Shows,,Entertainment,,Entertainment,1
510,anjimaxuofficially,Anjali Arora,11900000,India,363200,464800,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
511,kit.connor,Kit Connor,4500000,United States,734800,1200000,Cinema & Actors/actresses,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
512,jackharlow,,6900000,United States,425900,795100,Lifestyle,Humor & Fun & Happiness,Lifestyle,Entertainment,Lifestyle,1
513,euphoria,euphoria,7800000,United States,434300,700800,Photography,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
514,lucasranngel,LUCAS RANGEL,20100000,Brazil,121400,268800,Lifestyle,,Lifestyle,,Lifestyle,1
515,briandadeyanara,BRIANDA 💖,13500000,Mexico,337500,396300,Lifestyle,,Lifestyle,,Lifestyle,1
516,daquan,Daquan,16700000,United States,207300,319700,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
517,sommerray,Sommer Ray,26300000,United States,129500,203200,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
518,theshilpashetty,Shilpa Shetty Kundra,26500000,India,173500,201600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
519,charlieputh,Charlie Puth,16700000,United States,222800,316700,,,,,,0
520,golfarahani,Golshifteh Farahani,13700000,Iran,301700,388900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
521,choquei,CHOQUEI,17500000,Brazil,97100,301600,Literature & Journalism,,Info/Business,,Info/Business,1
522,kingbach,King Bach,23100000,United States,113300,227200,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
523,dra.deolanebezerra,Deolane Bezerra ⚖️,15000000,Brazil,163600,351300,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
524,lexibrookerivera,Lexi Rivera,8500000,United States,512000,640500,Shows,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
525,yooncy1,윤찬영 Yoon chanyoung,4900000,South Korea,904700,1100000,Lifestyle,,Lifestyle,,Lifestyle,1
526,k.kbeom,김범 kimbum,5400000,Indonesia,798400,977100,,,,,,0
527,angelinajolie,Angelina Jolie,13600000,Brazil,232400,384900,,,,,,0
528,liamhemsworth,Liam Hemsworth,13000000,United States,280900,398900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
529,klaythompson,Klay Thompson,13400000,United States,267500,388800,Sports with a ball,Lifestyle,Sports,Lifestyle,Sports,1
530,caviarmagnat,Anton Tregubov,15100000,Russia,239300,345900,Lifestyle,,Lifestyle,,Lifestyle,1
531,melissamelmaia,MEL MAIA 🍯,13500000,Brazil,211400,383000,,,,,,0
532,soohyun_k216,김수현 Kim Soo Hyun 金秀賢,13900000,Indonesia,304800,371000,,,,,,0
533,yerimiese,Yeri,10700000,Indonesia,386700,478900,Lifestyle,,Lifestyle,,Lifestyle,1
534,superstar_dewasi99,SUPERSTARDEWASI 99,13500000,India,241700,381800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
535,d_degeaofficial,David De Gea,13800000,United Kingdom,264200,373900,Sports with a ball,,Sports,,Sports,1
536,urstrulymahesh,Mahesh Babu,8800000,India,534100,588000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
537,angeldimariajm,Ángel Di María,18500000,Argentina,186700,275200,Sports with a ball,,Sports,,Sports,1
538,fuckjerry,FUCKJERRY,16800000,United States,236600,306000,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
539,__youngbae__,TAEYANG,13600000,Indonesia,331000,373900,,,,,,0
540,d_a___m_i,KIM DA MI,4600000,Indonesia,900000,1100000,,,,,,0
541,salmahayek,Salma Hayek Pinault,21600000,United States,189100,233800,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
542,lakers,Los Angeles Lakers,20200000,United States,161700,247900,Sports with a ball,,Sports,,Sports,1
543,actorsuriya,Suriya Sivakumar,5400000,India,733800,952300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
544,yugyeom,KYUM,11500000,Brazil,364600,437400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
545,dindahw,Dinda Hauw,14600000,Indonesia,228700,342400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
546,dylansprouse,Dylan Sprouse,9100000,United States,352500,553400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
547,sav.labrant,Savannah Rose LaBrant,7100000,United States,518800,693900,Family,Lifestyle,Lifestyle,Lifestyle,Lifestyle,1
548,riteishd,Riteish Deshmukh,15300000,India,272700,318600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
549,ozuna,@ozutochi 🔜,22500000,Spain,160700,215600,,,,,,0
550,xsqueezie,,7900000,France,526400,615600,Lifestyle,,Lifestyle,,Lifestyle,1
551,emiliamernes,Emilia Mernes,6200000,Argentina,415000,781000,,,,,,0
552,nehasharmaofficial,Neha Sharma 💫,14800000,India,280700,322500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
553,sommerray,Sommer Ray,26300000,United States,115200,180900,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
554,srinidhi_shetty,Srinidhi Shetty 🌸,4400000,India,818600,1100000,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
555,shreyaghoshal,shreyaghoshal,24800000,India,171200,191200,,,,,,0
556,memezar,MEMEZAR • Comedy and Culture,23000000,United States,137200,204500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
557,chloegmoretz,Chloë Grace Moretz,21500000,United States,163200,218300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
558,warriors,Golden State Warriors,25500000,United States,132000,183000,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
559,gusttavolima,🏛 Gusttavo Lima 🏛,44000000,Brazil,64700,107200,,,,,,0
560,kun11xd,KUN,6900000,Indonesia,552500,689600,Lifestyle,,Lifestyle,,Lifestyle,1
561,lukehemmings,Luke Hemmings,7900000,United States,351700,599700,,,,,,0
562,juansguarnizo,Juan Sebastián Guarnizo,6300000,Mexico,683700,748700,Lifestyle,,Lifestyle,,Lifestyle,1
563,amauryguichon,Amaury Guichon,9500000,United States,404000,492300,Food & Cooking,,Lifestyle,,Lifestyle,1
564,phoebejtonkin,Phoebe Tonkin,8400000,United States,388300,554100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
565,nita_shilimkar,Nita Shilimkar,11500000,India,301800,398600,Lifestyle,Fashion,Lifestyle,Beauty/Fashion,Lifestyle,1
566,gessicakayane,GKAY,20000000,Brazil,111700,231200,Shows,Humor & Fun & Happiness,Entertainment,Entertainment,Entertainment,1
567,nessabarrett,ness,7300000,United States,470700,637900,Lifestyle,,Lifestyle,,Lifestyle,1
568,liverpoolfc,Liverpool Football Club,40300000,United Kingdom,81000,113100,Sports with a ball,,Sports,,Sports,1
569,dew_jsu,2000,6300000,Indonesia,544500,732300,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
570,itsmarziapie,Marzia Kjellberg,8300000,United States,450100,549900,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
571,lizakoshy,Liza Koshy,20200000,United States,167000,222400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
572,hztttao,Z.TAO🔴黄子韬,11300000,Indonesia,357900,398300,,,,,,0
573,pozevidalouca,Poze Do Rodo 🤑,8200000,Brazil,223100,560800,Lifestyle,,Lifestyle,,Lifestyle,1
574,icc,ICC,24100000,India,153900,184600,Sports with a ball,,Sports,,Sports,1
575,sushitrash,JOJI,6500000,United States,570600,698100,,,,,,0
576,hugogloss,Hugo Gloss,20300000,Brazil,110900,218700,Literature & Journalism,Humor & Fun & Happiness,Info/Business,Entertainment,Info/Business,1
577,donya,Donya,15300000,Iran,194200,308600,Lifestyle,,Lifestyle,,Lifestyle,1
578,lilyrose_depp,Lily-Rose Depp,6700000,United States,421700,662800,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
579,sportscenter,SportsCenter,31800000,United States,76600,137300,Sports with a ball,Shows,Sports,Entertainment,Sports,1
580,leejen_o_423,LEE JENO,2200000,,0,2300000,,,,,,0
581,asabopp,Asa Butterfield,5700000,Brazil,521700,762700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
582,naileadevora,nai,5300000,United States,560600,828500,Lifestyle,,Lifestyle,,Lifestyle,1
583,actorprabhas,Prabhas,8800000,India,443300,496300,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
584,amitabhbachchan,Amitabh Bachchan,31100000,India,119600,138300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
585,missasinfonia,MissaSinfonia,5800000,Mexico,667400,747700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
586,sandrinna_11,Drinna 🖤,10700000,Indonesia,311100,396800,Lifestyle,,Lifestyle,,Lifestyle,1
587,theellenshow,Ellen DeGeneres,125100000,United States,28400,34200,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
588,jeonghaniyoo_n,윤정한,3600000,Iran,935400,1200000,Lifestyle,,Lifestyle,,Lifestyle,1
589,memphisdepay,Memphis Depay,15400000,France,155700,277200,Sports with a ball,,Sports,,Sports,1
590,aishwaryaraibachchan_arb,AishwaryaRaiBachchan,10400000,India,318200,406600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
591,otabek_muhammadalievich,Otabek Umarov,20000000,Russia,157400,211900,,,,,,0
592,pedri,Pedri González,7100000,Spain,0,598500,Sports with a ball,,Sports,,Sports,1
593,reesewitherspoon,Reese Witherspoon,28300000,United States,124400,149200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
594,marcusrashford,Marcus Rashford MBE,12800000,United Kingdom,206600,326900,Sports with a ball,,Sports,,Sports,1
595,matue,,8100000,Brazil,288800,530600,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
596,alexadellanos,Alexa Dellanos,9800000,United States,276500,432600,Lifestyle,,Lifestyle,,Lifestyle,1
597,faz3,Fazza,14700000,United Arab Emirates,221100,289900,Lifestyle,,Lifestyle,,Lifestyle,1
598,ronaldo,Ronaldo,23500000,Brazil,103400,178300,Sports with a ball,,Sports,,Sports,1
599,araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,16300000,Turkey,197600,255700,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
600,l7nnon,L7,8800000,Brazil,200900,477200,Lifestyle,,Lifestyle,,Lifestyle,1
601,l7nnon,L7,8800000,Brazil,200900,477200,Lifestyle,,Lifestyle,,Lifestyle,1
602,avrillavigne,Avril Lavigne,11700000,Brazil,284500,354200,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion,Entertainment,1
603,karelyruiz,Karely Ruiz,7000000,Mexico,472400,593000,Lifestyle,,Lifestyle,,Lifestyle,1
604,rizkybillar,Muhammad Rizky Billar,12900000,Indonesia,248500,321000,Shows,Beauty,Entertainment,Beauty/Fashion,Entertainment,1
605,victoriajustice,Victoria Justice,22900000,United States,131100,179400,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
606,vousmevoyez,KRYSTAL,10400000,Indonesia,304700,395200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
607,zoeisabellakravitz,Zoë Kravitz,8400000,United States,323300,490400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
608,egupta,Esha Gupta,11600000,India,280600,351300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
609,catherinemcbroom,Catherine Paiz,7300000,United States,329500,565900,Family,,Lifestyle,,Lifestyle,1
610,malutrevejo,Malú 🦋 222🎤,11500000,United States,197200,353800,,,,,,0
611,elmarianaa,El Mariana,4500000,Mexico,809500,919400,,,,,,0
612,avengers,Avengers,13600000,India,238800,299100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
613,skaijackson,S K A I,8000000,United States,290500,512700,Lifestyle,,Lifestyle,,Lifestyle,1
614,iam_linyi,我是林一同学,4000000,Indonesia,781000,1000000,,,,,,0
615,yihyun_1208,조이현 cho yihyun,5200000,South Korea,618900,783400,Lifestyle,,Lifestyle,,Lifestyle,1
616,nickjonas,Nick Jonas,33100000,United States,86100,122500,,,,,,0
617,everyone_woo,Wonwoo,3400000,Indonesia,935500,1200000,,,,,,0
618,aleoliveiracm,Alê Oliveira,8500000,Brazil,198000,507900,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
619,nikkietutorials,NikkieTutorials,16500000,United States,178000,242200,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
620,centralcee,📲,4400000,United Kingdom,373400,914700,Lifestyle,,Lifestyle,,Lifestyle,1
621,andreavaldirisos,ANDREA VALDIRI 🇨🇴,8700000,Colombia,326900,465000,Lifestyle,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,1
622,pledis_boos,승관 SEUNGKWAN,4500000,Indonesia,732300,888400,,,,,,0
623,jenna_chew,JENNA 周甄娜,7900000,United States,414700,506200,Fitness & Gym,,Sports,,Sports,1
624,simaria,Simaria Mendes,28300000,Brazil,96500,140400,,,,,,0
625,romanreigns,Joe Anoai aka “Roman Reigns”,6600000,India,471800,612400,Lifestyle,,Lifestyle,,Lifestyle,1
626,netflixbrasil,Netflix Brasil,32600000,Brazil,70700,120800,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
627,piawurtzbach,Pia Wurtzbach,13800000,Philippines,234500,282800,Beauty,Modeling,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
628,soueunavida,Sou Eu Na Vida,18100000,Brazil,114500,218500,Humor & Fun & Happiness,,Entertainment,,Entertainment,1
629,kenzie,kenzie ♡,14800000,United States,171200,260500,,,,,,0
630,ozgecangurelofficial,Özge Gürel,5800000,Turkey,553200,679900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
631,adinross,,3600000,United States,607600,1200000,,,,,,0
632,realcoleworld,Cole World,7700000,United States,266400,506400,,,,,,0
633,mancity,Manchester City,34300000,United Kingdom,83000,112100,Sports with a ball,,Sports,,Sports,1
634,perspolis,Persepolis,8300000,Iran,335200,476400,Sports with a ball,,Sports,,Sports,1
635,lacasadepapel,La Casa de Papel,12600000,Brazil,202500,304400,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
636,cvillaloboss,CARMEN VILLALOBOS,20500000,Colombia,151400,186700,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
637,jeromepolin,Jerome Polin Sijabat ジェローム,7000000,Indonesia,379000,555500,Education,Humor & Fun & Happiness,Info/Business,Entertainment,Info/Business,1
638,sarahhyland,Sarah Hyland,9900000,United States,310100,387700,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
639,dejesusoficial,Gabriel Jesus,18400000,Brazil,132400,205000,Sports with a ball,,Sports,,Sports,1
640,aliandooo,Aliando Syarief,17100000,Indonesia,144100,229900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
641,aslisona,Sonakshi Sinha,23300000,India,134400,162600,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
642,playstation,PlayStation,28900000,United States,107300,131400,Computers & Gadgets,,Tech/Gaming,,Tech/Gaming,1
643,drewstarkey,Drew Starkey,3100000,United States,622400,1200000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
644,youngdae0302,김영대,4500000,Indonesia,636200,839800,,,,,,0
645,sanchooo10,Jadon Sancho,8900000,United Kingdom,244600,427700,Sports with a ball,,Sports,,Sports,1
646,lamborghini,Lamborghini,32200000,India,83800,115600,Luxury,Cars & Motorbikes,Beauty/Fashion,,Beauty/Fashion,1
647,geewonii,김지원,7700000,Indonesia,369800,486800,,,,,,0
648,taylor_hill,Taylor Hill,20500000,United States,121000,180500,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
649,sooyoungchoi,Sooyoung Choi,7400000,Indonesia,421300,508500,Beauty,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
650,natashawilona12,Natasha Wilona,39400000,Indonesia,78500,93700,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
651,chrissyteigen,chrissy teigen,39100000,United States,72000,94000,Shows,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
652,francinyehlke,Franciny Ehlke,15600000,Brazil,107900,235900,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
653,dacremontgomery,Dacre Montgomery,8800000,United States,314200,419900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
654,lizzobeeating,Lizzo,12900000,United States,204100,286000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
655,dylanminnette,Dylan Minnette,7300000,United States,312100,507400,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
656,nita_shilimkar,Nita Shilimkar,11500000,India,240500,318000,Lifestyle,Fashion,Lifestyle,Beauty/Fashion,Lifestyle,1
657,phoebejtonkin,Phoebe Tonkin,8400000,United States,309400,441600,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
658,39saku_chan,Sakura Miyawaki,4300000,Indonesia,708000,873100,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
659,rogerfederer,Roger Federer,9800000,Spain,294300,380800,Sports with a ball,,Sports,,Sports,1
660,geneliad,Genelia Deshmukh,10400000,India,282600,350000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
661,dbook,Devin,5400000,United States,349400,687000,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
662,theslumpgod,Stokeley,5400000,United States,398500,693500,,,,,,0
663,paulwalker,Paul Walker,15100000,India,175900,241100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
664,iampauloandre,Paulo André 🏁,9900000,Brazil,135400,381200,Photography,Lifestyle,Lifestyle,Lifestyle,Lifestyle,1
665,parishilton,Paris Hilton,20200000,United States,109300,180600,Modeling,,Beauty/Fashion,,Beauty/Fashion,1
666,maudyayunda,Maudy Ayunda,17200000,Indonesia,143200,211100,,,,,,0
667,blonded,Frank,3700000,United States,529900,990100,,,,,,0
668,djsnake,djsnake,9700000,India,318500,378200,,,,,,0
669,achrafhakimi,Achraf Hakimi,10100000,Morocco,244300,359000,Sports with a ball,,Sports,,Sports,1
670,bleacherreport,Bleacher Report,19600000,United States,94300,186100,Sports with a ball,,Sports,,Sports,1
671,offsetyrn,OFFSET,19900000,United States,102600,183900,,,,,,0
672,narins_beauty,••Narins Beauty••,9300000,Syria,329800,405200,Lifestyle,,Lifestyle,,Lifestyle,1
673,kyrieirving,Hélà,17200000,United States,140200,212100,Sports with a ball,,Sports,,Sports,1
674,myketowers,MICHAEL,9500000,Spain,216000,389600,,,,,,0
675,burcuozberk,Burcu Özberk,9300000,Turkey,305400,395500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
676,chrismcg,Christopher McGinnis,11100000,United States,147200,324000,,,,,,0
677,indiancricketteam,Team India,25600000,India,119900,139900,Sports with a ball,,Sports,,Sports,1
678,oprah,Oprah,21500000,United States,143700,169800,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
679,machinegunkelly,the Blonde Don,9700000,United States,233400,375200,,,,,,0
680,elliotpage,,6200000,United States,405100,583100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
681,raashiikhanna,Raashii Khanna,8600000,India,350600,417900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
682,beautifuldestinations,BEAUTIFUL DESTINATIONS,24700000,United States,107600,144300,Photography,Travel,Lifestyle,Lifestyle,Lifestyle,1
683,madisonbaileybabe,Maddie Baby,6700000,United States,288900,541000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
684,rishabpant,Rishabh Pant,6900000,India,439700,522300,Lifestyle,Sports with a ball,Lifestyle,Sports,Lifestyle,1
685,ho5hi_kwon,HOSHI,3600000,Indonesia,765200,995200,Lifestyle,,Lifestyle,,Lifestyle,1
686,bigsean,BIGSEAN,15400000,United States,125400,228800,,,,,,0
687,brfootball,Bleacher Report Football,12600000,United States,172100,278100,Sports with a ball,,Sports,,Sports,1
688,kingryan,Ryan Garcia,9000000,United States,261400,394800,Fitness & Gym,,Sports,,Sports,1
689,andresiniesta8,Andres Iniesta,40200000,Spain,60000,87000,Sports with a ball,,Sports,,Sports,1
690,alvxaro,ALVARO,9900000,Brazil,144600,362400,Lifestyle,,Lifestyle,,Lifestyle,1
691,willevy,William  Levy / Actor Producer,10900000,Brazil,242100,326100,Shows,Cinema & Actors/actresses,Entertainment,Entertainment,Entertainment,1
692,pokimanelol,pokimane 🤍,6200000,United States,436700,575300,Lifestyle,Shows,Lifestyle,Entertainment,Lifestyle,1
693,jamorant,12 🥷🏽🖤,7700000,United States,284600,459900,Winter sports,Sports with a ball,Sports,Sports,Sports,1
694,amadorat,N I C O L E   A M A D O 🐉,8300000,Mexico,378800,423300,Fashion,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
695,smriti_mandhana,Smriti Mandhana,6500000,India,472100,547000,Sports with a ball,,Sports,,Sports,1
696,marinaruybarbosa,Marina Ruy Barbosa,40900000,Brazil,56300,85900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
697,alishalehmann7,Alisha Lehmann,8200000,Brazil,227800,430100,Sports with a ball,,Sports,,Sports,1
698,bhadbhabie,Bhabie,16400000,United States,112400,210900,,,,,,0
699,dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,3700000,South Korea,839700,944500,,,,,,0
700,haifawehbe,Haifa Wehbe,10500000,Iraq,226600,331800,,,,,,0
701,dkharbour,David Harbour,9700000,United States,274500,359700,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
702,eilirjani,Elton ILIRJANI,10400000,Albania,229100,330800,Adult content,,,,,0
703,agnezmo,AGNEZ MO,29000000,Indonesia,71300,118400,,,,,,0
704,staceysolomon,Stacey Solomon,5400000,United Kingdom,536200,645900,Family,,Lifestyle,,Lifestyle,1
705,supercarblondie,Alex - that girl with the Cars,10800000,India,200100,317100,Cars & Motorbikes,,,,,0
706,arishfakhan138,Sayyed Arishfa Khan 💎,29400000,India,96600,117300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
707,sebastianyatra,Sebastian Yatra,29800000,Argentina,82300,114900,,,,,,0
708,yg_treasure_official,TREASURE (트레저),5600000,Indonesia,483400,618500,,,,,,0
709,karljacobs,Karl Jacobs,4300000,United States,618400,805400,,,,,,0
710,rezagolzar,Mohammad Reza Golzar,12300000,Iran,197200,288000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
711,saharghoreyshiofficialpage,سحر قريشى Sahar Ghoreyshi,11500000,Iran,203900,297900,,,,,,0
712,f1,FORMULA 1®,20700000,Italy,129300,163500,Racing Sports,,Sports,,Sports,1
713,wos.ds3,Valentín Oliva,6600000,Argentina,341400,522400,,,,,,0
714,dk_is_dokyeom,도겸,3500000,Iran,825400,994200,Lifestyle,,Lifestyle,,Lifestyle,1
715,sonambajwa,Sonam Bajwa,8200000,India,330200,422000,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
716,demirose,Demi 🌹,19900000,United States,130700,170400,Modeling,Lifestyle,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
717,21savage,,13600000,United States,140200,246400,,,,,,0
718,apple,apple,28100000,India,88200,118800,Computers & Gadgets,Photography,Tech/Gaming,Lifestyle,Tech/Gaming,1
719,jxxvvxxk,이재욱,3900000,Indonesia,694300,872800,,,,,,0
720,umutisler,Umut İşler,11000000,India,188000,302200,Food & Cooking,,Lifestyle,,Lifestyle,1
721,grantgust,Grant Gustin,7800000,Brazil,305400,432700,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion,Entertainment,1
722,huddy,Chase Hudson,11600000,United States,206800,285000,Lifestyle,,Lifestyle,,Lifestyle,1
723,vernonline,Vernon 버논,4600000,Japan,543600,719100,,,,,,0
724,hichasestokes,,7400000,United States,301700,452000,Humor & Fun & Happiness,Lifestyle,Entertainment,Lifestyle,Entertainment,1
725,netflix,Netflix US,31200000,Brazil,64100,105200,Cinema & Actors/actresses,Shows,Entertainment,Entertainment,Entertainment,1
726,kittychicha,🖤KITTY CHICHA🐱,4300000,Philippines,635900,771100,,,,,,0
727,ederbez,Eugenio Derbez,18600000,Mexico,156300,175600,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,Entertainment,1
728,amybethmcnulty,Amybeth,7800000,Brazil,307900,423000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle,1
729,viihtube,Viih Tube,23600000,Brazil,73200,138200,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
730,juki_lop,JukiLop,9400000,Mexico,300000,349100,Shows,Family,Entertainment,Lifestyle,Entertainment,1
731,espn,ESPN,23700000,United States,75400,137000,Sports with a ball,,Sports,,Sports,1
732,simonettalein,Simonetta Lein,12400000,India,188800,260100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
733,yasminabdelaziz_,Yasmin Abdelaziz,16200000,Egypt,169800,200900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
734,miamalkova,Mia Malkova,11100000,India,215300,291600,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
735,adrianalima,Adriana Lima,14900000,United States,146400,215400,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
736,shivangijoshi18,शिवांगी जोशी,7400000,India,365100,439500,Lifestyle,,Lifestyle,,Lifestyle,1
