rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
114,nourmar5,nourmar5,14700000,3100000,190400,10000,11600,,,,0
115,selenagomez,Selena Gomez,44900000,4500000,545600,3700,1300,,,,0
116,kumulator,Kumulátor zábavy,123000,2300000,207000,4600,20800,,,,0
117,spencer_serafica,Xspencer,14100000,4200000,497600,3700,2100,,,,0
118,jesusnalgas,JESUSNALGAS,3900000,3400000,325900,4300,6300,,,,0
119,makeup_rhk,makeup_rhk,860300,4300000,812800,556,2800,,,,0
120,duncanyounot,Duncan Joseph,4400000,2900000,560100,2700,4200,,,,0
121,sijad_qasim,سجاد قاسم,2300000,5900000,171600,4000,6900,,,,0
122,lance210,Lance Stewart,22700000,4200000,420000,1800,4300,,,,0
123,ivanaalawi,Ivana Alawi,8600000,5900000,606500,2000,956,,,,0
124,muluerror,"Nama gue Rian, tp bkn babayo",672800,6100000,395600,2100,2300,,,,0
125,millennialmonroe,Mandy,112100,4800000,270400,1600,6400,,,,0
126,whatslucasup2,Lucas Peterson BMX art,467700,3600000,301700,3300,5900,,,,0
127,willsmith,Will Smith,73000000,4700000,514600,2200,2000,,,,0
128,marisol.viola,marisol viola,1500000,2400000,411200,3000,7300,,,,0
129,nicolebloomgarden,Nicole Bloomgarden,675600,2300000,451300,1900,7700,,,,0
130,thelondoncharles,London Charles,6900000,3300000,598900,3500,1500,,,,0
131,jimmydarts,Jimmy Darts,9800000,4300000,607700,2900,894,,,,0
132,antourny,Antony Santos,2600000,4800000,527400,3000,788,,,,0
133,thallyssonsb,Thallysson Borges,11600000,2700000,372000,3700,5700,,,,0
134,itsblasphemus,🗣📱itsblasphemus,994500,3100000,383000,2400,5600,,,,0
135,yerimuaa,Yeri MUA,5300000,7300000,645700,1400,485,,,,0
136,raredoodle,rare doodle,2100000,3100000,425000,3100,3900,,,,0
137,hf37777,༊෴نجٍمـ الُثـرٍيَاء〄࿐,801500,1300000,85200,4300,80400,,,,0
138,brentrivera,Brent Rivera,45800000,4600000,557400,2300,1200,,,,0
139,tifannylm,⚡️TEF,9300000,5800000,709000,972,1200,,,,0
140,alexisomman,Alexis Omman,11500000,2700000,403700,6500,1600,,,,0
141,theofficecurrently,The Office Currently,308000,2200000,172100,1300,22400,,,,0
142,keniaos,KeniaOs,16600000,3200000,515000,3300,2000,,,,0
143,ali.klose11,علي كلوزه,2400000,3400000,357500,5100,2000,,,,0
144,alexwaarren,Alex warren,15600000,5200000,854600,1000,902,,,,0
145,bilalahy,Bilal,4200000,3200000,497700,2200,3100,,,,0
146,ferchugimenez,Fernanda,8200000,4700000,825800,1000,1200,,,,0
147,the.sign.guy,Austin Mollno,7200000,4600000,660700,2100,571,,,,0
148,therealhammytv,TheRealHammyTV,16100000,6400000,227300,1300,4400,,,,0
149,bu3qeel,abu aqeel 🙆🏻‍♀️,1200000,4100000,217200,3900,5300,,,,0
150,attahalilintar,Atta Halilintar,13300000,5200000,448000,1900,1500,,,,0
151,thekapelariz,The Kapelari Family,2500000,2800000,253000,4600,6700,,,,0
152,zusjeofficial,ZUSJE,8300000,6100000,334600,2700,1200,,,,0
153,jaxwritessongs,Jax,12900000,3300000,433400,4600,876,,,,0
154,luismariz,Luis Mariz,12700000,7000000,555600,648,1400,,,,0
155,pablitocastilloo,pablitocastilloo,6400000,2700000,269100,1700,9100,,,,0
156,jvke,JVKE,9900000,2700000,517800,2800,2700,,,,0
157,jombospice,JOMBOSPICE,9800000,5600000,648900,1600,554,,,,0
158,julieevlorentzen,julie,4200000,4800000,634800,2000,547,,,,0
159,adamw,Adam W,17700000,4100000,322000,2000,3800,,,,0
160,garett__nolan,Garett Nolan,13400000,2700000,351300,2900,5200,,,,0
161,ayesebastien,Sebastien,8100000,2800000,550500,1900,3000,,,,0
162,la_lerma,LERMITA,13400000,3000000,567400,2100,2200,,,,0
163,soysuco,Soysuco,14000000,3700000,373900,4700,652,,,,0
164,lyodrabeneran,Lyodra Ginting,2500000,4300000,558100,1900,1200,,,,0
165,pietro_morello,Pietro Morello,3100000,6600000,464400,1500,889,,,,0
166,_andrewcurtiss,Andrew Curtis,2900000,2000000,408800,5800,3100,,,,0
167,good.boy.ollie,Good Boy Ollie,5200000,2200000,398100,2600,5500,,,,0
168,shxtsngigs,ShxtsNGigs Podcast,5900000,2600000,467200,1100,4600,,,,0
169,addisonre,Addison,88700000,5300000,304900,2400,2000,,,,0
170,chriscoquyt,Chris Coquyt,136200,2400000,353800,3600,4600,,,,0
171,hisoyvaleria,valeria 🖤,9900000,3900000,454100,1600,2300,,,,0
172,joaoferdnan,João Ferdnan,8800000,2300000,274600,4100,6900,,,,0
173,graciajessicajane,Jessica Jane🌙,11600000,4900000,510400,1900,806,,,,0
174,sabrenorris,Sabre Norris,3800000,3100000,321100,6300,584,,,,0
175,official_nct,NCT Official,9200000,2300000,572500,3300,1900,,,,0
176,ustazebitlew,Ebit Lew,4600000,2700000,213100,6000,5600,,,,0
177,sromero29,Samuel29,599100,1700000,112900,887,34400,,,,0
178,augustogimenez,AugustoGimenez,15000000,5300000,653500,1300,528,,,,0
179,grannybibbins,Granny,944800,1500000,162200,1700,24600,,,,0
180,jairsanchezzz,Jair Sanchez,8000000,2100000,349800,2000,6700,,,,0
181,k0uvr,Kouvr,14000000,4300000,616500,954,1400,,,,0
182,katjakrasavice,KatjaKrasavice,2800000,1900000,255500,11400,1400,,,,0
183,janneksplace,Janneksplace,2000000,2700000,334200,5400,1600,,,,0
184,allanpendong4,Allan Pendong,130200,3500000,245300,4100,3000,,,,0
185,aureliehermansyahatta,Aurelie Hermansyah,9800000,5800000,351500,1900,1000,,,,0
186,kulinaria.recetas,AGUS LIPORACE,4500000,2200000,299600,281,8600,,,,0
187,areyoukiddingtv,AreYouKiddingTV,5700000,4800000,665700,1400,385,,,,0
188,faryanggaa,Ryann,6100000,3500000,470500,2300,1200,,,,0
189,_lilg4,LIL G⭐️,3000000,2600000,406000,2700,2700,,,,0
190,_angelomarasigan,Angelo,4000000,4000000,564800,1700,833,,,,0
191,adamalhidayat,ADAMALHDYT,3800000,5700000,472200,1100,1000,,,,0
192,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,4200000,3600000,418700,2400,1400,,,,0
193,bomanizer,Bomanizer,1900000,1900000,381100,2300,5400,,,,0
194,miakhalifa,Mia K.,36600000,3900000,227200,4900,1400,,,,0
195,jacobday,Jacob Day,6500000,2500000,476200,3500,1100,,,,0
196,matheuskriwat,Matheuskriwat,11200000,3700000,236200,5800,523,,,,0
197,calebwsimpson,CALEB SIMPSON,6500000,4500000,449900,1000,1700,,,,0
198,cheekyboyos,the cheeky boyos,11000000,3800000,475200,1800,1200,,,,0
199,oliviergiroud,Olivier Giroud,1300000,2700000,452500,2700,1800,,,,0
200,vincentgiganteee,Vincent Gigante,2600000,3300000,607700,1000,1700,,,,0
201,thebenjishow,benji,6200000,2800000,458300,1300,2900,,,,0
202,joaodoce,Joao Doce,3300000,3400000,352900,2800,1700,,,,0
203,andrea.dvrs,Dapaney🦋,2600000,5200000,526100,1300,709,,,,0
204,officialbhafc,Brighton & Hove Albion FC,600300,4600000,389000,2200,729,,,,0
205,claudiaraia,Claudia Raia,2800000,3200000,446100,2600,1100,,,,0
206,elsaucepapii,SaucePapii22,1500000,2400000,219900,684,9300,,,,0
207,werenotreallystrangers,WNRS,4800000,2000000,315900,2800,5400,,,,0
208,marianagrimaldii,La Niña Fresa 🍓,3800000,4500000,414000,636,2200,,,,0
209,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4400000,2100000,238400,3800,6900,,,,0
210,melmaia,Mel Maia 🍯,14000000,4800000,476600,1200,1100,,,,0
211,outtpig,OuttPig,2400000,2300000,431900,1500,3700,,,,0
212,edgar3104,Edgarmendez,5700000,6800000,284800,1700,958,,,,0
213,christianchavezreal,Christian Chávez,1700000,2200000,336400,3900,3000,,,,0
214,championsleague,Champions League,20300000,2800000,474000,1900,2000,,,,0
215,gordonramsayofficial,Gordon Ramsay,35600000,4600000,388200,2300,613,,,,0
216,dixiedamelio,dixie,57500000,4700000,356600,2100,923,,,,0
217,maxtaylorlifts,Max Taylor,9400000,3200000,440800,2000,1600,,,,0
218,oironyoliveira,Kbuloso 😈,7100000,1500000,132000,412,25000,,,,0
219,marko,marko,11200000,2300000,275300,3400,4600,,,,0
220,dinosonso_ofc,DinoSonso,8800000,2500000,194100,4400,5900,,,,0
221,firmanskd,𝙆𝙊𝘾𝘼𝙉,3100000,2200000,174600,632,12300,,,,0
222,oficialrc3,Roberto Carlos,3600000,5100000,397000,901,1500,,,,0
223,danythegaggio,Daniele Cabras,3500000,2400000,290700,1600,5600,,,,0
224,tina_042,𝒯𝒾𝓃𝒶,1300000,2400000,504900,2100,1900,,,,0
225,pedroallann,Pedroca,2900000,2300000,422500,2500,2400,,,,0
226,piffpeterson,piff peterson,3900000,3300000,379500,1500,2300,,,,0
