handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,,8300000,Brazil,235800,598400,Entertainment,
alexademie,,,,10800000,United States,1200000,2100000,,
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,,22400000,India,487900,596600,Entertainment,
alexis_officia1,Sanchez Alexis,Sports with a ball,,13400000,Chile,185200,304800,Sports,
alexisren,Alexis Ren,Lifestyle,,15800000,United States,102000,158100,Lifestyle,
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,,21100000,Brazil,99500,223600,Entertainment,
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,,61800000,India,1200000,1500000,Entertainment,
alidaei,Ali Daei,Sports with a ball,,8000000,Iran,555800,937000,Sports,
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,9100000,Iran,328700,495100,Sports,
alishalehmann7,Alisha Lehmann,Sports with a ball,,6800000,Brazil,373800,705300,Sports,
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,17600000,India,1600000,2000000,Entertainment,
alok,Alok,Music,Art/Artists,27000000,Brazil,249600,319900,Music,Entertainment
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,16200000,Italy,113100,175200,Sports,Info/Business
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,,12400000,India,244500,334700,Entertainment,
alvxaro,ALVARO,Lifestyle,,9200000,Brazil,169600,424700,Lifestyle,
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,5600000,India,596800,668300,Lifestyle,Entertainment
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8100000,Mexico,505000,564400,Beauty/Fashion,Lifestyle
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,,24100000,India,112900,180600,Entertainment,
amandamanopo,,Modeling,Beauty,15200000,Indonesia,189600,250500,Beauty/Fashion,Beauty/Fashion
amarantavp,A M A 🤍,,,4900000,Mexico,483800,605600,,
amauryguichon,Amaury Guichon,Food & Cooking,,6700000,United States,357300,435700,Lifestyle,
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30000000,India,88500,103600,Entertainment,
amybethmcnulty,AB Mcn,Lifestyle,Cinema & Actors/actresses,6300000,Brazil,561400,771300,Lifestyle,Entertainment
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,6100000,United States,543400,735300,Entertainment,Lifestyle
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,21900000,India,318200,371800,Entertainment,
anasmarwah,Anas Marwah,Family,Shows,5500000,Iraq,431800,557500,Lifestyle,Entertainment
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,7700000,Colombia,411300,584300,Lifestyle,Beauty/Fashion
andresiniesta8,Andres Iniesta,Sports with a ball,,39000000,Spain,91500,132300,Sports,
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,,8200000,Mexico,285500,346000,Lifestyle,
angeldimariajm,Ángel Di María,Sports with a ball,,16300000,Argentina,294600,434100,Sports,
angelinajolie,Angelina Jolie,,,12600000,Brazil,274600,456200,,
angelinajolie,Angelina Jolie,Lifestyle,,12600000,Brazil,274600,456100,Lifestyle,
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,13900000,Brazil,247400,310600,Entertainment,Entertainment
angelrai07,Angel Rai :),Humor & Fun & Happiness,,14900000,India,462200,557400,Entertainment,
anguscloud,Angus Cloud,,,8300000,United States,1300000,2100000,,
anitta,Anitta 🎤,Music,,61100000,Brazil,542800,1000000,Music,
anjimaxuofficially,Anjali Arora,Lifestyle,,11100000,India,173300,221200,Lifestyle,
annakendrick47,Anna Kendrick,Cinema & Actors/actresses,,20300000,United States,210000,274200,Entertainment,
annecurtissmith,Anne Curtis,Music,Cinema & Actors/actresses,17800000,Philippines,134700,152300,Music,Entertainment
annehathaway,Anne Hathaway,Cinema & Actors/actresses,,22600000,United States,704300,928400,Entertainment,
annemarie,ANNE-MARIE,Shows,Music,9200000,India,242500,339600,Entertainment,Music
ansufati,Ansu Fati,Sports with a ball,,8000000,Spain,475200,721000,Sports,
anthonyjoshua,Throwback Fighter 🧠,Fitness & Gym,,13600000,United Kingdom,142000,192800,Sports,
antogriezmann,Antoine Griezmann,Sports with a ball,,35500000,Spain,205300,329600,Sports,
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19000000,Argentina,970700,1600000,Beauty/Fashion,Lifestyle
anuel,“REAL HASTA LA MUERTE”,Music,,27900000,Spain,586000,892100,Music,
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,,11400000,India,510400,583300,Entertainment,
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,34500000,India,379100,443800,Entertainment,
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,57500000,India,1100000,1300000,Entertainment,
anyageraldine,anya geraldine,Music,,10700000,Indonesia,182300,305200,Music,
anyataylorjoy,Anya Taylor-Joy,,,8800000,United States,679600,979900,,
aoc,Alexandria Ocasio-Cortez,,,8500000,United States,290100,363000,,
apple,apple,Computers & Gadgets,Photography,27400000,India,83400,111200,Tech/Gaming,Lifestyle
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,,13000000,Turkey,323000,416700,Beauty/Fashion,
arianagrande,Ariana Grande,Music,,302300000,United States,2900000,4100000,Music,
arigameplays,ARIGAMEPLAYS,,,9700000,Mexico,900600,1100000,,
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,28000000,India,183100,221400,Entertainment,
arminzareeiofficial,Armin Zareei,,,9500000,Iran,178500,286100,,
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000,Brazil,273100,515600,Music,Lifestyle
arsenal,Arsenal Official,Sports with a ball,,21500000,United Kingdom,79900,120000,Sports,
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,12700000,Brazil,104100,236800,Music,Entertainment
asalamaleh,Asala Maleh,Shows,,6600000,Iraq,415900,514500,Entertainment,
asaprocky,GRIM,Music,,14600000,United States,383600,641700,Music,
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,13300000,India,832600,1000000,Entertainment,
ashleybenson,Ashley Benson,Modeling,,22400000,Brazil,101000,144300,Beauty/Fashion,
ashleygraham,A S H L E Y  G R A H A M,Modeling,,17200000,United States,392700,519500,Beauty/Fashion,
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,21400000,India,110200,134100,Entertainment,Lifestyle
ateez_official_,ATEEZ(에이티즈),Music,,6300000,United States,410900,472100,Music,
attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,23100000,Indonesia,140200,192300,Entertainment,Entertainment
auba,Pierre-Emerick Aubameyang,Sports with a ball,,12000000,United Kingdom,379300,602100,Sports,
aum_patchrapa,Patchrapa Chai,Cinema & Actors/actresses,Lifestyle,14100000,Thailand,150300,179200,Entertainment,Lifestyle
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,25300000,Indonesia,475200,601100,Beauty/Fashion,
avani,avani,Beauty,Lifestyle,18800000,United States,337000,451900,Beauty/Fashion,Lifestyle
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,30500000,India,281300,341100,Entertainment,
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,10700000,Brazil,211200,263000,Music,Entertainment
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,17800000,India,466000,558400,Entertainment,Entertainment
aykutelmas,Aykut Elmas,Cinema & Actors/actresses,Photography,6800000,Turkey,321000,376500,Entertainment,Lifestyle
badbunnypr,,Music,,38500000,United States,2500000,3900000,Music,
badgalriri,badgalriri,Music,Beauty,125100000,United States,2800000,4600000,Music,Beauty/Fashion
baifernbah,baifernbah,Lifestyle,,10400000,Indonesia,224500,284600,Lifestyle,
bambam1a,BamBam,Music,,16000000,Brazil,684300,863000,Music,
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000,United States,148300,174600,Info/Business,Info/Business
barbieferreira,barbie ferreira,,,6100000,United States,635500,1200000,,
bbrightvc,bright,Cinema & Actors/actresses,,13500000,Indonesia,1700000,2000000,Entertainment,
bclsinclair,Bunga Citra Lestari,Music,,20200000,Indonesia,153500,242600,Music,
beberexha,Bebe Rexha,Music,Lifestyle,10800000,India,221500,327000,Music,Lifestyle
bebytsabina,Cut Beby Tshabina,Modeling,,7100000,Indonesia,243400,373900,Beauty/Fashion,
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,50700000,India,474600,604400,Entertainment,Entertainment
belindapop,Beli,Music,,14900000,Mexico,136700,197000,Music,
bellahadid,Bella 🦋,Modeling,,50600000,United States,566900,905300,Beauty/Fashion,
bellapoarch,Bella Poarch,,,14300000,United States,859500,1200000,,
bellathorne,BELLA,Music,Art/Artists,25200000,United States,289500,485700,Music,Entertainment
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,16800000,Philippines,452700,545400,Beauty/Fashion,Entertainment
beyonce,Beyoncé,Music,Fashion,246900000,United States,2600000,3700000,Music,Beauty/Fashion
bhadbhabie,ℬ𝒽𝒶𝒷𝒾ℯ🦋,Music,,16400000,United States,143100,268000,Music,
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,14200000,India,741000,915800,Entertainment,
bianca,BOCA ROSA,Beauty,,17700000,Brazil,73600,172200,Beauty/Fashion,
bibisbeautypalace,! Bibi,Family,Lifestyle,7800000,Germany,322700,369600,Lifestyle,Lifestyle
bighit_ent,BigHit Music Updates,Music,,13000000,Indonesia,721300,888500,Music,
bigsean,BIGSEAN,Music,Art/Artists,14600000,United States,169900,310300,Music,Entertainment
billieeilish,BILLIE EILISH,Music,,101700000,United States,2600000,3400000,Music,
bizarrap,BZRP,Music,,11500000,Argentina,920800,1100000,Music,
blackpinkofficial,BLΛƆKPIИK,Music,,46200000,Indonesia,1100000,1400000,Music,
blakelively,Blake Lively,Cinema & Actors/actresses,,32000000,United States,827100,1300000,Entertainment,
bleacherreport,Bleacher Report,Sports with a ball,,18400000,United States,103800,204700,Sports,
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13400000,Philippines,196900,224100,Entertainment,Beauty/Fashion
bmw,BMW,Cars & Motorbikes,,33100000,India,73100,97600,Lifestyle,
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,21400000,Indonesia,2500000,2900000,Entertainment,Beauty/Fashion
bobbyindaeyo,💀,Music,,3400000,Indonesia,679100,791200,Music,
borodylia,Ксения Бородина,Shows,Family,18200000,Russia,123000,153200,Entertainment,Lifestyle
bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,Lifestyle,23700000,Indonesia,109100,138900,Entertainment,Lifestyle
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22100000,United States,888300,1200000,Music,Entertainment
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18300000,United States,551000,927900,Entertainment,Beauty/Fashion
brfootball,Bleacher Report Football,Sports with a ball,,11900000,United States,146000,236000,Sports,
briandadeyanara,BRIANDA 💖,,,12600000,Mexico,355200,417300,,
brianmaps,Брайн Мапс (Макс Тарасенко),Photography,,5800000,Russia,608400,627900,Lifestyle,
britneyspears,Britney Spears,Music,,40200000,United States,180500,251600,Music,
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,42600000,Brazil,485200,837200,Entertainment,
brunomars,Bruno Mars,Music,,24900000,Brazil,328700,499000,Music,
brycehall,Bryce Hall,Music,,7500000,United States,279200,358700,Music,
bts.bighitofficial,BTS official,Music,,61700000,Indonesia,2400000,2600000,Music,
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16100000,United States,124100,168500,Lifestyle,Beauty/Fashion
bumkeyk,SHINee KEY,Music,,9000000,Indonesia,376300,451600,Music,
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,20500000,Turkey,492800,597500,Entertainment,
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,,9000000,Turkey,560900,725600,Entertainment,
bypamella,BY PAMELLA ✨🧿,Shows,,9400000,Brazil,237700,406800,Entertainment,
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,18600000,United States,190100,294600,Entertainment,Lifestyle
camerondallas,Cameron Dallas,Cinema & Actors/actresses,,23000000,United States,104800,182600,Entertainment,
camila_cabello,camila,Music,,60900000,Brazil,305400,418100,Music,
camilaloures,Camila Loures,Shows,,17600000,Brazil,131500,196300,Entertainment,
camilladelucas,Camilla de Lucas,Beauty,,10800000,Brazil,205200,376800,Beauty/Fashion,
camilo,C A M I L O,Music,,26400000,Argentina,252300,398900,Music,
camimendes,camila mendes,Cinema & Actors/actresses,,26800000,Brazil,1100000,1600000,Entertainment,
canelo,Saul Alvarez,Fitness & Gym,,12800000,Mexico,203000,282200,Sports,
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9300000,Italy,324400,402800,Entertainment,Beauty/Fashion
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43300000,United States,130100,182800,Beauty/Fashion,Entertainment
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,24800000,Brazil,441900,810700,Lifestyle,
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15000000,India,885800,1000000,Tech/Gaming,Tech/Gaming
casemiro,Casemiro,Sports with a ball,,14000000,Spain,149800,224100,Sports,
caviarmagnat,by Tregubov,,,13300000,Russia,148600,214400,,
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,,9800000,Argentina,396200,508000,Music,
cbum,Chris Bumstead,Fitness & Gym,,6600000,United States,248700,410600,Sports,
celestebarber,Celeste Barber,Humor & Fun & Happiness,,8900000,United States,364800,393200,Entertainment,
chaelincl,CL,Art/Artists,Fashion,9800000,Brazil,259000,342500,Entertainment,Beauty/Fashion
championsleague,UEFA Champions League,Sports with a ball,,91400000,Brazil,255300,344400,Sports,
channingtatum,Channing Tatum,Cinema & Actors/actresses,,17000000,United States,272100,393200,Entertainment,
charles_leclerc,Charles Leclerc,Racing Sports,,6600000,Italy,473900,629200,Sports,
charlidamelio,cd,Lifestyle,Shows,47700000,United States,1500000,1900000,Lifestyle,Entertainment
charlieputh,Charlie Puth,Music,,15700000,United States,320500,456200,Music,
chelseafc,Chelsea FC,Sports with a ball,,33200000,Indonesia,115700,172400,Sports,
chiaraferragni,Chiara Ferragni ✨,Beauty,,26700000,Italy,372000,616600,Beauty/Fashion,
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,,20100000,United States,292900,392500,Entertainment,
choi_seung_hyun_tttop,T.O.P,,,13600000,Indonesia,337700,400700,,
choquei,CHOQUEI - BBB22,Literature & Journalism,,17000000,Brazil,90100,279500,Info/Business,
chrisbrownofficial,BREEZY,Music,,106000000,United States,157100,241900,Music,
chrisevans,Chris Evans,,,14800000,United States,2000000,2400000,,
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,54000000,India,776600,998100,Entertainment,
chrissyteigen,chrissy teigen,Shows,Modeling,37400000,United States,158000,205500,Entertainment,Beauty/Fashion
ciara,Ciara,Music,Modeling,31300000,United States,199400,270600,Music,Beauty/Fashion
claaragalle,Clara Galle🌀,,,3200000,Mexico,425200,771600,,
claireholt,Claire Holt,Cinema & Actors/actresses,Lifestyle,7400000,United States,304100,415400,Entertainment,Lifestyle
claragnds,Maria Clara Garcia,,,6400000,Brazil,153400,386600,,
clean_0828,김세정,Lifestyle,,5500000,Indonesia,1300000,1600000,Lifestyle,
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,,17800000,Brazil,360600,564800,Entertainment,
coldplay,Coldplay,Music,,15400000,Brazil,274000,381300,Music,
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5000000,United States,412600,580800,Lifestyle,Beauty/Fashion
colesprouse,Cole Sprouse,Modeling,,36000000,United States,352700,459300,Beauty/Fashion,
colleen,Colleen Ballinger,Family,Fashion,7500000,United States,368300,463600,Lifestyle,Beauty/Fashion
conangray,Conan Gray,Music,,5700000,Brazil,785400,1200000,Music,
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,,12100000,India,319900,421900,Entertainment,
cristiano,Cristiano Ronaldo,Sports with a ball,,419600000,India,5700000,7000000,Sports,
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19200000,Colombia,247300,305100,Entertainment,Entertainment
cznburak,Burak Özdemir,Food & Cooking,,32900000,Turkey,615200,836000,Lifestyle,
d_a___m_i,KIM DA MI,,,4300000,Indonesia,1100000,1400000,,
d_degeaofficial,David De Gea,Sports with a ball,,12900000,United Kingdom,306800,434400,Sports,
daddyyankee,Daddy Yankee,Music,,44900000,Argentina,1300000,1800000,Music,
dagelan,Dagelan,Humor & Fun & Happiness,,20600000,Indonesia,83400,140500,Entertainment,
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,32800000,India,1300000,2100000,Entertainment,
danialves,Daniel Alves,Sports with a ball,,35700000,Brazil,170600,264900,Sports,
daniel.k.here,Daniel Kang,Lifestyle,,4800000,Indonesia,458900,577400,Lifestyle,
danielricciardo,Daniel Ricciardo,Racing Sports,,6600000,United States,361100,469200,Sports,
dannapaola,Danna Paola,Music,,33500000,Mexico,931600,1300000,Music,
daquan,Daquan,Humor & Fun & Happiness,,16800000,United States,364200,561900,Entertainment,
darshanravaldz,Darshan Raval #Goriye,Music,,14800000,India,205900,249100,Music,
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,,13700000,Russia,166000,215900,Info/Business,
davidalaba,David Alaba,Sports with a ball,,8500000,Spain,301400,426700,Sports,
davidbeckham,David Beckham,Family,Sports with a ball,71900000,India,500400,641100,Lifestyle,Sports
davidluiz23,David Luiz,Sports with a ball,,21200000,Brazil,69800,152400,Sports,
davido,Davido,Music,,23300000,Nigeria,184900,259300,Music,
davidwarner31,David Warner,Sports with a ball,,9100000,India,238200,279700,Sports,
davikah,davikah,Modeling,,15900000,Thailand,355300,460800,Beauty/Fashion,
dbook,Devin,,,5100000,United States,248800,489000,,
ddlovato,Demi Lovato,Music,,128700000,United States,319800,418400,Music,
dean.schneider,Dean Schneider,Animals,,10100000,India,271500,348200,Lifestyle,
dearra,De'arra Taylor,Lifestyle,,6000000,United States,236900,589900,Lifestyle,
debbyryan,Debby Ryan,Music,Cinema & Actors/actresses,16700000,United States,169400,246400,Music,Entertainment
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,65500000,India,347200,450300,Entertainment,
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,10800000,Brazil,234300,431400,Info/Business,Sports
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,,15000000,Turkey,335600,449000,Entertainment,
demirose,Demi 🌹,Modeling,Lifestyle,19200000,United States,395900,515000,Beauty/Fashion,Lifestyle
dew_jsu,2000,,,4500000,Indonesia,798400,1100000,,
dhanushkraja,Dhanush,Cinema & Actors/actresses,,4200000,India,685100,886300,Entertainment,
diddy,LOVE,Music,Cinema & Actors/actresses,18400000,United States,109400,164500,Music,Entertainment
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,,12900000,India,203300,244700,Entertainment,
dindahw,Dinda Hauw,Cinema & Actors/actresses,,13900000,Indonesia,288800,431500,Entertainment,
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,49600000,India,909300,1100000,Entertainment,Lifestyle
divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,Cinema & Actors/actresses,18900000,India,146500,168200,Entertainment,Entertainment
dixiedamelio,dixie,Music,Clothing & Outfits,25100000,United States,293000,430300,Music,Beauty/Fashion
djokernole,Novak Djokovic,Sports with a ball,,10400000,Serbia,195700,240900,Sports,
djsnake,djsnake,Music,,9100000,India,362200,429600,Music,
djxiao_888,XIAOJUN,,,6600000,Indonesia,1100000,1300000,,
dkharbour,David Harbour,Cinema & Actors/actresses,,6200000,United States,352200,461500,Entertainment,
dlwlrma,이지금 IU,Art/Artists,,25800000,South Korea,2900000,3500000,Entertainment,
dntlrdl,CHOIWOOSHIK,Lifestyle,,5900000,Indonesia,1500000,2000000,Lifestyle,
do0_nct,Doyoung,,,9800000,Indonesia,1400000,1900000,,
dojacat,Doja Cat,Music,,22400000,United States,2800000,3900000,Music,
domelipa,domelipa,Lifestyle,,17200000,Mexico,1100000,1300000,Lifestyle,
dominicfike,,,,3700000,United States,419900,799000,,
donya,Donya,Fashion,,14700000,Iran,379800,596700,Beauty/Fashion,
dovecameron,DOVE,Cinema & Actors/actresses,,46400000,United States,618500,807200,Entertainment,
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,,10200000,India,176800,239600,Entertainment,
dra.deolanebezerra,Deolane Bezerra,,,13200000,Brazil,352000,754100,,
drewstarkey,Drew Starkey,,,3200000,United States,630200,1200000,,
dualipa,DUA LIPA,Music,,81600000,Mexico,2200000,2700000,Music,
dudewithsign,Seth,,,8100000,United States,400000,628500,,
dukeandduchessofcambridge,Duke and Duchess of Cambridge,Family,Finance & Economics,13500000,,0,214200,Lifestyle,Info/Business
dukissj,Ya Supiste,Music,,9000000,Argentina,607200,1100000,Music,
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7300000,United States,215700,350400,Music,Entertainment
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,,9300000,United States,350300,549800,Entertainment,
e_milygarcia,Emily Garcia,Cinema & Actors/actresses,,11000000,Brazil,230100,380500,Entertainment,
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,22700000,United States,118700,145900,Lifestyle,Lifestyle
easportsfifa,EA SPORTS FIFA,Sports with a ball,,25800000,Spain,70900,118300,Sports,
ebi,EBI,Music,,10300000,Iran,193600,260500,Music,
ederbez,Eugenio Derbez,Cinema & Actors/actresses,Lifestyle,18100000,Mexico,248300,278900,Entertainment,Lifestyle
egorkreed,Егор Крид | #HeartBreakKid,Music,,14700000,Russia,322600,396900,Music,
eilirjani,Elton ILIRJANI,Lifestyle,,9500000,Albania,423900,611600,Lifestyle,
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8300000,Turkey,284600,342800,Entertainment,Lifestyle
eliana,Eliana Michaelichen,Music,Shows,29600000,Brazil,119300,151500,Music,Entertainment
ellenpompeo,Ellen Pompeo,Cinema & Actors/actresses,Lifestyle,10000000,Brazil,285800,495800,Entertainment,Lifestyle
elnazshakerdoost,Elnaz Shakerdoost🎬,Cinema & Actors/actresses,,9500000,Iran,219000,295700,Entertainment,
elrodrigocontreras,ROD🥴,Lifestyle,,12700000,Mexico,563100,620800,Lifestyle,
elrubiuswtf,el rubius WTF,Computers & Gadgets,,16200000,Mexico,1400000,1500000,Tech/Gaming,
emilia_clarke,,Cinema & Actors/actresses,,27000000,India,490500,617200,Entertainment,
emiliamernes,Emilia Mernes,Music,,4900000,Argentina,549500,1000000,Music,
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,35600000,Iran,771200,993500,Entertainment,Music
emmachamberlain,emma chamberlain,Lifestyle,Shows,15300000,United States,1100000,1700000,Lifestyle,Entertainment
emmaroberts,Emma Roberts,Cinema & Actors/actresses,,17700000,United States,266400,392400,Entertainment,
emrata,Emily Ratajkowski,Modeling,,29000000,United States,475400,758700,Beauty/Fashion,
enhypen,ENHYPEN,,,9600000,Indonesia,1500000,2100000,,
erling.haaland,Erling Braut Haaland,,,14800000,Brazil,541800,811000,,
esbilgic,Esra Bilgic,Lifestyle,Modeling,6700000,India,319100,407100,Lifestyle,Beauty/Fashion
ester_exposito,Ester 🌙,Cinema & Actors/actresses,,29000000,Russia,2900000,4300000,Entertainment,
eunwo.o_c,차은우,Music,Lifestyle,27400000,Indonesia,3600000,4500000,Music,Lifestyle
euphoria,euphoria,,,7900000,United States,1100000,1800000,,
evaluna,Evaluna Montaner de Echeverry,Family,Music,19800000,Argentina,812100,1100000,Lifestyle,Music
evcenf,Fahriye Evcen Özçivit,Lifestyle,Beauty,12800000,Turkey,375600,473300,Lifestyle,Beauty/Fashion
ewsbdi,로운,,,4200000,Indonesia,488600,730200,,
f1,FORMULA 1®,Racing Sports,,18300000,Italy,266600,337700,Sports,
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,6400000,Italy,328900,570600,Info/Business,Entertainment
fadiljaidi,Fadil Jaidi,Lifestyle,,7000000,Indonesia,581500,873000,Lifestyle,
