rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
541,7_luhan_m,鹿 Han,Music,12700000,Indonesia,332800,404200,,Music,
542,aboflah,AboFlah,Humor & Fun & Happiness,7400000,Iraq,593300,708400,,Entertainment,
543,gururandhawa,Guru Randhawa,Music,33000000,India,126300,155200,,Music,
544,superstar_dewasi99,SUPERSTARDEWASI 99,Music,13500000,India,238600,376900,Cinema & Actors/actresses,Music,Entertainment
545,cvillaloboss,CARMEN VILLALOBOS,Shows,20600000,Colombia,197700,243500,Cinema & Actors/actresses,Entertainment,Entertainment
546,faz3,Fazza,Lifestyle,14700000,United Arab Emirates,263800,345400,,Lifestyle,
547,markiplier,Markiplier,Shows,10600000,United States,411900,469200,,Entertainment,
548,dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,9100000,United States,353300,554700,,Entertainment,
549,melissamelmaia,MEL MAIA 🍯,Music,13500000,Brazil,204400,370200,,Music,
550,theellenshow,Ellen DeGeneres,Shows,124400000,United States,33400,40200,Cinema & Actors/actresses,Entertainment,Entertainment
551,fuji_an,Fujianti Utami Putri,Lifestyle,11800000,Indonesia,177300,421800,,Lifestyle,
552,avrillavigne,Avril Lavigne,Music,11700000,Brazil,341700,425400,Cinema & Actors/actresses,Music,Entertainment
553,sav.labrant,Savannah Rose LaBrant,Family,7200000,United States,521900,697800,Lifestyle,Lifestyle,Lifestyle
554,donya,Donya,Lifestyle,15300000,Iran,215600,341300,,Lifestyle,
555,avengers,Avengers,Cinema & Actors/actresses,13600000,India,289200,362000,,Entertainment,
556,briandadeyanara,BRIANDA 💖,Lifestyle,13500000,Mexico,309000,362800,,Lifestyle,
557,shaymitchell,Shay Mitchell,Beauty,34400000,United States,100200,140500,Family,Beauty/Fashion,Lifestyle
558,gabigol,( Lil ) Gabi,Sports with a ball,10200000,Brazil,316100,478800,,Sports,
559,camilo,C A M I L O,Music,27600000,Argentina,109900,174200,,Music,
560,ncentineo,Noah,Cinema & Actors/actresses,16400000,Brazil,174100,289400,,Entertainment,
561,chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,21500000,United States,164900,220600,,Entertainment,
562,agnezmo,AGNEZ MO,Music,29200000,Indonesia,97600,162200,,Music,
563,39saku_chan,Sakura Miyawaki,Lifestyle,4300000,Indonesia,894800,1100000,Cinema & Actors/actresses,Lifestyle,Entertainment
564,dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,11300000,India,308200,416900,,Entertainment,
565,nusr_et,Nusr_et#Saltbae,Food & Cooking,48000000,Turkey,67200,99100,,Lifestyle,
566,f1,FORMULA 1®,Racing Sports,20900000,Italy,178100,225100,,Sports,
567,juansguarnizo,Juan Sebastián Guarnizo,Lifestyle,6300000,Mexico,685600,750800,,Lifestyle,
568,victoriajustice,Victoria Justice,Music,23000000,United States,149800,205000,Cinema & Actors/actresses,Music,Entertainment
569,apple,apple,Computers & Gadgets,28400000,India,122000,164400,Photography,Tech/Gaming,Lifestyle
570,dejesusoficial,Gabriel Jesus,Sports with a ball,18700000,Brazil,161200,249500,,Sports,
571,thehughjackman,Hugh Jackman,Cinema & Actors/actresses,30500000,United States,134900,153400,,Entertainment,
572,otabek_muhammadalievich,Otabek Umarov,,20200000,Russia,171800,231100,,,
573,beautifuldestinations,BEAUTIFUL DESTINATIONS,Photography,24700000,United States,139600,187100,Travel,Lifestyle,Lifestyle
574,natashawilona12,Natasha Wilona,Beauty,39400000,Indonesia,98300,117200,,Beauty/Fashion,
575,jackharlow,,Lifestyle,6900000,United States,362400,676900,Humor & Fun & Happiness,Lifestyle,Entertainment
576,anjimaxuofficially,Anjali Arora,Lifestyle,11900000,India,302800,387500,Cinema & Actors/actresses,Lifestyle,Entertainment
577,kaylanicolejones,,Family,7400000,United States,295900,626800,Beauty,Lifestyle,Beauty/Fashion
578,simaria,Simaria,Music,28300000,Brazil,111600,162300,,Music,
579,kun11xd,KUN,Lifestyle,6900000,Indonesia,536100,669100,Music,Lifestyle,Music
580,quackity,quackity,,4100000,United States,925100,1100000,,,
581,ludmilla,LUDMILLA,Music,27900000,Brazil,110300,164600,,Music,
582,yooncy1,윤찬영 Chan-young Yoon,Lifestyle,4800000,South Korea,788800,949100,,Lifestyle,
583,everyone_woo,Wonwoo,Music,3600000,Indonesia,999600,1300000,,Music,
584,itsmarziapie,Marzia Kjellberg,Beauty,8300000,United States,450700,550700,Lifestyle,Beauty/Fashion,Lifestyle
585,egupta,Esha Gupta,Lifestyle,11700000,India,309500,387500,Cinema & Actors/actresses,Lifestyle,Entertainment
586,antony00,Antony Santos,Sports with a ball,4800000,Brazil,519700,960100,,Sports,
587,nickyjam,NICKY JAM,Music,43400000,Spain,75400,104400,,Music,
588,danialves,Daniel Alves,Sports with a ball,37300000,Brazil,77800,120700,,Sports,
589,nessabarrett,ness,Lifestyle,7300000,United States,461800,625900,Music,Lifestyle,Music
590,sushitrash,JOJI,Music,6500000,United States,572600,700600,,Music,
591,sugaringcandy,JUNGWOO,,3500000,South Korea,1100000,1300000,,,
592,parishilton,Paris Hilton,Modeling,20300000,United States,133000,219700,,Beauty/Fashion,
593,lakers,Los Angeles Lakers,Sports with a ball,20300000,United States,142200,217800,,Sports,
594,matue,,Lifestyle,8300000,Brazil,297600,546600,Sports with a ball,Lifestyle,Sports
595,chelseafc,Chelsea FC,Sports with a ball,35800000,Indonesia,82500,123300,,Sports,
596,bernardokath,Kathryn Bernardo 🐘,Beauty,17400000,Philippines,208700,251500,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
597,rizkybillar,Muhammad Rizky Billar,Shows,12900000,Indonesia,265400,342600,Beauty,Entertainment,Beauty/Fashion
598,aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,27300000,Indonesia,126900,160600,,Beauty/Fashion,
599,elmarianaa,El Mariana,,4700000,Mexico,833100,946300,,,
600,fuckjerry,FUCKJERRY,Humor & Fun & Happiness,16700000,United States,203400,263900,,Entertainment,
601,alexadellanos,Alexa Dellanos,Lifestyle,10000000,United States,283500,443500,,Lifestyle,
602,saharghoreyshiofficialpage,سحر قريشى Sahar Ghoreyshi,,11700000,Iran,258100,378000,,,
603,ozuna,@ozutochi 🔜,Music,22500000,Spain,143100,192000,,Music,
604,jeonghaniyoo_n,윤정한,Lifestyle,3700000,Iran,939900,1200000,,Lifestyle,
605,salmahayek,Salma Hayek Pinault,Cinema & Actors/actresses,21800000,United States,161400,199500,,Entertainment,
606,leejen_o_423,LEE JENO,,2200000,,0,2300000,,,
607,pledis_boos,승관 SEUNGKWAN,Music,4600000,Indonesia,780800,947800,,Music,
608,naileadevora,nai,Lifestyle,5300000,United States,557500,823800,Music,Lifestyle,Music
609,ederbez,Eugenio Derbez,Cinema & Actors/actresses,18700000,Mexico,204700,229900,Lifestyle,Entertainment,Lifestyle
610,choquei,CHOQUEI,Literature & Journalism,17600000,Brazil,79100,245600,,Info/Business,
611,_shotaroo_,SHOTARO ショウタロウ,Lifestyle,5600000,Indonesia,602200,780000,Music,Lifestyle,Music
612,vousmevoyez,KRYSTAL,Music,10400000,Indonesia,318300,412900,Cinema & Actors/actresses,Music,Entertainment
613,emiliamernes,Emilia Mernes,Music,6200000,Argentina,370500,697100,,Music,
614,sebastianyatra,Sebastian Yatra,Music,29900000,Argentina,102900,143700,Art/Artists,Music,Entertainment
615,pedri,Pedri González,Sports with a ball,7300000,Spain,0,586800,,Sports,
616,karelyruiz,Karely Ruiz,Lifestyle,7100000,Mexico,482700,605700,,Lifestyle,
617,fortnite,Fortnite,Gaming,25600000,United States,139500,164600,Computers & Gadgets,Tech/Gaming,Tech/Gaming
618,memezar,MEMEZAR • Comedy and Culture,Cinema & Actors/actresses,22900000,United States,123000,183200,,Entertainment,
619,theshilpashetty,Shilpa Shetty Kundra,Cinema & Actors/actresses,26600000,India,136000,158000,,Entertainment,
620,quavohuncho,QuavoHuncho,Music,21700000,United States,117200,192500,,Music,
621,gessicakayane,GKAY,Shows,20100000,Brazil,101700,211800,Humor & Fun & Happiness,Entertainment,Entertainment
622,yugyeom,KYUM,Music,11500000,Brazil,297800,357500,Art/Artists,Music,Entertainment
623,catherinemcbroom,Catherine Paiz,Family,7300000,United States,331500,569700,,Lifestyle,
624,shreyaghoshal,shreyaghoshal,Music,24800000,India,147600,165000,,Music,
625,annakendrick47,Anna Kendrick,Cinema & Actors/actresses,22200000,United States,140900,184500,,Entertainment,
626,iqbaal.e,Piko - The Forger,Cinema & Actors/actresses,13700000,Indonesia,172300,295500,,Entertainment,
627,machinegunkelly,the Blonde Don,Music,9700000,United States,265300,426600,,Music,
628,nikkietutorials,NikkieTutorials,Beauty,16600000,United States,179900,244700,,Beauty/Fashion,
629,francinyehlke,Franciny Ehlke,Beauty,15600000,Brazil,118400,258900,,Beauty/Fashion,
630,yihyun_1208,조이현 cho yihyun,Lifestyle,5200000,South Korea,620400,785200,,Lifestyle,
631,dbook,Devin,Lifestyle,5400000,United States,383700,754400,Sports with a ball,Lifestyle,Sports
632,adinross,,,3600000,United States,630400,1300000,,,
633,sivakarthikeyan,Sivakarthikeyan Doss,,5300000,India,650700,766400,,,
634,tiagopzk,GOTTI A,Music,5500000,Argentina,319900,730500,,Music,
635,soueunavida,Sou Eu Na Vida,Humor & Fun & Happiness,18100000,Brazil,116500,221100,,Entertainment,
636,felipeneto,Felipe Neto 🦉,Lifestyle,16300000,Brazil,173200,244700,,Lifestyle,
637,simonettalein,Simonetta Lein,Beauty,13000000,India,221100,304600,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
638,raashiikhanna,Raashii Khanna,Cinema & Actors/actresses,8700000,India,387400,461700,Music,Entertainment,Music
639,dkharbour,David Harbour,Cinema & Actors/actresses,9800000,United States,310800,407000,,Entertainment,
640,angeldimariajm,Ángel Di María,Sports with a ball,18500000,Argentina,144100,212500,,Sports,
641,nehasharmaofficial,Neha Sharma 💫,Cinema & Actors/actresses,14800000,India,229600,263800,,Entertainment,
642,fedevalverde,Fede Valverde,Sports with a ball,6800000,Spain,408200,579400,,Sports,
643,tannerbuchananofficial,Tanner Buchanan Official,Cinema & Actors/actresses,4100000,United States,595700,965400,,Entertainment,
644,hadise,Hadise,Music,13900000,Turkey,239700,279500,Shows,Music,Entertainment
645,smriti_mandhana,Smriti Mandhana,Sports with a ball,6500000,India,521700,604400,,Sports,
646,kingarturo23oficial,Arturo Vidal,Sports with a ball,18600000,Italy,129600,209100,,Sports,
647,urassayas,Urassaya Sperbund,Cinema & Actors/actresses,12000000,Thailand,264400,321900,Modeling,Entertainment,Beauty/Fashion
648,kenzie,kenzie ♡,Art/Artists,14800000,United States,171500,260900,,Entertainment,
649,mattyperry4,Matthew Perry,Cinema & Actors/actresses,7800000,Brazil,369200,503800,,Entertainment,
650,ozgecangurelofficial,Özge Gürel,Cinema & Actors/actresses,5800000,Turkey,553200,679900,,Entertainment,
651,ho5hi_kwon,HOSHI,Lifestyle,3800000,Indonesia,785400,1000000,,Lifestyle,
652,ferrari,Ferrari,Luxury,23100000,United States,126800,166500,Cars & Motorbikes,Beauty/Fashion,Lifestyle
653,malutrevejo,Malú 🦋 222🎤,Music,11500000,United States,185900,333500,,Music,
654,sonu_sood,Sonu Sood,Cinema & Actors/actresses,17600000,India,191100,218500,,Entertainment,
655,achrafhakimi,Achraf Hakimi,Sports with a ball,10200000,Morocco,256400,376700,,Sports,
656,lamborghini,Lamborghini,Luxury,32100000,India,86200,118800,Cars & Motorbikes,Beauty/Fashion,Lifestyle
657,djsnake,djsnake,Music,9800000,India,334100,396600,,Music,
658,sooyoungchoi,Sooyoung Choi,Beauty,7400000,Indonesia,429900,518800,Lifestyle,Beauty/Fashion,Lifestyle
659,rupertgrint,Rupert Grint,Cinema & Actors/actresses,4600000,Brazil,590100,837300,Music,Entertainment,Music
660,romanreigns,Joe Anoai aka “Roman Reigns”,Lifestyle,6600000,India,449100,583100,,Lifestyle,
661,saipallavi.senthamarai,Sai Pallavi,Cinema & Actors/actresses,6200000,India,537100,615800,,Entertainment,
662,amybethmcnulty,Amybeth,Lifestyle,7800000,Brazil,354800,487400,Cinema & Actors/actresses,Lifestyle,Entertainment
663,davidalaba,David Alaba,Sports with a ball,10700000,Spain,247500,350300,,Sports,
664,drewstarkey,Drew Starkey,Cinema & Actors/actresses,3100000,United States,623600,1200000,,Entertainment,
665,pokimanelol,pokimane 🤍,Lifestyle,6200000,United States,468500,617000,Shows,Lifestyle,Entertainment
666,residente,René Pérez Joglar,Art/Artists,8900000,Colombia,281200,436100,Music,Entertainment,Music
667,virgilvandijk,Virgil van Dijk,Sports with a ball,12600000,United Kingdom,209500,296900,,Sports,
668,geewonii,김지원,,7800000,Indonesia,370500,487800,,,
669,youngdae0302,김영대,Music,4500000,Indonesia,630600,832500,,Music,
670,sanchooo10,Jadon Sancho,Sports with a ball,8900000,United Kingdom,242500,423800,,Sports,
671,candiceking,Candice King,Family,10100000,Brazil,264000,367900,Lifestyle,Lifestyle,Lifestyle
672,playstation,PlayStation,Gaming,28900000,United States,104900,128300,Computers & Gadgets,Tech/Gaming,Tech/Gaming
673,phoebejtonkin,Phoebe Tonkin,Beauty,8400000,United States,312200,445600,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
674,kareenakapoorkhan,Kareena Kapoor Khan,Family,9600000,India,311300,388500,Cinema & Actors/actresses,Lifestyle,Entertainment
675,eilirjani,Elton ILIRJANI,Adult content,10600000,Albania,241600,349000,,Entertainment,
676,fcbayern,FC Bayern,Sports with a ball,34200000,Germany,73300,107500,,Sports,
677,bleacherreport,Bleacher Report,Sports with a ball,19600000,United States,95400,188400,,Sports,
678,nita_shilimkar,Nita Shilimkar,Lifestyle,11500000,India,240500,318000,Fashion,Lifestyle,Beauty/Fashion
679,euphoria,euphoria,Photography,7800000,United States,295100,476300,Cinema & Actors/actresses,Lifestyle,Entertainment
680,theslumpgod,Stokeley,Music,5400000,United States,399000,694500,,Music,
681,sincerooficial,Sincero Oficial,Humor & Fun & Happiness,21700000,Brazil,87100,168600,,Entertainment,
682,elliotpage,,Cinema & Actors/actresses,6200000,United States,416000,599000,,Entertainment,
683,marcusrashford,Marcus Rashford MBE,Sports with a ball,12800000,United Kingdom,179900,284700,,Sports,
684,alvxaro,ALVARO,Lifestyle,9900000,Brazil,149900,374900,,Lifestyle,
685,andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,8700000,Colombia,299800,426600,Beauty,Lifestyle,Beauty/Fashion
686,vanessalopesr_,Vanessa Lopes,Lifestyle,12400000,Brazil,89800,292600,Music,Lifestyle,Music
687,myketowers,MICHAEL,Music,9500000,Spain,216200,390100,,Music,
688,grantgust,Grant Gustin,Cinema & Actors/actresses,7800000,Brazil,334200,473600,Fashion,Entertainment,Beauty/Fashion
689,lacasadepapel,La Casa de Papel,Cinema & Actors/actresses,12400000,Brazil,193800,291100,Shows,Entertainment,Entertainment
690,5.min.crafts,5-Minute Crafts,DIY & Design,46200000,Brazil,56300,78400,,Lifestyle,
691,demirose,Demi 🌹,Modeling,19900000,United States,140500,183100,Lifestyle,Beauty/Fashion,Lifestyle
692,oprah,Oprah,Art/Artists,21500000,United States,144900,171300,Cinema & Actors/actresses,Entertainment,Entertainment
693,aliandooo,Aliando Syarief,Music,17100000,Indonesia,136400,217400,Cinema & Actors/actresses,Music,Entertainment
694,dylanminnette,Dylan Minnette,Music,7300000,United States,307200,499500,Cinema & Actors/actresses,Music,Entertainment
695,adidasfootball,adidas Football,Sports with a ball,31700000,Brazil,82900,113100,,Sports,
696,choi_seung_hyun_tttop,TOP,,14600000,Indonesia,208300,246400,,,
697,porsche,Porsche,Cars & Motorbikes,26800000,United States,104300,133300,,Lifestyle,
698,asabopp,Asa Butterfield,Cinema & Actors/actresses,5700000,Brazil,433900,634500,,Entertainment,
699,bumkeyk,SHINee KEY,Music,9400000,Indonesia,323000,387000,,Music,
700,irinashayk,irina shayk,Modeling,19700000,Russia,130500,180700,,Beauty/Fashion,
701,irinashayk,irina shayk,Modeling,19700000,Russia,130500,180700,,Beauty/Fashion,
702,amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,31200000,India,98900,114400,,Entertainment,
703,angeliqueboyer,Angelique Boyer,Shows,14300000,Brazil,198400,249100,Cinema & Actors/actresses,Entertainment,Entertainment
704,onwardwanna,"Javon ""Wanna"" Walton",Lifestyle,6000000,United States,358300,597900,Cinema & Actors/actresses,Lifestyle,Entertainment
705,bigsean,BIGSEAN,Music,15400000,United States,126000,229800,Art/Artists,Music,Entertainment
706,willevy,William  Levy / Actor Producer,Shows,10900000,Brazil,243700,328200,Cinema & Actors/actresses,Entertainment,Entertainment
707,jamorant,12 🥷🏽🖤,Winter sports,7700000,United States,286600,463100,Sports with a ball,Sports,Sports
708,_schwim_,David Schwimmer,Cinema & Actors/actresses,6800000,India,352300,527300,,Entertainment,
709,filiperet,Retchê,Lifestyle,7800000,Brazil,181000,463500,Photography,Lifestyle,Lifestyle
710,subo_m,Subhan Mamedov,Shows,10400000,Russia,278300,340100,,Entertainment,
711,brfootball,Bleacher Report Football,Sports with a ball,12600000,United States,172100,278100,,Sports,
712,narins_beauty,••Narins Beauty••,Lifestyle,9300000,Syria,318900,391900,,Lifestyle,
713,nikefootball,Nike Football (Soccer),Sports with a ball,45400000,Brazil,50200,77500,Clothing & Outfits,Sports,Beauty/Fashion
714,eduincaz,Eduin Caz,Lifestyle,7400000,Mexico,373300,477400,,Lifestyle,
715,maneskinofficial,Måneskin,Modeling,6300000,Italy,398200,562000,Music,Beauty/Fashion,Music
716,ayushmannk,Ayushmann Khurrana,Cinema & Actors/actresses,16700000,India,172400,208100,,Entertainment,
717,perspolis,Persepolis,Sports with a ball,8300000,Iran,300800,428200,,Sports,
718,hichasestokes,,Humor & Fun & Happiness,7300000,United States,318300,476900,Lifestyle,Entertainment,Lifestyle
719,darshanravaldz,Darshan Raval #DholBajaa,Music,15400000,India,188000,226800,,Music,
720,paulwalker,Paul Walker,Cinema & Actors/actresses,15200000,India,165900,227300,,Entertainment,
721,aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,8500000,Brazil,169500,433600,,Entertainment,
722,realhinakhan,HK,Cinema & Actors/actresses,17400000,India,161800,199100,,Entertainment,
723,karljacobs,Karl Jacobs,,4300000,United States,622000,810000,,,
724,jxxvvxxk,이재욱,,4000000,Indonesia,703600,884600,,,
725,pooorblack,Pooorblack,,5000000,Iran,548900,710400,,,
726,staceysolomon,Stacey Solomon,Family,5400000,United Kingdom,536700,646400,,Lifestyle,
727,amadorat,N I C O L E   A M A D O 🐉,Fashion,8300000,Mexico,372100,415800,Lifestyle,Beauty/Fashion,Lifestyle
728,21savage,,Music,13600000,United States,143000,251300,,Music,
729,adrianalima,Adriana Lima,Modeling,15000000,United States,155300,228400,Fashion,Beauty/Fashion,Beauty/Fashion
730,yuvisofficial,Yuvraj Singh,Sports with a ball,15100000,India,189000,225400,,Sports,
731,dew_jsu,2000,Beauty,6400000,Indonesia,399900,537800,Lifestyle,Beauty/Fashion,Lifestyle
732,jaspritb1,jasprit bumrah,Lifestyle,9900000,India,302200,347300,Sports with a ball,Lifestyle,Sports
733,wos.ds3,Valentín Oliva,Music,6600000,Argentina,342700,524300,,Music,
734,ansufati,Ansu Fati,Sports with a ball,9100000,Spain,250200,379400,Winter sports,Sports,Sports
735,troyesivan,troye sivan,Art/Artists,13500000,United States,175000,251300,Fashion,Entertainment,Beauty/Fashion
736,haifawehbe,Haifa Wehbe,Music,10700000,Iraq,217900,318700,,Music,
737,burcuozberk,Burcu Özberk,Cinema & Actors/actresses,9300000,Turkey,286100,370500,,Entertainment,
738,danielricciardo,Daniel Ricciardo,Racing Sports,7400000,United States,355000,461000,,Sports,
739,alishalehmann7,Alisha Lehmann,Sports with a ball,8200000,Brazil,220200,415700,,Sports,
740,vivi,Vivi Wanderley,Beauty,13900000,Brazil,147100,242000,Lifestyle,Beauty/Fashion,Lifestyle
741,realcoleworld,Cole World,Music,7800000,United States,231500,439900,Art/Artists,Music,Entertainment
742,nicholasgalitzine,Nicholas Galitzine,Cinema & Actors/actresses,4300000,Brazil,480000,795000,,Entertainment,
743,wanda_nara,Wanda nara,Lifestyle,14700000,Argentina,161400,228500,,Lifestyle,
744,umutisler,Umut İşler,Food & Cooking,11000000,India,188000,302200,,Lifestyle,
745,diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,14000000,India,197700,238200,,Entertainment,
746,mchariel,MC Hariel,Music,9300000,Brazil,182400,363500,,Music,
747,valentinazenere,Valentina Zenere,Modeling,10200000,Brazil,269000,327600,Lifestyle,Beauty/Fashion,Lifestyle
748,imcryansp,TUBARAO GIGANTE 🦈,Lifestyle,5000000,Brazil,285600,679800,,Lifestyle,
749,richarlison,Richarlison,Sports with a ball,6200000,Brazil,286800,539100,Lifestyle,Sports,Lifestyle
750,yefersoncossio,Yef,Lifestyle,9800000,Colombia,234500,342000,,Lifestyle,
751,dk_is_dokyeom,도겸,Lifestyle,3600000,Iran,770100,927400,Music,Lifestyle,Music
752,pefabiodemelo,Fábio de Melo,Lifestyle,25800000,Brazil,85700,129300,,Lifestyle,
753,rishabpant,Rishabh Pant,Lifestyle,7000000,India,404100,480200,Sports with a ball,Lifestyle,Sports
754,litkillah,MAWZ💬,Music,8100000,Argentina,311100,409900,,Music,
755,emmaroberts,Emma Roberts,Cinema & Actors/actresses,18400000,United States,121000,178700,,Entertainment,
756,kittychicha,🖤KITTY CHICHA🐱,Music,4300000,Philippines,637600,773100,,Music,
757,madonna,Madonna,Music,18500000,Italy,120700,180100,,Music,
758,adamsandler,Adam Sandler,Cinema & Actors/actresses,13600000,United States,189000,240700,,Entertainment,
759,miketyson,Mike Tyson,Fitness & Gym,19400000,United States,131200,168900,,Sports,
760,sandrinna_11,Drinna 🖤,Lifestyle,10700000,Indonesia,237300,302700,,Lifestyle,
761,spacex,SpaceX,Science,16100000,United States,166500,202500,Machinery & Technologies,Tech/Gaming,Tech/Gaming
762,davidluiz23,David Luiz,Sports with a ball,22400000,Brazil,66200,145600,,Sports,
763,ivan_buhaje,spreen,,3100000,Argentina,843600,1000000,,,
764,jackblack,Jack Black,Cinema & Actors/actresses,8900000,United States,282000,368200,,Entertainment,
765,yasminabdelaziz_,Yasmin Abdelaziz,Cinema & Actors/actresses,16200000,Egypt,170000,201000,,Entertainment,
766,tohi,𝐓𝐎𝐇𝐈,Lifestyle,12200000,Iran,190600,282000,Music,Lifestyle,Music
767,schwarzenegger,Arnold Schwarzenegger,Cinema & Actors/actresses,22600000,United States,121800,143100,Fitness & Gym,Entertainment,Sports
768,ms_puiyi,Siew Pui Yi 🤍,Adult content,19600000,United States,128500,164600,,Entertainment,
769,moneybaggyo,Certified Speaker💜,Lifestyle,8400000,United States,163000,389200,NFT,Lifestyle,Tech/Gaming
770,deolaneb_,DEOLANE BEZERRA ⚖️,,6300000,Brazil,206100,512500,,,
771,madisonbaileybabe,Maddie Baby,Lifestyle,6600000,United States,259500,485900,Cinema & Actors/actresses,Lifestyle,Entertainment
772,neeraj____chopra,Neeraj Chopra,Shows,6200000,India,389200,510100,Winter sports,Entertainment,Sports
773,mrunalthakur,Mrunal Thakur,Beauty,6400000,India,352600,491300,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
774,lacikaysomers,Laci Kay Somers,Music,12200000,United States,152300,260400,Modeling,Music,Beauty/Fashion
775,jaybnow.hr,LIM JAE BEOM,Music,6900000,United States,347900,456600,,Music,
776,yamigautam,Yami Gautam Dhar,Cinema & Actors/actresses,16500000,India,162100,188100,,Entertainment,
777,gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,29400000,Brazil,66200,105700,Modeling,Entertainment,Beauty/Fashion
778,avani,avani,Beauty,18700000,United States,123000,165300,Lifestyle,Beauty/Fashion,Lifestyle
779,roddyricch,,Music,7000000,United States,234800,450700,,Music,
780,mauroicardi,𝕄𝔸𝕌ℝ𝕆 𝕀ℂ𝔸ℝ𝔻𝕀,Sports with a ball,8200000,Italy,236800,379300,,Sports,
781,jenniferwinget1,Jennifer Winget,Cinema & Actors/actresses,13600000,India,187800,228400,,Entertainment,
782,sarahhyland,Sarah Hyland,Cinema & Actors/actresses,10000000,United States,250700,313400,Lifestyle,Entertainment,Lifestyle
783,wayvofficial,WayV,Music,7500000,Indonesia,351800,418900,,Music,
784,meekmill,Meek Mill,Music,22700000,United States,71500,137600,,Music,
785,nodal,Christian Nodal 🇲🇽 🌵💚,Music,9400000,Mexico,229100,336800,,Music,
786,indiaroyale,India Royale,,4600000,United States,233300,691700,,,
787,chrissyteigen,chrissy teigen,Shows,39300000,United States,59800,78000,Modeling,Entertainment,Beauty/Fashion
788,kyrieirving,Hélà,Sports with a ball,17300000,United States,117200,177000,,Sports,
789,ahmedabohashima,Ahmed Abouhashima,Business & Careers,17300000,Egypt,130300,175900,Finance & Economics,Info/Business,Info/Business
790,l7nnon,L7,Lifestyle,8900000,Brazil,146400,347600,Art/Artists,Lifestyle,Entertainment
791,fadiljaidi,Fadil Jaidi,Lifestyle,8000000,Indonesia,257800,387300,,Lifestyle,
792,jessicajane99,Jessica Jane,Shows,5900000,Indonesia,392800,517800,Modeling,Entertainment,Beauty/Fashion
793,giannis_an34,Giannis Ugo Antetokounmpo,Sports with a ball,13500000,United States,142500,225500,,Sports,
794,egorkreed,Егор Крид | #HeartBreakKid,Music,14700000,Russia,168600,206700,,Music,
795,joerogan,Joe Rogan,Humor & Fun & Happiness,15700000,United States,139800,195000,Cinema & Actors/actresses,Entertainment,Entertainment
796,nancyajram,Nancy Ajram,Music,33200000,Iraq,72000,92100,,Music,
797,woozi_universefactory,WOOZI,,4100000,Indonesia,635800,756500,,,
798,enriqueiglesias,Enrique Iglesias,Music,17100000,India,125900,177800,Art/Artists,Music,Entertainment
799,cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,19300000,Brazil,99400,155600,,Entertainment,
800,junhui_moon,JUN 文俊辉,Lifestyle,3000000,Indonesia,836800,1000000,Music,Lifestyle,Music
801,vernonline,Vernon 버논,,4700000,Japan,490200,648600,,,
802,miamalkova,Mia Malkova,Cinema & Actors/actresses,11100000,India,200100,271200,,Entertainment,
803,rafakalimann,Rafa Kalimann,Modeling,23100000,Brazil,75100,134900,,Beauty/Fashion,
804,yailinlamasviralreal,Yailin la Mas Viral ♋️🧿,Lifestyle,5700000,United States,382100,547700,,Lifestyle,
805,warriors,Golden State Warriors,Lifestyle,25600000,United States,83900,116300,Sports with a ball,Lifestyle,Sports
806,supercarblondie,Alex - that girl with the Cars,Cars & Motorbikes,10900000,India,173400,274800,,Lifestyle,
807,hm_son7,Son HeungMin(손흥민)🇰🇷,Sports with a ball,7700000,Brazil,241900,393500,,Sports,
808,tarkan,Tarkan,Music,6000000,Turkey,449700,509400,,Music,
809,thiagosilva,Thiago Silva,Sports with a ball,19800000,Brazil,88600,149200,,Sports,
810,dhanushkraja,Dhanush,Cinema & Actors/actresses,5000000,India,465600,602500,,Entertainment,
811,chaelincl,CL,Art/Artists,10300000,Brazil,215000,284400,Fashion,Entertainment,Beauty/Fashion
812,willyrex,Willyrex,Shows,8800000,Spain,285700,338700,,Entertainment,
813,harshasai_,Harsha sai,Shows,3200000,India,820900,935200,,Entertainment,
814,anastasiya_kvitko,AK,Lifestyle,12400000,United States,192800,235900,Modeling,Lifestyle,Beauty/Fashion
815,marimaria,Mari Maria,Beauty,20200000,Brazil,74900,144100,,Beauty/Fashion,
816,yg_treasure_official,TREASURE (트레저),Music,5700000,Indonesia,409200,523000,,Music,
817,jaydacheaves,JAYDA,Clothing & Outfits,7700000,United States,129200,383100,,Beauty/Fashion,
