rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
131,kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,26100000,India,915000,1100000,,Entertainment,
132,henrycavill,Henry Cavill,Cinema & Actors/actresses,21800000,Brazil,1100000,1400000,,Entertainment,
133,rosalia.vt,LA ROSALÍA,Music,22200000,Spain,981900,1300000,,Music,
134,hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,23200000,India,980300,1200000,,Sports,
135,ronaldinho,Ronaldo de Assis Moreira,Sports with a ball,68000000,Brazil,236900,412100,,Sports,
136,davidbeckham,David Beckham,Family,75300000,India,281400,361200,Sports with a ball,Lifestyle,Sports
137,sydney_sweeney,Sydney Sweeney,Lifestyle,14300000,United States,994800,1900000,Cinema & Actors/actresses,Lifestyle,Entertainment
138,sergioramos,Sergio Ramos,Sports with a ball,53300000,Spain,325300,498600,,Sports,
139,alexademie,,Music,11500000,United States,1300000,2300000,,Music,
140,hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,9700000,Indonesia,2000000,2800000,,Entertainment,
141,thenameisyash,Yash,Cinema & Actors/actresses,11300000,India,2000000,2300000,,Entertainment,
142,thedeverakonda,Vijay Deverakonda,Cinema & Actors/actresses,17500000,India,1300000,1500000,,Entertainment,
143,jamesrodriguez10,James Rodríguez,Sports with a ball,50000000,Colombia,346200,526400,,Sports,
144,shakira,Shakira,Music,76200000,India,250800,343300,,Music,
145,deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,69100000,India,285700,372700,,Entertainment,
146,hegdepooja,Pooja Hegde,Cinema & Actors/actresses,21400000,India,1000000,1200000,,Entertainment,
147,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,Shows,24100000,India,738400,1000000,Lifestyle,Entertainment,Lifestyle
148,bizarrap,BZRP,Music,15100000,Argentina,1300000,1600000,,Music,
149,norafatehi,Nora Fatehi,Cinema & Actors/actresses,42200000,India,473500,582700,Music,Entertainment,Music
150,manchesterunited,Manchester United,Sports with a ball,60700000,United Kingdom,251400,402200,,Sports,
151,sabrinacarpenter,Sabrina Carpenter,Music,27700000,Brazil,710000,871400,,Music,
152,hazardeden_10,Eden Hazard,Sports with a ball,27200000,Spain,550300,887100,,Sports,
153,lewishamilton,Lewis Hamilton,Racing Sports,29800000,Brazil,557400,799600,,Sports,
154,urvashirautela,Urvashi Rautela,Cinema & Actors/actresses,56500000,India,356000,420500,,Entertainment,
155,emmachamberlain,emma chamberlain,Lifestyle,16100000,United States,948900,1500000,Shows,Lifestyle,Entertainment
156,katyperry,KATY PERRY,Music,172700000,Brazil,106500,137700,,Music,
157,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),Lifestyle,11200000,India,1800000,2200000,,Lifestyle,
158,saraalikhan95,Sara Ali Khan,Cinema & Actors/actresses,41100000,India,465400,567900,,Entertainment,
159,luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,32500000,Mexico,543000,717500,Clothing & Outfits,Entertainment,Beauty/Fashion
160,shahidkapoor,Shahid Kapoor,Cinema & Actors/actresses,35700000,India,572300,648300,,Entertainment,
161,paulpogba,Paul Labile Pogba,Sports with a ball,55400000,Brazil,231400,412400,,Sports,
162,casemiro,Casemiro,Sports with a ball,17500000,Brazil,870700,1300000,,Sports,
163,emrata,Emily Ratajkowski,Modeling,29400000,United States,482200,769700,,Beauty/Fashion,
164,imhyoseop,안효섭,Lifestyle,9000000,Indonesia,2200000,2500000,,Lifestyle,
165,hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,43900000,India,406600,514900,,Entertainment,
166,jichangwook,지창욱,Cinema & Actors/actresses,21400000,Indonesia,828300,1100000,,Entertainment,
167,camimendes,camila mendes,Cinema & Actors/actresses,26900000,Brazil,594800,824300,,Entertainment,
168,na.jaemin0813,JAEMIN,,10100000,Indonesia,1800000,2200000,,,
169,seonho__kim,김선호,,8200000,Indonesia,2200000,2800000,,,
170,zkdlin,KAI,Music,14200000,Indonesia,1300000,1600000,,Music,
171,lanarhoades,Lana Rhoades,Lifestyle,16600000,United States,802800,1300000,Modeling,Lifestyle,Beauty/Fashion
172,iambeckyg,Becky G,Music,33600000,Mexico,530100,638900,,Music,
173,kiaraaliaadvani,KIARA,Cinema & Actors/actresses,25100000,India,754000,855500,,Entertainment,
174,varundvn,VarunDhawan,Cinema & Actors/actresses,44300000,India,395400,481700,,Entertainment,
175,akshaykumar,Akshay Kumar,Cinema & Actors/actresses,63300000,India,281500,334600,,Entertainment,
176,leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,14800000,Indonesia,1100000,1400000,,Entertainment,
177,anitta,Anitta 🎤,Music,63300000,Brazil,173300,324600,,Music,
178,strangerthingstv,Stranger Things Netflix,Cinema & Actors/actresses,22600000,Brazil,662500,886600,Shows,Entertainment,Entertainment
179,loganpaul,Logan Paul,Fitness & Gym,23900000,United States,625000,833400,,Sports,
180,jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,44500000,India,361300,440200,,Entertainment,
181,domelipa,domelipa,Lifestyle,19900000,Mexico,800000,974600,,Lifestyle,
182,bambam1a,BamBam,Music,16800000,Brazil,925800,1200000,,Music,
183,daddyyankee,Daddy Yankee,Music,45900000,Argentina,303300,423400,,Music,
