rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.1%,ریاستہائے متحدہ,,11.3M,youtube,czechia,False,2024,NA,NA,
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,کینیڈا,سفر,11.2M,youtube,czechia,False,2024,Lifestyle,MAPPED,travel
70,Shakira @UCYLNGLIzMhRTi6ZOLjAPSmw,37.1M,-,,,11.1M,youtube,czechia,False,2024,NA,NA,
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,youtube,czechia,False,2024,NA,NA,
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,ریاستہائے متحدہ,موسیقی,11.1M,youtube,czechia,False,2024,Music,MAPPED,music
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,متحدہ عرب امارات,,10.8M,youtube,czechia,False,2024,NA,NA,
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,تھائی لینڈ,,10.8M,youtube,czechia,False,2024,NA,NA,
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,متحدہ عرب امارات,,10.7M,youtube,czechia,False,2024,NA,NA,
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,بھارت,,10.7M,youtube,czechia,False,2024,NA,NA,
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,youtube,czechia,False,2024,NA,NA,
78,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.4%,پیورٹو ریکو,مشہور شخصیت موسیقی,10.6M,youtube,czechia,False,2024,UNMAPPED,UNMAPPED,مشہور شخصیت موسیقی
79,YouTube @youtube.com,35.1M,-,ریاستہائے متحدہ,,10.5M,youtube,czechia,False,2024,NA,NA,
80,Masha and The Bear @UCu59yAFE8fM0sVNTipR4edw,35.1M,-,ریاستہائے متحدہ,,10.5M,youtube,czechia,False,2024,NA,NA,
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.2%,,,10.4M,youtube,czechia,False,2024,NA,NA,
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.2%,,,10.4M,youtube,czechia,False,2024,NA,NA,
83,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,برازیل,,10.1M,youtube,czechia,False,2024,NA,NA,
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,بھارت,,10.1M,youtube,czechia,False,2024,NA,NA,
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,بھارت,ویڈیو گیمنگ,10.1M,youtube,czechia,False,2024,Tech&Gaming,MAPPED,Video gaming
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,کولمبیا,,10.1M,youtube,czechia,False,2024,NA,NA,
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,بھارت,,10.1M,youtube,czechia,False,2024,NA,NA,
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,youtube,czechia,False,2024,NA,NA,
89,Markiplier @UC7_YxT-KID8kRbqZo7MyscQ,33.5M,0.4%,ریاستہائے متحدہ,,10.1M,youtube,czechia,False,2024,NA,NA,
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,بھارت,,9.9M,youtube,czechia,False,2024,NA,NA,
91,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,متحدہ عہدگی خصوصیں,موسیقی,9.9M,youtube,czechia,False,2024,Music,MAPPED,music
92,Geet MP3 @UClZF7OsrECe3t_ADrjZEh_Q,32.7M,-,,موسیقی,9.8M,youtube,czechia,False,2024,Music,MAPPED,music
93,Ryan's World @UChGJGhZ9SOOHvBB0Y4DOO_w,32.7M,-,,موسیقی,9.8M,youtube,czechia,False,2024,Music,MAPPED,music
94,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,بھارت,,9.8M,youtube,czechia,False,2024,NA,NA,
95,Sony PAL @UCw7xjxzbMwgBSmbeYwqYRMg,32.6M,-,,,9.8M,youtube,czechia,False,2024,NA,NA,
96,Like Nastya ESP @UCpEJRZdSpdVZ8vh63T9I2KQ,32.5M,-,,,9.8M,youtube,czechia,False,2024,NA,NA,
97,La Granja de Zenón @UCwpcLKMwiuPg4aqImpGk6Ew,32.3M,-,ارجنٹینا,,9.7M,youtube,czechia,False,2024,NA,NA,
98,Alfredo Larin @alfredolarin,32.3M,-,ال سلوادور,,9.7M,youtube,czechia,False,2024,NA,NA,
99,Mikecrack @UCqJ5zFEED1hWs0KNQCQuYdQ,32.2M,0.6%,سپین,,9.7M,youtube,czechia,False,2024,NA,NA,
100,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,بھارت,,9.6M,youtube,czechia,False,2024,NA,NA,
