rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
51,Imran Shaikh @imranintou,347.6K,4.57%,Denmark,Beauty and Self Care Education Styling Hair Salons,104.3K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
52,Jeanette @_jeanettemadsen_,346.6K,0.28%,Denmark,Fashion and Accessories Arts and Crafts DIY and Life Hacks Styling,104K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
53,Frederikke Wærens - Food & Cake inspiration @frederikkewaerens,346.2K,0.48%,Denmark,Food and Drink Food Recipes Ice Hockey,103.9K,instagram,denmark,False,2024,Lifestyle,MAPPED
54,Rap Galsen Officiel🇸🇳 @rap.galsen,340.4K,0.09%,Denmark,Entertainment and Music News Singer Music,102.1K,instagram,denmark,False,2024,Knowledge&Info,MAPPED
55,Anders Matthesen @andersandenmatthesen,338.1K,0.55%,Denmark,Entertainment and Music Design Interior Design,101.4K,instagram,denmark,False,2024,Music,MAPPED
56,Oliver Svejstrup Brynnum @oliverbrynnum,337K,4.79%,Denmark,,101.1K,instagram,denmark,False,2024,NA,NA
57,Cecilie Moosgaard Nielsen @ceciliemoosgaard,332.9K,1.76%,Denmark,Fashion and Accessories Modeling,99.9K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
58,Hella Ben R. @thehellabr,330.1K,1.68%,Denmark,Entertainment and Music Business,99K,instagram,denmark,False,2024,Knowledge&Info,MAPPED
59,Nordic Chefs 🇩🇰🇸🇪🇳🇴🇫🇮🇫🇴 @nordic_chefs,310.3K,0.37%,Denmark,Food Product Education Product Showcase Food and Drink,93.1K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
60,Carina Melissa @mrscarlissa,309.6K,0.08%,Denmark,Home and Garden Parenting Design Interior Design,92.9K,instagram,denmark,False,2024,Lifestyle,MAPPED
61,JULIA SOFIA AASTRUP @juliasofiaaastrup,298.9K,0.98%,Denmark,Business and Finance Design Interior Design Celebrities,89.7K,instagram,denmark,False,2024,Knowledge&Info,MAPPED
62,Cecilie Haugaard @cillemouse,296.8K,4.11%,Denmark,Funny Pets News Modeling,89K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
63,Rasmus Brohave @rasmusbrohave,293.7K,1.9%,Denmark,Video Blogger Design Interior Design Fashion,88.1K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
64,𝐌𝐚𝐫𝐭𝐢𝐧 𝐕𝐞𝐭𝐡 @northern_woodsmen,293.1K,0.41%,Denmark,Nature Outdoor Activity,87.9K,instagram,denmark,False,2024,Sports,MAPPED
65,CATHRINE LAUDRUP-DUFOUR @cathrinedufour,292.5K,5.11%,Denmark,Animals Sports Personal Finance Coaching,87.8K,instagram,denmark,False,2024,Sports,MAPPED
66,Johan Sundstein @og_n0tail,292K,3.2%,Denmark,Sports,87.6K,instagram,denmark,False,2024,Sports,MAPPED
67,Anna Astrup @annaastrup,289.9K,6.57%,Denmark,Fashion and Accessories Modeling Design,87K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
68,Sally Javadi 🌙 سالی @sallyssneakers,280.9K,0.78%,Denmark,Fashion and Accessories,84.3K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
69,Kamilla Tolnø @k.tolnoe,280.7K,2.02%,Denmark,Arts and Crafts,84.2K,instagram,denmark,False,2024,Lifestyle,MAPPED
70,Andre Tan @andre_tan_official,277.1K,1.77%,Denmark,Fashion and Accessories Plus Size Modeling,83.1K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
71,Signe Bay @signebay,276.3K,0.47%,Denmark,Photography Food Design Architecture,82.9K,instagram,denmark,False,2024,Lifestyle,MAPPED
72,Brian @zookeeperguy,271K,4.07%,Denmark,Animals,81.3K,instagram,denmark,False,2024,Lifestyle,MAPPED
73,ArtPeople @artpeople_gallery,263.7K,0.08%,Denmark,,79.1K,instagram,denmark,False,2024,NA,NA
74,JULIE HOCKE @juliehocke,259.8K,7.41%,Denmark,Fashion and Accessories,78K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
75,Amalie Szigethy✔ @amalieszigethyprivat,250K,1.1%,Denmark,family,75K,instagram,denmark,False,2024,Lifestyle,MAPPED
76,Sofie Linde @lindes_hus,247.4K,5.2%,Denmark,family Home and Garden Pets,74.2K,instagram,denmark,False,2024,Lifestyle,MAPPED
77,Nikolaj Stokholm @nikolajstokholm,246K,3.29%,Denmark,Entertainment and Music News Design Interior Design,73.8K,instagram,denmark,False,2024,Knowledge&Info,MAPPED
78,anas akchen @anas__copenhagen,244.4K,14.37%,Denmark,Fashion and Accessories,73.3K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
79,𝐒𝐈𝐃𝐒𝐄𝐋 𝐁𝐎𝐘𝐄 𝐑𝐀𝐒𝐌𝐔𝐒𝐒𝐄𝐍 @sidselrasmussen,239.5K,0.4%,Denmark,Fashion and Accessories Modeling,71.8K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
80,MASCHA VANG @maschavang,238.5K,2.29%,Denmark,Fashion and Accessories Design Interior Design,71.5K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
81,Ruben Søltoft @rubenmedu,232.7K,5.9%,Denmark,Entertainment and Music Design Interior Design,69.8K,instagram,denmark,False,2024,Music,MAPPED
82,Laila Hasanovic🦂 @lailahasanovic,231.6K,12.62%,Denmark,Entertainment and Music Modeling Lifestyle,69.5K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
83,✧ 𝕿𝖆𝖙𝖙𝖔𝖔 𝖆𝖗𝖙𝖎𝖘𝖙 ✧ @kingaewelina_ink,229.2K,4.79%,Denmark,Arts and Crafts DIY and Life Hacks Fashion and Accessories Piercing,68.8K,instagram,denmark,False,2024,Beauty&Fashion,MAPPED
