rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
75,貝拉醬Bella,12900,0.6,Afghanistan,,3900,,@UCn5iCeeF4nMECDobXb3kFbQ
76,iGunvicted,12600,,Afghanistan,,3800,,@UC6MamwO1MDhVfyeb01XOg5w
77,Kamsan Arom,12400,,Afghanistan,,3700,,@UCKgPS2K6xmsRLIe2w-9iQHg
78,Zulfan tube,12300,0.1,Afghanistan,,3700,,@UCgpxqCBKVSaTlk4MwL7z-pA
79,૯υՆ૯Ոςƿɿ૯૭૯Ն,12300,,Afghanistan,,3700,,@UCZN1eMcGegUw4V3tJ2uHAxQ
80,Criadouro Buriti,12000,,Afghanistan,,3600,,@UCqqYf0hdFIDuXpcrACz6EPg
81,shahram hashemi,11500,0.1,Afghanistan,,3500,,@UCtajG3ubRg58fmkJ_FWZg2Q
82,Farhad Ghafoor,11400,3.0,Afghanistan,,3400,,@UC1sjfTwyZHjhwh6oSF5Etjg
83,꧁༒☬gobinda masih☬༒꧂,11200,,Afghanistan,,3400,,@UCmzGjQcXRzNA3XcXYdDwEtA
84,XxDEATH_LORDxX,10900,80.1,Afghanistan,,3300,,@UCgVHrc1nvk7qF8qp-t-hxJg
85,saren music market,10600,,Afghanistan,,3200,,@UCFzMmvIcgZlyol3SfFofeYQ
86,O que será de novo hoje ! Brinquedos resenhas vlogs,10600,,Afghanistan,,3200,,@UCLjz_XFniaSx1VhP5UObj_w
87,San wel,10400,,Afghanistan,,3100,,@UC3tsD0Zwajp5siNVqwupdvQ
88,Turbo Tractors,10400,,Afghanistan,,3100,,@UCtchLlRh5FCP3nEKFHB4JjQ
89,RDX BOYZ MANIKA,10300,0.3,Afghanistan,,3100,,@UCLCpibvImQdJu68rMmRw-gA
90,Dr. Abdullah Abdullah,10200,,Afghanistan,,3100,,@UCYr6qIfnEVYDTKfUTMDmRSg
91,Shaheen Naikpay,10000,,Afghanistan,,3000,,@UC515LyLO1mkor_qylBt_uyQ
92,Torialai Waziry,9800,,Afghanistan,,2900,,@UCVqiXwXu3vxocfUJlX1qRgw
93,Dirt Zalgo,9700,,Afghanistan,,2900,,@UCCVulaGbHLaPJ_dyV7vF0rw
94,Real Creators,9300,0.2,Afghanistan,,2800,,@UCPZ2Ssb2d8kxwaWBYSie6cQ
95,SOMBO BMC,9200,,Afghanistan,,2800,,@UCVi29qCql-2Dl_6xdjz_trQ
96,Fox Carp Fishing TV CZ&SK,9200,0.3,Afghanistan,,2700,,@UCl22B1DgtxuKusXmd5PyyUA
97,Mudasir Zamani,9100,,Afghanistan,,2700,,@UC2Sr4O0Gm1dUn3f3K6dBmbw
98,Cragsman,9100,,Afghanistan,,2700,,@UCxbZoIuCIud_n1pZgZiSL4w
99,Angkor Mala,8700,,Afghanistan,,2600,,@UCEjddKViPwdCLoeg49wrDPw
100,sanoorg,8600,0.1,Afghanistan,,2600,,@UCOdbFr8_L4Ynf94oNbyGKGQ
1,La Granja de Zenón,32300000,,Argentina,,9700000,,@UCwpcLKMwiuPg4aqImpGk6Ew
2,TheDonato,26800000,,Argentina,,8000000,,@UCaHEdZtk6k7SVP-umnzifmQ
3,DrossRotzank,22500000,0.5,Argentina,,6800000,,@UCNYW2vfGrUE6R5mIJYzkRyQ
4,Paulo Londra,22000000,,Argentina,,6600000,,@UCzI7wZyqk7jpXWT_MILjepw
5,Disney Latinoamérica,20400000,,Argentina,,6100000,,@UCq3zaHCaZtb3TtNwwz0PK2w
6,RobleisIUTU,17500000,,Argentina,,5300000,,@UCG8eSYvOQUpb9HM8zU5d6xg
7,Alejo Igoa,17200000,0.5,Argentina,,5200000,,@UCZs0WwC0Dn_noiQE2BHSTKg
8,El Reino a Jugar,16200000,,Argentina,,4900000,,@UCsm77kEHBDEPgD4Ir3jSRYg
9,Bizarrap,16000000,27.3,Argentina,,4800000,,@UCmS75G-98QihSusY7NfCZtw
10,Plim Plim - Kids Songs & Episodes - Spanish,15900000,,Argentina,,4800000,,@UCYQo8CdhXD22qfwUBUw591Q
11,Lyna,13500000,0.2,Argentina,,4100000,,@UC-cnbLlplnXA4oc7rR21qzg
12,Yao Cabrera,8900000,,Argentina,,2700000,,@UCu4mAgni85Q6uIGIAJ1-Feg
13,TINI,7600000,4.0,Argentina,,2300000,,@UCJusEPcWIH9EyYSCqGP-1ew
14,Te lo resumo,6800000,1.5,Argentina,Video Gaming,2100000,Tech/Gaming,@UCw7Bz6EHxlnOoBUBlJZCWCw
15,YAO,6700000,,Argentina,,2000000,,@UCaUKfGWDNnZ5wWCogMshVrQ
16,MUEVA Records,5800000,0.5,Argentina,,1700000,,@UC9YImk7k5T4_LNMnOjiXNzw
17,El Reino Series,5700000,,Argentina,,1700000,,@UC4shzxpZgQeg_8-l-PJetJQ
18,Discovery Kids,5600000,,Argentina,,1700000,,@UC9PIfDp0yx6QRTMVMltMZyA
19,Trueno Oficial,5600000,2.4,Argentina,,1700000,,@UCR8xLrhLmZoMirYnjj4zEWg
20,Canciones Infantiles - LooLoo,5500000,,Argentina,,1600000,,@UC5WwPdvAHvdS1ZK_v6AE90A
21,VIRAL,5400000,,Argentina,,1600000,,@UCMx33fISkv8CqxfMIFuj9OA
22,Incognita,5400000,,Argentina,,1600000,,@UCef_WCjyolnGwRZEReZv7Rw
23,LIT killah,5400000,4.1,Argentina,,1600000,,@UCExVswmCLmkkoBkjBp3Ta9Q
24,Dread Mar I - Oficial,5200000,,Argentina,,1600000,,@UCXc3ye1CUoy2roNeZZB_rNA
25,Lucas Castel :D,5100000,,Argentina,,1500000,,@UCR_Te2bbmsrqvYlAmkgA2sA
26,Spreen,5100000,1.8,Argentina,,1500000,,@UCgTOIiEgjm58xLjHvDjmgdA
27,Lyna Vlogs,5000000,,Argentina,,1500000,,@UCRtkuS3Wz0hYgfJjpvEEP4Q
28,Discovery Home & Health,5000000,,Argentina,,1500000,,@UC8El-KamqNxKQg-r15BmIxw
29,Ian Lucas,5000000,,Argentina,,1500000,,@UCmzDf_a7CCFuxos7hspcWRQ
30,kevsho,4800000,,Argentina,,1400000,,@UC3u9cz8QzN-Qft0TRxVGfkQ
31,KHEA,4800000,4.1,Argentina,,1400000,,@UCLbGdCqw-hfCrWlqRwOM2-Q
32,ThiagoIUTU,4700000,0.2,Argentina,,1400000,,@UCa3jp09F9qG4SaHIeHEdcKA
33,Coscu,4600000,0.3,Argentina,,1400000,,@UCvZ0P9-EmGz6SFUuFiZPXKw
34,PedritoVM,4500000,,Argentina,,1300000,,@UCBABwcl4rEOUlX9MAWw9jIw
35,WOS DS3,4400000,5.9,Argentina,,1300000,,@UCzY1-NKVNDA4UpE4MmTq0eg
