rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
49,K I R Λ F I N,1100000,,Turkey,,330000,,@kirafin_
50,Serkan,1100000,,Turkey,Entertainment and Music,330000,Music,@serkanhk
51,AZAT KIZILTEPE,1100000,0.1,Turkey,,330000,,@azatkzltp
52,Ayna Jumayeva,1100000,,Turkey,Beauty and Self Care,330000,Beauty/Fashion,@aynasofficial
53,Eda Göçmen,1100000,,Turkey,Education Upskilling,330000,Info/Business,@edagocmennn1
54,YT: ARUUU,1100000,,Turkey,Auto and Vehicles,330000,Lifestyle,@deputyaruuu
55,Bıyıklı Reis,1100000,,Turkey,,330000,,@biyiklireis_
56,sarem,1100000,,Turkey,,330000,,@saremuysal
57,İpekdorukoglu,1000000,,Turkey,,300000,,@ipekdorukoglu
58,Hasan Yalçuva,999900,,Turkey,,300000,,@hasanyalcuva
59,👑zühtü can dağlar👑,992200,,Turkey,,297700,,@esmeer.x
60,نبأ شمسي,986000,,Turkey,Beauty,295800,Beauty/Fashion,@nabo98
61,merveuyanik,980500,,Turkey,,294200,,@merveuyanikonline
62,🕊️𝐍𝐀𝐃İ𝐑 𝐇𝐀𝐒𝐀𝐍🕊️,978600,,Turkey,,293600,,@nadir_hasan
63,Vuk&Aleksandra,976900,,Turkey,Fashion and Accessories,293100,Beauty/Fashion,@vukaleksandra
64,muhnad kh,975500,,Turkey,,292700,,@muhnad.kh
65,Thatsmarwaa,974300,,Turkey,,292300,,@thatsmarwaa
66,ATESBEY,973000,,Turkey,,291900,,@atesbeyresmi
67,Ömer Karakeçi,972800,,Turkey,,291800,,@omerkarakeci
68,Ecenaz Üçer,971300,,Turkey,,291400,,@ecenazucer
69,🌸,970100,,Turkey,,291000,,@skinbyelik
70,İrem Pekür,968400,,Turkey,,290500,,@irempkrr
71,ℍ𝕖𝕝𝕚𝕩𝕠,968000,,Turkey,,290400,,@toxic_helixo
72,Taha ERDOĞAN,965700,0.2,Turkey,,289700,,@tahaerdogaan
73,leylaa_gunay,965000,,Turkey,,289500,,@leylaa_gunay
74,özge,963100,,Turkey,,288900,,@piisicik
75,Mahmoudkaya,960100,,Turkey,,288000,,@kaysokayas
76,🥀,954800,,Turkey,,286400,,@pupilla2
77,🦄ELIF BAYRAK🦄,953800,,Turkey,Acting and Drama,286100,Entertainment,@eliifbayrak
78,Aziza,953800,,Turkey,,286100,,@mynameisaziza
79,Mini Atölyem,949800,0.1,Turkey,,284900,,@mini.atolyemm
80,ÇAPANOĞLU,946700,,Turkey,,284000,,@turker_capanoglu
81,ABDULKADIR_FETTAL,942700,,Turkey,,282800,,@kikakiim_k2
82,ASHLY🦋,941900,0.1,Turkey,,282600,,@pubg.ashly
83,ALEYNA & EMİRHAN,937400,0.3,Turkey,Entertainment and Music,281200,Music,@alynemrhn
84,Aydın Erol,934200,,Turkey,Home and Garden,280300,Lifestyle,@erol_emlak_
85,Sefa Kındır,934200,0.1,Turkey,,280300,,@sefakindirtr
86,Petrocetin,931600,,Turkey,,279500,,@petrocetin
87,Onur Topuzlar,930800,,Turkey,,279200,,@future_onur
88,aslikaya,929600,,Turkey,,278900,,@aslikaya
89,DERYA KIYMAZ,928900,,Turkey,Beauty,278700,Beauty/Fashion,@deryakymz14
90,Hüseyn İsmayılov 🇦🇿,927000,,Turkey,,278100,,@dt_ismayilov_
91,ghofran riad,926600,0.1,Turkey,,278000,,@foofamarka
92,Sevilay algül,926500,,Turkey,,278000,,@sevilayalgull
93,عبدالله الأزهر👑✅,925900,,Turkey,,277800,,@abdullahalazhr
94,Bora Cenk,923600,,Turkey,,277100,,@boracenk01
95,Berke Abraş,917600,,Turkey,Entertainment and Music,275300,Music,@berkeabras
96,MinnieMouse_toota,914400,,Turkey,Fashion Beauty,274300,Beauty/Fashion,@shirin_bahman
97,Baran Özbay,913000,0.1,Turkey,,273900,,@baranjre
98,SİLAA,910200,,Turkey,Entertainment and Music,273100,Music,@silagnay
99,TalhaB,909500,0.2,Turkey,,272900,,@talhabatdal
100,Muhammed & Malika,903300,,Turkey,Entertainment and Music,271000,Music,@muhammedmalika
1,❣️Sky & Tami❣️,14800000,,Ukraine,,4400000,,@skyandtami
2,nnotochka,6300000,,Ukraine,Beauty and Self Care,1900000,Beauty/Fashion,@nnotochka
3,Elis Stone,4600000,,Ukraine,Entertainment and Music,1400000,Music,@elis.stone
4,RepNickTV,4500000,,Ukraine,,1400000,,@repnicktv
5,😇EGOR🧲,4400000,,Ukraine,,1300000,,@malibash
6,milomanheim,3900000,0.1,Ukraine,,1200000,,@milomanheim
7,Миша Городецкий,3800000,0.3,Ukraine,,1100000,,@mishayoung
8,Sasha,3700000,,Ukraine,,1100000,,@hava.off
9,HUSMUT,3600000,,Ukraine,,1100000,,@husmut
10,ДЮХА?!🧬,3200000,,Ukraine,,960000,,@dux.a_
11,Лера,2900000,,Ukraine,,870000,,@le_peshka
12,ASMR💓 FUN 💓UKRAINE💓,2900000,,Ukraine,,870000,,@likapikka
13,Mv Ryhan,2900000,,Ukraine,,870000,,@mvryhan
14,WINNI🇺🇦,2700000,,Ukraine,Romance and Wedding,810000,Lifestyle,@winnidesigns
15,Анна Тринчер,2400000,,Ukraine,Entertainment and Music,720000,Music,@annatrincher
16,BabyBunny,2300000,0.1,Ukraine,Pets,690000,Lifestyle,@babybunny22
17,Волошин Александр,2100000,,Ukraine,,630000,,@voloshyn_97
18,Yan Luiko,2000000,0.1,Ukraine,Games,600000,Tech/Gaming,@llluiko
19,Ваня Дмитриенко,1900000,,Ukraine,Entertainment and Music,570000,Music,@vanya_dmitrienkoo
20,Demian Volkov 🇺🇦,1900000,,Ukraine,,570000,,@demianvolkov
21,ЛиЗкА ШуЛьГа🤪,1600000,,Ukraine,,480000,,@lizaa.meli
22,SLAVA UKRAINI,1500000,,Ukraine,,450000,,@useyourfingerss
23,Игорь Моряк,1400000,,Ukraine,Finance,420000,Info/Business,@rybakov_igor
24,Андрій Кулик,1200000,,Ukraine,,360000,,@galin.andriy
25,Марина Дорн,1100000,0.7,Ukraine,,330000,,@marina.dorn
26,Денис Turbik,1100000,,Ukraine,,330000,,@turbik_
27,Снежана Винниченко,1100000,,Ukraine,,330000,,@snegga_vinni
28,eva,1100000,,Ukraine,,330000,,@evadubovitskayaa
29,YarikPaw,1100000,5.0,Ukraine,,330000,,@theyarikpaw
30,a.samarcev,1100000,0.1,Ukraine,,330000,,@a.samarcev
31,Кристина Рожкова 🇺🇦,1100000,,Ukraine,,330000,,@chrismee_ro
32,🦩IKSTINA🦩,1100000,,Ukraine,,330000,,@ikstina
33,olya_pobigailo,1000000,,Ukraine,,300000,,@olya_pobigailo
34,Daria Mayorova,1000000,,Ukraine,Fashion and Accessories,300000,Beauty/Fashion,@dashatm19_
