rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
429,jack_papho69,แจ็ก แปปโฮ,6.7M,3.3M,313.1K,2.3K,964,tiktok,june,2022
430,jackgrealish,Jack Grealish,3M,2M,256K,4.5K,1.7K,tiktok,june,2022
431,jacobday,jacob day,3.7M,1.2M,193.1K,3.4K,1.2K,tiktok,june,2022
432,jadepicon,JADE PICON 🌪,8.1M,2.8M,342.7K,1.8K,843,tiktok,june,2022
433,jaimeonod,Telma,1.5M,2M,319.5K,3.2K,1.3K,tiktok,june,2022
434,jakeandrich,Jake Andrich / Jakipz,12M,2.6M,241.8K,2.5K,3.3K,tiktok,june,2022
435,jakeandrich,Jake Andrich / Jakipz,12.5M,1.8M,184.3K,2K,2.7K,tiktok,june,2022
436,jakemaldonado,Jake Maldonado,6.5M,1.7M,324.1K,659,2.7K,tiktok,june,2022
437,jakepaul,Jake Paul,16.5M,3.1M,354.9K,2.8K,1K,tiktok,june,2022
438,jamescharles,James Charles,36.2M,3.1M,344.6K,1.6K,631,tiktok,june,2022
439,janeydm,รัชนก สุวรรณเกตุ,14.3M,2.6M,305.1K,1.3K,381,tiktok,june,2022
440,jaxwritessongs,Jax,9.5M,2.4M,346.5K,3.1K,2.2K,tiktok,june,2022
441,jaykindafunny8,Jaykindafunny,23.9M,5.8M,426K,3.3K,4.6K,tiktok,june,2022
442,jaynie.dizire,Jaynie🧎🏽‍♀️,19.1K,1.2M,193.5K,3.2K,2K,tiktok,june,2022
443,jayrscottyy,CHESTA,2.7M,2.5M,333.2K,3.4K,1.9K,tiktok,june,2022
444,jdiasss_,João Dias,7.4M,2.8M,610.5K,5.6K,4.9K,tiktok,june,2022
445,jdpantoja,JD Pantoja,28.8M,4.1M,658.3K,8K,1K,tiktok,june,2022
446,jefripradewa,𝗝𝗘𝗙𝗥𝗜 𝗣𝗥𝗔𝗗𝗘𝗪𝗔,226.2K,1.6M,178.8K,3K,10.7K,tiktok,june,2022
447,jellybeannotvince,cutejellybean,542.7K,2.7M,352.2K,2.8K,6.9K,tiktok,june,2022
448,jennifergarner,Jen Garner,2.5M,2M,326.4K,1.6K,1K,tiktok,june,2022
449,jessnolimit999,Jess No Limit,6.2M,17M,1.7M,24.2K,11.5K,tiktok,june,2022
450,jesusortizpaz,Jesusortizpaz,1.7M,1.8M,207.5K,1.2K,832,tiktok,june,2022
451,jezzzini,jezzini,1.7M,1.4M,419K,1.6K,6.2K,tiktok,june,2022
452,jhothsa,jhothsa,13.3M,1.1M,189.8K,960,2.6K,tiktok,june,2022
453,jimena.jimenezr,Jimena,23.5M,3.7M,577.5K,962,2K,tiktok,june,2022
454,jimmydarts,Jimmy Darts,8.6M,2.2M,360.3K,3.5K,492,tiktok,june,2022
455,jjeverettrose,Jake Joseph Everett-Rose,3.2M,2.2M,345.8K,775,575,tiktok,june,2022
456,jmartineze_,josi,22.2M,2.4M,377.7K,1.8K,2.5K,tiktok,june,2022
457,joaoferdnan,João Ferdnan,7.7M,919.7K,143.3K,2.5K,4K,tiktok,june,2022
458,joe.bartolozzi,Joe Bartolozzi,18.8M,1.9M,338.8K,2.3K,552,tiktok,june,2022
459,joelsvnny,Joel Sunny,1.1M,897.8K,203.8K,2.7K,1.7K,tiktok,june,2022
460,joerauth_,Joe rauth,5.4M,1.9M,319.4K,1.2K,1.9K,tiktok,june,2022
461,joesantagato,Joe Santagato,1.5M,1.5M,175.5K,2.4K,2.5K,tiktok,june,2022
462,joeyvalence,Joey Valence,717.8K,2.8M,559.6K,1.1K,705,tiktok,june,2022
463,johnnyy.ed,johnnyy.ed,1.7M,1.2M,173.1K,1.2K,3.3K,tiktok,june,2022
464,jonata_26,Jonata🤩,5.1M,2.5M,415.5K,1.1K,1.5K,tiktok,june,2022
465,jonata_26,Jonata🤩,5.2M,2.3M,377.9K,999,1.3K,tiktok,june,2022
466,joshanglooo,josh anglo,670.9K,1M,315.1K,1.6K,1.9K,tiktok,june,2022
467,joshrichards,Josh Richards,25.6M,2.9M,275.5K,1.3K,682,tiktok,june,2022
468,joslum,José L,12.1M,2.5M,327.3K,1.9K,403,tiktok,june,2022
