rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
21,Kevin Hart,180200000,0.06,United States,Entertainment and Music Comedian Creators & Celebrities,54100000,Music,@kevinhart4real
22,Cardi B,169000000,1.05,United States,Entertainment and Music Singer Hair & Beauty Celebrities,50700000,Music,@iamcardib
23,👑,157700000,0.96,,Sports Basketball,47300000,Sports,@kingjames
24,Demi Lovato,157300000,0.01,United States,Entertainment and Music Singer Songwriting Music,47200000,Music,@ddlovato
25,badgalriri,152600000,0.01,,Music Singer,45800000,Music,@badgalriri
26,Real Madrid C.F.,148100000,0.2,,Entertainment and Music Sports Soccer,44400000,Sports,@realmadrid
27,BROWN,144200000,0.23,,Art Singer Artist,43300000,Music,@chrisbrownofficial
28,champagnepapi,143900000,0.92,,Entertainment and Music Singer Rap,43200000,Music,@champagnepapi
29,Ellen DeGeneres,139600000,0.02,United States,Celebrity TV Shows Comedy Actors,41900000,Entertainment,@ellendegeneres
30,Kylian Mbappé,111700000,2.54,France,Sports Business and Finance Home and Garden Soccer,33500000,Sports,@k.mbappe
31,BILLIE EILISH,110200000,0.03,United States,Art Singer,33100000,Music,@billieeilish
32,Gal Gadot,109200000,0.16,Israel,Entertainment and Music Food Actors Artist,32700000,Music,@gal_gadot
33,Vin Diesel,102800000,0.64,United States,Producers Director Actors,30800000,Entertainment,@vindiesel
34,LISA,102200000,7.02,South Korea,Singer,30700000,Music,@lalalalisa_m
35,Priyanka,90700000,0.72,,Actors Artist Creators & Celebrities,27200000,Entertainment,@priyankachopra
36,Shakira,90500000,0.02,,Music Singer Musician Band,27200000,Music,@shakira
37,DUA LIPA,88700000,1.05,United States,Entertainment and Music Singer Artist,26600000,Music,@dualipa
38,Narendra Modi,87300000,2.23,India,Politics,26200000,Info/Business,@narendramodi
39,David Beckham,87000000,0.64,United Kingdom,Sports Soccer Public Figure,26100000,Sports,@davidbeckham
40,snoopdogg,84700000,0.06,,Entertainment and Music Music Food Chef,25400000,Music,@snoopdogg
41,Shraddha ✶,84200000,1.99,,Beauty and Self Care Celebrity Actors Actor,25200000,Beauty/Fashion,@shraddhakapoor
42,J,84000000,5.14,,Singer,25200000,Music,@jennierubyjane
43,Alia Bhatt 💛,83700000,0.02,India,Acting and Drama Celebrity Actors Actor,25100000,Entertainment,@aliaabhatt
44,Khabane Lame,79700000,1.17,Italy,Entertainment and Music Funny Education Life and Society,23900000,Music,@khaby00
45,Katrina Kaif,79700000,0.87,India,Beauty and Self Care Celebrity Actors Actor,23900000,Beauty/Fashion,@katrinakaif
46,दीपिका पादुकोण,78900000,2.18,India,Entertainment and Music Actors,23700000,Music,@deepikapadukone
47,Gigi Hadid,78600000,1.74,United States,Fashion and Accessories Business and Finance Modeling TV Host,23600000,Beauty/Fashion,@gigihadid
48,JISOO🪐,77700000,4.57,,Art Singer,23300000,Music,@sooyaaa__
49,Neha Kakkar,77700000,0.77,India,Entertainment and Music Singer Musician,23300000,Music,@nehakakkar
50,ROSÉ,76500000,5.26,,Entertainment and Music Singer Artist,23000000,Music,@roses_are_rosie
51,Karim Benzema,76100000,1.42,France,Sports Entertainment and Music Soccer,22800000,Sports,@karimbenzema
52,Ronaldo de Assis Moreira,75800000,0.35,Brazil,Sports Automotive Soccer,22700000,Sports,@ronaldinho
53,Emma Watson,75400000,1.41,United Kingdom,Entertainment and Music Fashion and Accessories Education Celebrity,22600000,Music,@emmawatson
54,Raffi Ahmad and Nagita Slavina,75300000,0.21,Indonesia,Entertainment and Music family Celebrity Marketing and Advertising,22600000,Music,@raffinagita1717
55,BTS official,74400000,2.32,South Korea,Entertainment and Music Music Band Singer,22300000,Music,@bts.bighitofficial
56,Shawn Mendes,73000000,0.03,Brazil,Music Singer Songwriting Musician,21900000,Music,@shawnmendes
57,Justin Timberlake,72500000,0.08,United States,Art Actors Entertainment Songwriting,21800000,Music,@justintimberlake
58,Abel Tesfaye,71800000,1.95,United States,Art Singer Artist,21500000,Music,@theweeknd
59,Urvashi Rautela,70300000,0.34,France,Art Beauty Acting and Drama Beauty and Self Care,21100000,Beauty/Fashion,@urvashirautela
60,Salman Khan,69200000,1.59,India,Entertainment and Music Celebrity Actor,20800000,Music,@beingsalmankhan
61,Akshay Kumar,68300000,0.02,India,Entertainment and Music Celebrity Actors Actor,20500000,Music,@akshaykumar
62,KAROL G,68300000,5.59,Colombia,"Entertainment and Music Humor Film, Music & Books Celebrities",20500000,Music,@karolg
63,Marcelo Vieira,67600000,0.49,Brazil,Sports Soccer,20300000,Sports,@marcelotwelve
64,camila,66500000,1.42,United States,Entertainment and Music Celebrity Singer Music,20000000,Music,@camila_cabello
65,Tom Holland,66500000,4.52,United Kingdom,Entertainment and Music Acting and Drama Actors,19900000,Music,@tomholland2013
66,AnushkaSharma1588,65200000,2.27,,Entertainment and Music Actors Artist,19500000,Music,@anushkasharma
67,Anitta 🎤,65100000,0.6,Brazil,Art Entertainment and Music Music Singer,19500000,Music,@anitta
68,Will Smith,64700000,0.28,United States,Entertainment and Music Producers Hip hop music Artist,19400000,Music,@willsmith
69,V,64700000,18.09,,Art Artist,19400000,Entertainment,@thv
70,Zlatan Ibrahimović,64300000,0.46,Sweden,Fashion and Accessories Auto and Vehicles Soccer,19300000,Sports,@iamzlatanibrahimovic
71,MALUMA,63900000,1.27,Colombia,Entertainment and Music Music Singer,19200000,Music,@maluma
72,Mohamed Salah,63500000,1.37,Egypt,Sports,19000000,Sports,@mosalah
73,Millie Bobby Brown,63300000,0.02,United Kingdom,Celebrity Actors,19000000,Entertainment,@milliebobbybrown
74,Manchester United,63000000,0.37,,Sports Fashion and Accessories Soccer,18900000,Sports,@manchesterunited
75,Sergio Ramos,62800000,1.14,Spain,Sports Soccer,18800000,Sports,@sergioramos
76,Leonardo DiCaprio,62100000,0.2,United States,Entertainment and Music Celebrity Actors Producers,18600000,Music,@leonardodicaprio
77,Zac Efron,62000000,0.02,United States,Actors,18600000,Entertainment,@zacefron
78,Paul Labile Pogba,61100000,0.89,France,Sports,18300000,Sports,@paulpogba
79,disha patani (paatni) 🦋,61000000,0.61,India,Celebrity Actors,18300000,Entertainment,@dishapatani
80,Bella 🦋,60900000,1.83,United States,Technology Modeling Scientist,18300000,Beauty/Fashion,@bellahadid
81,Juventus,60400000,0.2,Italy,Sports Soccer Sports Team Creators & Celebrities,18100000,Sports,@juventus
82,Whindersson Nunes,59700000,1.02,Brazil,Entertainment and Music Funny Celebrity Comedy,17900000,Music,@whinderssonnunes
83,Chris Hemsworth,58500000,1.6,Australia,Actors,17500000,Entertainment,@chrishemsworth
84,Georgina Rodríguez,58100000,0.03,Spain,Books Lifestyle Modeling,17400000,Beauty/Fashion,@georginagio
85,BLΛƆKPIИK,57900000,0.02,,Entertainment and Music Music Band Musician Band,17400000,Music,@blackpinkofficial
86,Paulo Dybala,57600000,2.07,Argentina,Sports Soccer,17300000,Sports,@paulodybala
87,Tata Werneck,57200000,0.02,Brazil,Entertainment and Music Actors Artist,17200000,Music,@tatawerneck
88,Robert Downey Jr.,57200000,0.62,United States,Actors,17100000,Entertainment,@robertdowneyjr
89,Michelle Obama,57100000,0.25,,Books Pets Author Creators & Celebrities,17100000,Lifestyle,@michelleobama
90,Ayu Tingting,56800000,0.02,Indonesia,Beauty and Self Care Celebrity Music Lifestyle,17000000,Music,@ayutingting92
91,Lady Gaga,56400000,0.96,United States,Shopping Music Singer Songwriting,16900000,Music,@ladygaga
92,Wardell Curry,56400000,0.9,United States,Sports Basketball Athlete Creators & Celebrities,16900000,Sports,@stephencurry30
93,Adele,55900000,4.14,United Kingdom,Singer Music,16800000,Music,@adele
94,Prilly Latuconsina,55700000,0.02,Indonesia,Entertainment and Music Fashion and Accessories Celebrity Actors,16700000,Music,@prillylatuconsina96
95,Kriti,55500000,0.87,,Art Modeling Artist,16600000,Beauty/Fashion,@kritisanon
96,Sunny Leone,55300000,0.27,India,Beauty and Self Care Modeling Actors Actor,16600000,Beauty/Fashion,@sunnyleone
97,Burak Özdemir,54600000,0.03,Turkey,Food Music Chef,16400000,Music,@cznburak
98,Larissa Manoela,54300000,0.21,Brazil,Art Acting and Drama Fashion and Accessories Entertainment and Music,16300000,Music,@larissamanoela
99,HUDA BEAUTY,54100000,0.05,United Arab Emirates,Beauty and Self Care Blogger Creators & Celebrities,16200000,Beauty/Fashion,@hudabeauty
100,Nusr_et#Saltbae,54000000,0.16,United States,Food Business and Finance Chef,16200000,Info/Business,@nusr_et
