rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
24,Pinkfong Baby Shark - Kids' Songs & Stories,56900000,,,,17100000,,@UCcdwLMPsaU2ezNSJU1nFoBQ
25,Tips Official,56500000,,India,,17000000,,@UCJrDMFOdv1I2k8n9oK_V21w
26,Marshmello,55800000,,United States,,16700000,,@UCEdvpU2pFRCVqU6yIPyTpMQ
27,Wave Music,55600000,,India,,16700000,,@bhojpuriwave
28,Sony Music India,55300000,,India,,16600000,,@UC56gTxNs4f9xZ7Pa2i5xNzg
29,Aaj Tak,54000000,,India,,16200000,,@UCt4t-jeY85JegMlZ-E5UWtA
30,El Reino Infantil,52900000,,,,15900000,,@UCK1i2UviaXLUNrZlAFpw_jA
31,Ed Sheeran,52300000,,,,15700000,,@UC0C-w0YjGpqDXGB8IHb662A
32,Ariana Grande,52200000,,,,15700000,,@UC9CoOnJkIBMdeijd9qYoT_g
33,EminemMusic,51700000,1.0,,,15500000,,@UCfM3zsQsOnfWNUppiycmBuw
34,T-Series Bhakti Sagar,49900000,,,,15000000,,@UCaayLD9i5x4MmIoVZxXSv_g
35,LooLoo Kids - Nursery Rhymes and Children's Songs,49400000,,United States,,14800000,,@UC4NALVCmcmL5ntpV0thoH6w
36,YRF,48400000,,India,,14500000,,@UCbTLwN10NoCU4WDzLf1JMOA
37,Taylor Swift,47200000,0.4,,,14200000,,@UCqECaJ8Gagnn7YCbPEzWH6g
38,Fernanfloo,47100000,,El Salvador,,14100000,,@fernanfloo
39,Infobells - Hindi,46600000,,India,,14000000,,@UC1ciY6kR3yj3kaKZ6R7ewAg
40,Billie Eilish,46600000,0.7,United States,,14000000,,@UCiGm_E4ZwYSHV3bcW1pnSeQ
41,JuegaGerman,46400000,0.4,Chile,,13900000,,@UCYiGq8XF7YQD00x7wAd62Zg
42,Badabun,45700000,,Mexico,,13700000,,@UCYWOjHweP2V-8kGKmmAmQJQ
43,Felipe Neto,44400000,,Brazil,,13300000,,@UCV306eHqgo0LvBf3Mh36AHg
44,Get Movies,44300000,,Russia,,13300000,,@UClZkHt2kNIgyrTTPnSQV3SA
45,whinderssonnunes,43700000,,,,13100000,,@UC3KQ5GWANYF8lChqjZpXsQw
46,SonyMusicIndiaVEVO,43600000,,,Music,13100000,Music,@UC3MLnJtqc_phABBriLRhtgQ
47,BRIGHT SIDE,43400000,,,Fitness News,13000000,Info/Business,@UC4rlAVgAK0SGk-yTfe48Qpw
48,Katy Perry,43100000,,United States,,12900000,,@UCYvmuw-JtVrTZQ-7Y4kd63Q
49,Bad Bunny,43100000,,Puerto Rico,,12900000,,@UCmBA_wu8xGg1OfOkfW13Q0Q
50,Você Sabia?,43000000,,Brazil,,12900000,,@UCj0O6W8yDuLg3iraAXKgCrQ
51,Alan Walker,42400000,,Norway,,12700000,,@UCJrOtniJ0-NWz37R30urifQ
52,Like Nastya Show,41700000,,United States,,12500000,,@UCS94J1s6-qc8v7btCdS2pNg
53,CarryMinati,41600000,9.2,India,Video Gaming,12500000,Tech/Gaming,@carryminati
54,ABS-CBN Entertainment,41500000,,Philippines,,12500000,,@UCstEtN0pgOmCf02EdXsGChw
55,Shemaroo,41200000,,India,Celebrity,12400000,Entertainment,@UCF1JIbMUs6uqoZEY1Haw0GQ
56,Speed Records,41100000,,India,Music,12300000,Music,@UCOsyDsO5tIt-VZ1iwjdQmew
57,elrubiusOMG,40400000,1.7,,,12100000,,@UCXazgXDIYyWH-yXLAkcrFxw
58,Little Baby Bum - Nursery Rhymes & Kids Songs,40000000,,United States,,12000000,,@UCKAqou7V9FAWXpZd9xtOg3Q
59,Voot Kids,39300000,,India,,11800000,,@UCJg19noZp7-BYIGvypu_cow
60,Маша и Медведь,39100000,,Russia,,11700000,,@UCRv76wLBC73jiP7LX4C3l8Q
61,LUCCAS NETO - LUCCAS TOON,38600000,,Brazil,,11600000,,@UC_gV70G_Y51LTa3qhu8KiEA
62,Luisito Comunica,38500000,0.1,,,11600000,,@UCECJDeK0MNapZbpaOzxrUPA
63,Ishtar Music,38500000,,India,Music Celebrity,11600000,Music,@UCWi_65E_L8tQZ34C6wVAlpQ
64,TheEllenShow,38300000,,United States,,11500000,,@UCp0hYYBW6IMayGgR-WeoCvQ
65,Toys and Colors,38300000,,United States,,11500000,,@UCgFXm4TI8htWmCyJ6cVPG_A
66,Kimberly Loaiza,38100000,0.9,Mexico,,11400000,,@UCQZfFRohQ7UX-0CdXl-6pwQ
67,WorkpointOfficial,38100000,,Thailand,,11400000,,@UC3ZkCd7XtUREnjjt3cyY_gg
68,XXXTENTACION,37800000,0.1,United States,,11300000,,@UCM9r1xn6s30OnlJWb-jc3Sw
69,Super Simple Songs - Kids Songs,37300000,,Canada,Travel,11200000,Lifestyle,@UCLsooMJoIpl_7ux2jvdPB-Q
70,Shakira,37100000,,,,11100000,,@UCYLNGLIzMhRTi6ZOLjAPSmw
71,GR6 EXPLODE,37100000,,,,11100000,,@UCNUQK9mQoqi4yNXw2_Rj6SA
72,Daddy Yankee,37000000,,United States,Music,11100000,Music,@UC9TO_oo4c_LrOiKNaY6aysA
73,shfa,36100000,0.1,United Arab Emirates,,10800000,,@UCwHE1kM1CPJd_pI9FQ0-4dg
74,ช่อง one31,35900000,,Thailand,,10800000,,@UC8f7MkX4MFOOJ2SerXLInCA
75,shfa2 - شفا,35600000,,United Arab Emirates,,10700000,,@UCQ7x25F6YXY9DvGeHFxLhRQ
76,Goldmines Gaane Sune Ansune,35600000,,India,,10700000,,@UCtW7qWjpCZ8zps-Cf2NF26w
77,TEDx Talks,35500000,,,,10700000,,@UCsT0YIqwnpJCM-mx7-gSA4Q
78,Ozuna,35200000,0.4,Puerto Rico,Celebrity Music,10600000,Music,@UCjIA3wwhi0QjSOXAZwOXbPA
79,YouTube,35100000,,United States,,10500000,,@youtube.com
80,Masha and The Bear,35100000,,United States,,10500000,,@UCu59yAFE8fM0sVNTipR4edw
81,Bruno Mars,34800000,0.2,,,10400000,,@UCoUM-UJ7rirJYP8CQ0EIaHA
82,Jkk Entertainment,34500000,0.2,,,10400000,,@UC5tuYcCdiKuF5Y2ZonuarwA
83,Maria Clara & JP,33800000,0.1,Brazil,,10100000,,@UCKe6w0exI94U-RzqAyoY1VA
84,T-Series Apna Punjab,33600000,,India,,10100000,,@UCcvNYxWXR_5TjVK7cSCdW-g
85,Total Gaming,33600000,0.2,India,Video Gaming,10100000,Tech/Gaming,@UC5c9VlYTSvBSCaoMu_GI6gQ
86,J Balvin,33600000,,Colombia,,10100000,,@UCt-k6JwNWHMXDBGm9IYHdsg
87,ABP NEWS,33500000,,India,,10100000,,@UCRWFSbif-RFENbBrSiez1DA
88,VEGETTA777,33500000,,,,10100000,,@UCam8T03EOFBsNdR0thrFHdQ
89,Markiplier,33500000,0.4,United States,,10100000,,@UC7_YxT-KID8kRbqZo7MyscQ
90,Desi Music Factory,33000000,1.8,India,,9900000,,@UCLtNvbkqea8wN_kGtfgx_Mw
91,NoCopyrightSounds,32900000,,United Kingdom,Music,9900000,Music,@UC_aEa8K-EOJ3D6gOs7HcyNg
92,Geet MP3,32700000,,,Music,9800000,Music,@UClZF7OsrECe3t_ADrjZEh_Q
93,Ryan's World,32700000,,,Music,9800000,Music,@UChGJGhZ9SOOHvBB0Y4DOO_w
94,Bollywood Classics,32700000,,India,,9800000,,@UCRm96I5kmb_iGFofE5N691w
95,Sony PAL,32600000,,,,9800000,,@UCw7xjxzbMwgBSmbeYwqYRMg
96,Like Nastya ESP,32500000,,,,9800000,,@UCpEJRZdSpdVZ8vh63T9I2KQ
97,La Granja de Zenón,32300000,,Argentina,,9700000,,@UCwpcLKMwiuPg4aqImpGk6Ew
98,Alfredo Larin,32300000,,El Salvador,,9700000,,@alfredolarin
99,Mikecrack,32200000,0.6,Spain,,9700000,,@UCqJ5zFEED1hWs0KNQCQuYdQ
100,Saregama Music,32100000,,India,,9600000,,@UC_A7K2dXFsTMAciGmnNxy-Q
