#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,beca @beca,29.2M,1%,Brazil,Travel,8.8M
47,Tailane Garcia @tailanegarcia,4.6M,-,Brazil,Funny,1.4M
48,Bia @magicardb,4.6M,-,Brazil,Funny,1.4M
49,TNT Sports Brasil @tntsportsbr,4.6M,-,Brazil,Sports,1.4M
50,@julyanadaiane @julyanadaiane,4.6M,-,Brazil,Romance and Wedding,1.4M
51,Big Brother Brasil @bbb,4.4M,-,Brazil,,1.3M
52,Luan Santana @luansantana,4.4M,-,Brazil,Entertainment and Music,1.3M
53,Wesley Safadão @wesleysafadao,4.3M,-,Brazil,Entertainment and Music,1.3M
54,Castro Brothers @castrobrothersoficial,4.2M,-,Brazil,Entertainment and Music Funny,1.3M
55,Sil konce @silkonce,4.2M,-,Brazil,Entertainment and Music Funny,1.3M
56,Andressah Catty @andressahcatty,4.1M,-,Brazil,Education,1.2M
57,Agatha Moreira @agathaamoreiraa,4.1M,0.1%,Brazil,,1.2M
58,amorporeceitas @amorporeceitas,4M,-,Brazil,,1.2M
59,Caio Pericinoto @caiopericinoto,3.9M,-,Brazil,Entertainment and Music Funny,1.2M
60,C A M E R A B R O @camera_bro,3.8M,0.7%,Brazil,Photography,1.1M
61,Corinthians @corinthians,3.7M,0.6%,Brazil,Sports,1.1M
62,Alice Oliveira 💕 @alicereja,3.6M,-,Brazil,Acting and Drama,1.1M
63,Gabby B @gabbyb_music,3.6M,-,Brazil,Entertainment and Music,1.1M
64,Sam Bechara @sambechara_,3.5M,-,Brazil,Entertainment and Music,1.1M
65,Caciano Kuffel @cacianok,3.5M,0.1%,Brazil,Arts and Crafts Entertainment and Music,1.1M
66,Thay Couto @thaycouuto,3.5M,-,Brazil,Entertainment and Music,1.1M
67,Matheus Theodoro @matheus_theodoro,3.4M,-,Brazil,Entertainment and Music Funny,1M
68,South America Memes @southamericamemes,3.3M,-,Brazil,,990K
69,GrandeGringoBranco @grandegringobranco,3.3M,0.1%,Brazil,,990K
70,Isa Paoli @isapaoli,3.2M,-,Brazil,Funny,960K
71,Caio Oliveira @caioliveiralex,3.2M,-,Brazil,,960K
72,Manoella Campello @manoellacampello,3.1M,-,Brazil,,930K
73,Sophia Blair @sophiablairr,3.1M,2.3%,Brazil,Entertainment and Music,930K
74,CALL ME LUCAS 🇧🇷 @00h.03m,3.1M,-,Brazil,Entertainment and Music,930K
75,Barbie Boy Maiderson @barbieboymaiderson,3.1M,-,Brazil,Entertainment and Music,930K
76,Ju Araújo @ajuaraujo,3.1M,-,Brazil,Entertainment and Music,930K
77,Laura Fernandes @lauriinhafeer,3M,-,Brazil,,900K
78,Kim RosaCuca @kimrosacuca,3M,-,Brazil,Entertainment and Music,900K
79,Wiris Viana @wirisvianaofficial,3M,0.1%,Brazil,Entertainment and Music,900K
80,nilsinho @nilsonnetu,2.9M,-,Brazil,Entertainment and Music,870K
81,Cleane Fontenele @cleanefonteneletv,2.9M,-,Brazil,,870K
82,Gabrielmatss @don_gbzin,2.8M,-,Brazil,,840K
83,Matheus Mazzola @m.mazzola,2.8M,-,Brazil,Outdoor Activity,840K
84,Sabrina Bruna @sabrinatattoo,2.8M,4.4%,Brazil,,840K
85,Gustax ✨ @gustaxoficial,2.8M,-,Brazil,Entertainment and Music Funny,840K
86,Otaviano Costa @otaviano,2.7M,-,Brazil,Entertainment and Music,810K
87,Ingrid Guimaraes @ingridguimaraesoficial,2.7M,-,Brazil,Acting and Drama Funny,810K
88,Jalex @jalexrosa,2.7M,1.4%,Brazil,,810K
89,Samsung Brasil @samsungbrasil,2.6M,0.2%,Brazil,Product Showcase,780K
90,Manual do Mundo @manualdomundo,2.6M,-,Brazil,Education DIY and Life Hacks,780K
91,Mustache @reviewsdomustache,2.6M,-,Brazil,Food Travel,780K
92,Júlia Gava @itsjuli4_,2.6M,-,Brazil,Acting and Drama,780K
93,Chloe Marie Dubois @chloemariedub,2.6M,0.1%,Brazil,,780K
94,Raylla fachin @rayllafachin33,2.6M,-,Brazil,,780K
95,Marcus Majella @marcusmajella,2.6M,0.1%,Brazil,,780K
96,Fãs do Cláudio Duarte @claudioduarteoficial0,2.6M,-,Brazil,family,780K
97,Arthur e Letícia @loucurasdeumcasal_,2.5M,-,Brazil,,750K
98,Podologa Kelly Freitas 🦶🏽 @podologakellyfreitas,2.5M,-,Brazil,Beauty and Self Care,750K
99,Felipe Prior @eumesmofelipeprior,2.4M,-,Brazil,Arts and Crafts,720K
100,rio @rio.tew,2.4M,-,Brazil,Entertainment and Music,720K
